Area Statistics
	Mass (u)	<No Sample Name> (+14.COC-1) *
H+	1.0074	32382.18
C+	11.9992	24972.31
CH+	13.0066	29006.01
CH_2+	14.0149	32118.45
CH_3+	15.0229	32139.61
Na+	22.9896	362830.63
C_2H_2+	26.0143	58438.68
C_2H_3+	27.0234	349429.51
C_2H_4+	28.0297	30753.31
C_2H_5+	29.0402	217041.99
C_3H_2+	38.0143	52431.50
K+	38.9635	75783.35
C_3H_3+	39.0231	535167.53
C_3H_4+	40.0298	59030.27
C_3H_5+	41.0400	1006435.87
C_3H_6+	42.0438	44012.80
C_3H_7+	43.0572	100919.80
C_4H_2+	50.0140	78584.80
C_4H_3+	51.0227	240804.92
C_4H_4+	52.0300	80456.08
C_4H_5+	53.0392	365674.95
C_4H_6+	54.0453	43764.53
C_4H_7+	55.0567	473036.22
C_4H_9+	57.0737	26307.65
C_5H_2+	62.0135	48848.90
C_5H_3+	63.0221	171861.97
C_5H_4+	64.0289	32429.97
C_4HO+	65.0009	59611.54
C_5H_5+	65.0384	271793.82
C_5H_6+	66.0458	109027.29
C_5H_7+	67.0569	1029446.55
C_5H_8+	68.0605	64899.86
C_5H_9+	69.0744	82328.76
C_6H_2+	74.0128	48838.55
C_6H_3+	75.0215	65278.17
C_6H_4+	76.0290	28697.05
C_5HO+	76.9983	152306.38
C_6H_5+	77.0374	476453.07
C_6H_6+	78.0450	153610.53
C_6H_7+	79.0555	537055.55
C_6H_8+	80.0620	87870.33
C_6H_9+	81.0743	289411.16
C_7H_2+	86.0120	29088.98
C_7H_3+	87.0207	44868.99
C_7H_5+	89.0347	48570.25
C_7H_7+	91.0536	593814.10
C_7H_8+	92.0595	89918.93
C_7H_9+	93.0735	190308.76
C_7H_11+	95.0926	140101.76
C_8H_6+	102.0431	43968.45
C_8H_7+	103.0508	82580.07
C_8H_8+	104.0602	41928.81
C_8H_9+	105.0713	173541.38
C_8H_10+	106.0780	30169.79
C_8H_11+	107.0924	45996.71
C_8H_13+	109.1117	30497.78
C_9H_7+	115.0494	244811.27
C_9H_8+	116.0565	64812.46
C_9H_9+	117.0651	127030.88
C_9H_11+	119.0903	41130.32
C_10H_7+	127.0480	54044.55
C_10H_8+	128.0550	180336.70
C_10H_9+	129.0638	94340.16
C_10H_11+	131.0874	38344.72
Cs+	132.9041	5397122.14
C_11H_7+	139.0464	50494.51
C_11H_9+	141.0596	92424.17
C_11H_10+	142.0681	26562.67
C_9H_8Cl+	151.0339	30641.24
C_12H_8+	152.0492	90072.16
C_12H_9+	153.0537	59787.35
(null)	155.0795	25296.71
C_12H_11+	155.0804	24366.48
C_10H_8Cl+	163.0390	25805.34
C_13H_9+	165.0597	93201.18
C_14H_8+	176.0448	27381.64
C_14H_10+	178.0618	44227.07
C_15H_9+	189.0513	49516.34
C_16H_10+	202.0598	40092.55
C_17H_11+	215.0674	27127.73
Cs_2Cl+	300.7684	131005.01
Cs_2^37Cl+	302.7653	42952.91


