Area Statistics
	Mass (u)	<No Sample Name> (-14.COC-1) *
H-	1.0087	13927567.24
C_2H-	25.0084	3267255.43
CH-	13.0082	1414723.85
C_2-	24.0002	1029735.80
C_4H-	49.0086	527570.15
C-	12.0006	494963.34
C_6H-	73.0084	218623.26
C_4-	48.0003	197248.35
C_3-	36.0004	188927.89
CH_2-	14.0162	159483.28
C_3H-	37.0082	111667.77
C_8H-	97.0085	91448.12
C^13CH-	26.0116	80625.23
C_6-	72.0002	78881.65
C_3H_2-	38.0162	77555.84
C_5-	60.0005	71296.29
C_5H_2-	62.0162	59444.44
C_5H-	61.0081	56480.89
O-	15.9953	52881.03
OH-	17.0032	52417.06
C_4H_2-	50.0132	38199.30
C_4H_3-	51.0244	35898.46
C_10H-	121.0076	35421.39
C_7H_2-	86.0159	34530.85
C_7-	84.0002	33835.36
C_8-	96.0000	31752.90
C_7H-	85.0078	31620.44
CN-	26.0026	27142.35
C_5H_3-	63.0239	25216.38
C_6H_2-	74.0133	23502.10
C_6H_3-	75.0243	23456.11
Cl-	34.9693	19344.73
C_9H-	109.0071	18522.91
C_3H_3-	39.0242	18309.53
C_9H_2-	110.0151	15666.10
C_2HO-	41.0038	14972.35
C_5H_5-	65.0406	13741.21
C_9-	107.9993	13661.98
C_12H-	145.0061	13416.04
C_7H_3-	87.0234	12659.83
C_8H_2-	98.0129	11642.06
C_8H_3-	99.0242	11067.89
C_11H-	133.0055	8390.78
C_10-	119.9982	7853.01
C_11H_2-	134.0144	7093.20
C_9H_3-	111.0226	7026.24
C_7H_5-	89.0401	6913.70
C_5H_4-	64.0314	6292.33
^37Cl-	36.9663	6024.89
C_7H_4-	88.0315	5407.88
C_10H_2-	122.0116	5206.70
C_2O-	39.9952	4641.52
C_14H-	169.0056	4181.53
C_10H_3-	123.0230	3961.45
C_11H_3-	135.0211	3946.43
CNO-	41.9998	3790.44
C_4HO-	65.0037	3745.44
C_9H_5-	113.0397	3737.51
C_11-	131.9983	3610.47
C_9H_4-	112.0310	3408.35
C_13H-	157.0038	3379.34
C_12-	143.9962	3376.52
C_6H_5-	77.0405	3277.43
C_8H_5-	101.0396	3204.39
C_2H_3O-	43.0198	2969.36
C_13H_2-	158.0118	2964.26
C_6H_4-	76.0298	2779.30
C_2H_3-	27.0247	2726.34
C_11H_5-	137.0380	2520.25
CHO_2-	44.9987	2441.26
F-	18.9985	2234.16
C_12H_2-	146.0102	2214.18
C_7H_7-	91.0565	2029.25
C_10H_5-	125.0383	2022.17


