Uncorrected Area Statistics
	Mass (u)	<No Sample Name> (+15.EVA-2) *
Na+	22.9898	187913.00
C_2H_3+	27.0228	359161.00
C_2H_5+	29.0392	485523.00
K+	38.9636	131248.00
C_3H_3+	39.0220	364808.00
C_3H_4+	40.0288	61987.00
C_2HO+	41.0077	83957.00
C_3H_5+	41.0398	914932.00
C_3H_6+	42.0435	115184.00
C_2H_3O+	43.0179	383772.00
C_3H_7+	43.0558	626492.00
C_4H_3+	51.0214	138220.00
C_4H_4+	52.0285	62473.00
C_4H_5+	53.0379	353367.00
C_4H_6+	54.0449	121359.00
C_3H_3O+	55.0194	70406.00
C_4H_7+	55.0564	900773.00
C_4H_8+	56.0599	138652.00
C_4H_9+	57.0726	464255.00
C_5H_3+	63.0205	89888.00
C_5H_5+	65.0367	184089.00
C_5H_6+	66.0438	64622.00
C_5H_7+	67.0551	482917.00
C_5H_8+	68.0605	96908.00
C_5H_9+	69.0727	520246.00
C_5H_10+	70.0767	64908.00
C_5H_11+	71.0903	172256.00
C_5HO+	76.9963	98894.00
C_6H_5+	77.0354	282485.00
C_6H_6+	78.0428	105484.00
C_6H_7+	79.0521	292590.00
C_6H_8+	80.0596	74165.00
C_6H_9+	81.0721	395112.00
C_6H_10+	82.0769	57238.00
C_6H_11+	83.0908	221312.00
C_6H_13+	85.1076	77745.00
C_7H_7+	91.0528	521260.00
C_7H_8+	92.0571	83549.00
C_7H_9+	93.0694	174775.00
C_7H_11+	95.0896	261251.00
C_7H_13+	97.1083	136084.00
C_8H_7+	103.0483	99909.00
C_8H_9+	105.0684	223361.00
C_8H_11+	107.0857	95481.00
C_8H_13+	109.1042	117583.00
C_9H_7+	115.0472	258712.00
C_9H_8+	116.0528	78738.00
C_9H_9+	117.0658	162369.00
C_9H_11+	119.0844	76239.00
C_9H_13+	121.1026	45377.00
C_9H_15+	123.1213	46669.00
C_6H_7O_3+	127.0415	76631.00
C_6H_8O_3+	128.0510	221914.00
C_6H_9O_3+	129.0615	154646.00
C_10H_11+	131.0831	110319.00
Cs+	132.9037	175647.00
C_10H_13+	133.1004	93948.00
C_7H_7O_3+	139.0427	53500.00
C_7H_9O_3+	141.0580	157946.00
C_7H_10O_3+	142.0644	63636.00
C_11H_11+	143.0797	80623.00
C_11H_13+	145.0980	48808.00
C_8H_8O_3+	152.0460	109740.00
C_8H_9O_3+	153.0491	99205.00
C_8H_11O_3+	155.0764	88737.00
C_9H_9O_3+	165.0553	154461.00
C_9H_11O_3+	167.0698	63348.00
C_13H_17+	173.1329	99772.00
C_10H_10O_3+	178.0550	101429.00
C_10H_11O_3+	179.0681	64775.00
C_14H_17+	185.1244	52803.00
C_11H_9O_3+	189.0447	68891.00
C_11H_11O_3+	191.0609	55237.00
C_12H_10O_3+	202.0519	63417.00


