Area Statistics
	Mass (u)	<No Sample Name> (-15.EVA-2) *
H-	1.0088	22370885.12
C-	12.0002	638112.67
CH-	13.0079	2263289.37
CH_2-	14.0158	391328.60
CH_3-	15.0255	116335.97
O-	15.9952	350922.97
OH-	17.0031	499198.52
C_2-	24.0003	721929.96
C_2H-	25.0096	4035937.06
CN-	26.0079	821916.57
Cl-	34.9735	3083877.08
C_3-	36.0007	225914.31
^37Cl-	36.9697	1014623.26
C_3H-	37.0090	358830.43
C_3H_2-	38.0164	265394.74
C_3H_3-	39.0247	123834.64
C_2O-	39.9975	40592.83
C_2HO-	41.0059	515804.11
CNO-	42.0028	158399.65
C_2H_3O-	43.0201	63833.37
CHO_2-	45.0009	160324.03
C_4-	48.0004	205918.36
C_4H-	49.0097	1271828.64
C_4H_2-	50.0105	246181.38
C_4H_3-	51.0247	188239.71
C_2H_2O_2-	58.0052	130054.55
C_2H_3O_2-	59.0168	1180077.62
C_5-	60.0026	156006.35
C_5H-	61.0079	151713.59
C_5H_2-	62.0159	207390.12
COCl-	62.9672	658428.11
C_5H_3-	63.0225	120606.72
C_5H_4-	64.0268	51232.07
C_4HO-	65.0009	50273.43
C_5H_5-	65.0378	55993.86
C_3NO-	66.0043	87713.88
C_6-	71.9997	125870.37
C_6H-	73.0081	565340.58
C_6H_2-	74.0090	149525.31
C_6H_3-	75.0232	102865.36
C_2OK-	78.9564	535510.34
SO_3-	79.9625	121522.88
C_7-	83.9990	78422.83
C_4H_5O_2-	85.0210	161612.85
C_7H_2-	86.0159	120798.48
C_7H_3-	87.0207	72278.55
C_3H_5O_3-	89.0299	49643.67
C_8-	95.9974	58527.81
C_8H-	97.0092	219375.45
C_8H_2-	98.0088	84481.76
C_8H_3-	99.0230	57477.12
C_9-	107.9976	36092.84
C_9H-	109.0007	55361.42
C_9H_2-	110.0116	59965.36
C_9H_3-	111.0208	42807.05
C_10H-	121.0071	92437.03
C_6H_2O_3-	122.0060	46736.95
C_12H-	145.0028	42040.35
C_15H_23O_6-	299.2110	193376.21
C_15H_25O_6-	301.2266	147524.34


