Area Statistics
	Mass (u)	STD-SiB (+Grease-floodgun) *
H+	1.0089	21840.67
C+	12.0021	4801.34
CH+	13.0097	9561.44
CH_2+	14.0174	28807.38
CH_3+	15.0253	57203.36
Na+	22.9923	9552.95
C_2H+	25.0079	901.47
C_2H_2+	26.0159	11073.60
C_2H_3+	27.0241	25315.65
Si+	27.9781	921112.61
^29Si+	28.9766	41529.18
SiH+	28.9852	278696.61
^30Si+	29.9736	27687.45
^29SiH+	29.9839	14984.03
SiH_2+	29.9929	4521.79
^30SiH+	30.9817	10253.23
SiH_3+	31.0027	28701.53
^29SiH_3+	32.0025	1397.59
SiCH+	40.9831	12554.19
C_3H_5+	41.0406	6279.86
SiCH_2+	41.9910	85520.80
SiCH_3+	42.9995	597533.91
SiO+	43.9684	5252.64
^29SiCH_3+	43.9980	32948.52
SiCH_4+	44.0083	39813.11
SiHO+	44.9780	117033.47
CHO_2+	44.9949	41721.67
SiCH_5+	45.0180	283448.95
^29SiHO+	45.9761	11076.54
^29SiCH_5+	46.0179	18052.71
^30SiHO+	46.9765	5561.64
SiH_3O+	46.9950	23261.94
^30SiCH_5+	47.0141	9842.34
^29SiH_3O+	47.9937	1303.30
SiC_2H+	52.9818	12456.42
C_4H_5+	53.0393	1050.21
SiC_2H_3+	54.9980	21618.99
SiC_2H_4+	56.0026	3830.28
SiC_2H_5+	57.0135	30088.68
SiC_2H_6+	58.0209	73659.32
SiCH_3O+	58.9915	29951.44
SiC_2H_7+	59.0338	568295.16
SiCH_4O+	59.9989	10089.45
^29SiC_2H_7+	60.0330	46347.13
SiCH_5O+	61.0085	46304.17
^30SiC_2H_7+	61.0288	22018.18
SiC_3H_3+	66.9968	7876.27
Si_2CH+	68.9559	10682.76
SiC_3H_5+	69.0144	15648.04
SiC_3H_6+	70.0171	3973.21
SiC_3H_7+	71.0313	30247.70
Si_2O+	71.9422	14124.60
SiC_3H_8+	72.0358	40195.95
SiC_3H_9+	73.0590	3416958.36
SiC_3H_10+	74.0523	434463.48
SiC_2H_7O+	75.0216	244168.80
^30SiC_3H_9+	75.0453	258267.97
^29SiC_2H_7O+	76.0220	21628.50
^30SiC_3H_10+	76.0456	5473.26
SiCH_5O_2+	76.9988	8730.02
^30SiC_2H_7O+	77.0191	11665.13
SiC_4H_7+	83.0283	47143.04
^29SiC_4H_7+	84.0325	6223.70
SiC_4H_9+	85.0470	48054.91
SiC_4H_10+	86.0507	5477.84
^29SiC_4H_9+	86.0508	5661.28
Si_2CH_3O+	86.9632	55326.84
SiC_4H_11+	87.0642	6765.91
SiCO_3+	87.9666	11983.07
Si_2HO_2+	88.9417	22240.41
SiC_5H+	88.9807	13660.55
SiC_3H_9O+	89.0415	9595.98
SiC_5H_7+	95.0283	2539.32
SiC_5H_8+	96.0327	1320.71
SiC_5H_9+	97.0433	7897.16
SiC_5H_10+	98.0508	1531.77
^29SiSiC_3H_7+	100.0029	2676.84
Si_2C_2H_6O+	101.9832	21117.79
Si_3H_3O+	102.9543	30927.41
Si_2C_2H_7O+	102.9945	59222.55
Si_3H_5O+	104.9705	11610.98
SiC_6H_5+	105.0096	9975.52
SiC_6H_9+	109.0443	2144.49
Si_2C_4H_7+	110.9987	1982.62
SiC_3HO_3+	112.9752	4893.18
Si_2C_4H_9+	113.0158	14360.19
Si_3C_2H_6+	113.9800	1605.74
SiC_4H_6O_2+	114.0171	2318.00
Si_3C_2H_7+	114.9888	31718.06
SiC_4H_7O_2+	115.0305	9316.93
Si_3C_2H_8+	115.9931	8837.66
Si_2C_4H_12+	116.0434	5448.14
SiC_6H_3O+	118.9842	42990.00
Si_3C_2H_11+	119.0244	38125.64
Si_2C_5H_4+	119.9846	5778.02
Si_3C_2H_12+	120.0236	5331.30
Si_3C_3H_7+	126.9887	4536.45
Si_2C_5H_13+	129.0463	13195.38
SiC_5H_10O_2+	130.0585	4071.43
Si_2C_4H_11O+	131.0206	110184.00
SiC_4H_8O_3+	132.0213	17250.93
Si_2C_3H_9O_2+	132.9970	151622.87
SiC_4H_9O_3+	133.0379	186135.91
Si_2C_2H_6O_3+	133.9966	21718.32
SiC_4H_10O_3+	134.0386	28298.00
SiC_7H_17O+	145.1039	23772.92
Si_2C_5H_15O+	147.0633	935941.47
Si^29SiC_5H_15O+	148.0642	198831.37
Si^30SiC_5H_15O+	149.0566	106845.32
Si_2C_6H_13O+	157.0343	10628.15
Si_3C_2H_5O_3+	160.9667	14642.43
Si_3C_4H_11O_2+	174.9802	31643.32
Si_3C_3H_9O_3+	176.9585	72460.63
Si_3C_7H_9+	177.0021	11073.62
Si_3C_5H_13O_2+	188.9929	67296.96
Si_3C_4H_11O_3+	191.0148	50898.01
SiC_8H_5O_4+	192.9906	78318.79
Si_3C_6H_17O_2+	205.0312	65869.26
Si_3C_5H_15O_3+	207.0119	350846.39
Si_3C_7H_21O_2+	221.1089	141683.85
Si_4C_5H_15O_5+	266.9738	53725.26
Si_4C_8H_23O_3+	279.0557	37171.02
Si_4C_7H_21O_4+	281.0280	121520.84
Si_5C_5H_15O_6+	310.9169	15803.42
Si_6C_3H_13O_6+	312.8959	8198.17
Si_5C_7H_19O_5+	322.9467	41372.41
Si_5C_6H_17O_6+	324.9255	70112.92
Si_6C_4H_15O_6+	326.9075	48788.57


