Area Statistics
	Mass (u)	STD-SiB (-Grease-floodgun) *
H-	1.0087	8853899.36
C-	12.0005	420907.11
CH-	13.0087	1369437.34
CH_2-	14.0162	419462.24
CH_3-	15.0252	46192.93
O-	15.9965	3350312.85
OH-	17.0038	1679151.07
H_2O-	17.9996	6417.50
C_2-	24.0005	237003.20
C_2H-	25.0098	1191408.57
C^13CH-	26.0127	38544.42
C_2H_3-	27.0255	6314.35
Si-	27.9774	296893.09
SiH-	28.9853	255300.26
SiH_2-	29.9925	48555.12
^30SiH-	30.9820	7116.83
SiH_3-	31.0014	6668.16
CH_3O-	31.0190	12160.89
O_2-	31.9904	14104.45
Cl-	34.9712	2553.06
C_3-	36.0007	7674.58
C_3H-	37.0090	8146.40
C_3H_2-	38.0182	16385.71
C_3H_3-	39.0301	32231.09
SiC-	39.9779	28077.36
SiCH-	40.9867	215448.11
C_2HO-	41.0052	44767.32
SiCH_2-	41.9933	65305.76
^30SiCH-	42.9814	4870.70
SiCH_3-	43.0021	67742.60
C_2H_3O-	43.0217	17170.64
SiO-	43.9741	93210.38
N_2O-	44.0035	8621.56
SiHO-	44.9817	120877.33
^29SiHO-	45.9802	10943.55
^30SiHO-	46.9784	3807.19
SiH_3O-	46.9983	5307.79
C_4-	48.0009	1535.94
C_4H-	49.0114	17693.70
C_4H_2-	50.0163	1610.97
C_4H_3-	51.0294	7816.73
SiC_2-	51.9789	11112.19
C_4H_4-	52.0314	398.85
SiC_2H-	52.9876	16741.07
SiC_2H_2-	53.9949	13636.96
SiC_2H_3-	55.0047	23508.41
Si_2-	55.9545	4543.13
SiCO-	55.9720	5652.81
SiC_2H_4-	56.0086	4480.60
SiCHO-	56.9799	40695.90
SiC_2H_5-	57.0200	42011.47
SiCH_2O-	57.9893	133996.91
^29SiC_2H_5-	58.0191	3994.15
SiCH_3O-	58.9983	488504.91
SiO_2-	59.9685	379935.42
^29SiCH_3O-	59.9965	40218.89
SiHO_2-	60.9775	272335.33
SiCH_5O-	61.0144	33408.59
SiCH_6O-	62.0168	3657.20
^30SiHO_2-	62.9761	11066.79
C_5H_3-	63.0258	3791.09
SiC_3-	63.9769	2019.45
SiC_3H-	64.9887	15168.37
C_5H_5-	65.0454	1194.55
SiC_3H_2-	65.9948	4690.20
SiC_3H_3-	67.0046	14812.44
SiC_3H_5-	69.0216	8788.33
SiC_3H_7-	71.0369	9211.68
Si_2O-	71.9505	3127.45
C_6-	72.0042	6750.43
^29SiC_3H_7-	72.0377	779.26
SiC_2H_5O-	73.0157	322307.46
SiCH_2O_2-	73.9845	37869.53
C_6H_2-	74.0160	26363.15
SiCH_3O_2-	74.9949	804993.08
SiC_2H_7O-	75.0303	190562.54
^29SiCH_3O_2-	75.9935	56268.42
SiC_2H_8O-	76.0323	15780.12
SiC_4H-	76.9877	89689.24
SiC_4H_5-	81.0212	4069.02
SiC_3H_3O-	82.9970	17046.30
SiC_4H_7-	83.0399	3816.65
SiC_3H_5O-	85.0145	13103.06
SiC_3H_7O-	87.0320	15025.91
SiC_3H_8O-	88.0393	4687.68
SiC_3H_9O-	89.0520	168049.92
SiC_2H_7O_2-	91.0288	146096.50
Si_2C_2H_3O-	98.9782	21052.64
SiC_4H_7O-	99.0314	8951.05
Si_2CHO_2-	100.9548	63189.41
Si_2C_2H_5O-	100.9925	10070.55
SiC_4H_9O-	101.0501	7823.49
SiC_3H_9O_2-	105.0440	6074.19
^29SiC_3H_9O_2-	106.0438	575.24
SiC_6HO-	116.9856	25667.14
SiCO_5-	119.9604	24297.60
Si_3CH_6O_2-	133.9783	10005.02
SiC_6H_3O_2-	134.9967	74121.02
^29SiC_6H_3O_2-	135.9978	9094.22
SiC_8H_3O-	143.0018	2199.09
SiC_8H_5O-	145.0176	4537.60
SiC_8H_7O-	147.0359	44694.72
Si_3C_3H_10O_2-	162.0068	1631.29
Si_2C_5H_14O_2-	162.0563	2272.12
Si_2C_4H_13O_3-	165.0523	28631.63
Si_3C_2H_5O_4-	176.9549	18601.16
Si_3C_5H_3O_2-	178.9424	20119.04
Si_3C_3H_7O_4-	190.9715	13071.99
Si_3C_4H_11O_4-	207.0028	31308.03
Si_3C_4H_13O_4-	209.0093	50735.40
Si_3C_6H_17O_3-	221.0553	33371.88
Si_3C_5H_15O_4-	223.0390	189203.31
Si_3C_4H_15O_5-	227.0309	1427.23
Si_3C_6H_15O_4-	235.0362	5015.40
Si_3C_6H_17O_4-	237.0844	14817.12
Si_4C_9H_3O_2-	254.9388	2870.34
Si_4C_6H_17O_5-	281.0167	7436.16
Si_5C_5H_19O_4-	283.0135	6770.79
Si_4C_8H_23O_4-	295.0778	6704.93
Si_4C_7H_21O_5-	297.0592	17128.49
Si_4C_9H_27O_4-	311.0831	1083.71
Si_5C_7H_19O_6-	338.9840	5135.15
Si_5C_9H_27O_6-	371.0811	2834.22


