Area Statistics
	Mass (u)	PET0 (+PET0-Floodgun-2) *
H+	1.0073	16080.73
H_2+	2.0150	1900.06
H_3+	3.0228	710.31
C+	11.9986	9949.69
CH+	13.0064	12863.94
CH_2+	14.0143	24173.61
CH_3+	15.0228	87550.01
O+	15.9931	296.06
^13CH_3+	16.0276	1540.40
OH+	17.0011	392.09
H_2O+	18.0090	473.14
NH_4+	18.0351	1929.21
H_3O+	19.0180	12442.27
Na+	22.9898	1332787.24
Mg+	23.9837	699.30
NaH+	23.9972	953.32
C_2H+	25.0054	5639.39
C_2H_2+	26.0136	59164.79
C_2H_3+	27.0226	501057.08
Si+	27.9744	8116.76
CO+	27.9922	1873.47
C_2H_4+	28.0294	67377.07
CHO+	29.0013	97157.91
C_2H_5+	29.0384	275611.62
CH_2O+	30.0081	4234.54
CH_4N+	30.0336	5221.37
C^13CH_5+	30.0420	7434.77
CH_3O+	31.0174	65950.64
^13CH_3O+	32.0212	920.61
CH_5O+	33.0331	605.36
C_3+	35.9967	924.54
C_3H+	37.0054	23831.02
C_3H_2+	38.0133	79951.31
K+	38.9634	1129058.16
C_3H_3+	39.0218	411672.00
Ca+	39.9608	23204.40
C_3H_4+	40.0284	73212.53
^41K+	40.9606	78787.04
C_3H_5+	41.0384	617423.46
C_2H_2O+	42.0083	29172.31
C_3H_6+	42.0435	49331.49
C_2H_3O+	43.0177	247671.68
C_3H_7+	43.0542	185804.64
^44Ca+	43.9532	528.20
C_2H_4O+	44.0230	14438.87
C_2^13CH_7+	44.0545	12789.01
CHS+	44.9775	20809.45
CHO_2+	44.9959	22408.28
C_2H_5O+	45.0330	145048.76
Na_2+	45.9780	5844.47
C_2H_6O+	46.0358	3756.99
CH_3O_2+	47.0115	2421.21
C_4H+	49.0040	6151.54
C_4H_2+	50.0133	194702.41
C_4H_3+	51.0218	509538.12
C_4H_4+	52.0285	129186.45
C_3HO+	53.0009	150886.13
C_4H_5+	53.0374	253182.44
C_3H_2O+	54.0064	11340.02
C_4H_6+	54.0436	43827.71
C_3H_3O+	55.0174	204763.61
C_4H_7+	55.0540	285139.42
C_3H_4O+	56.0217	11936.47
C_4H_8+	56.0577	27551.94
CaOH+	56.9632	29481.86
C_3H_5O+	57.0328	36934.69
C_4H_9+	57.0702	63499.91
C_3H_6O+	58.0391	4399.44
C_4H_10+	58.0670	18337.85
SiCH_3O+	58.9924	2469.43
C_2H_3O_2+	59.0121	7032.56
SiC_2H_7+	59.0313	11189.70
C_3H_7O+	59.0486	11983.97
C_5+	59.9966	1719.30
C_2H_4O_2+	60.0188	1879.20
C_3H_8O+	60.0543	7772.22
C_5H+	61.0047	32606.37
C_5H_2+	62.0126	148548.97
C_5H_3+	63.0213	434844.23
C_5H_4+	64.0277	86764.32
CNK+	64.9676	19974.67
C_5H_5+	65.0379	376053.28
C_4H_2O+	66.0077	20303.45
C_5H_6+	66.0431	53190.84
C_4H_3O+	67.0174	31515.98
C_5H_7+	67.0534	122791.91
C_4H_4O+	68.0235	15739.66
C_5H_8+	68.0583	16213.45
C_3HO_2+	68.9959	21897.24
C_4H_5O+	69.0327	24845.89
C_5H_9+	69.0701	55744.97
C_4H_6O+	70.0369	4735.53
C_5H_10+	70.0725	7428.91
C_3H_3O_2+	71.0113	12493.33
C_4H_7O+	71.0489	9902.19
C_5H_11+	71.0873	10568.37
Si_2CH_4+	71.9798	3975.55
C_3H_6NO+	72.0443	3799.35
C_4H_10N+	72.0842	1729.39
C_6H+	73.0031	6939.09
C_3H_5O_2+	73.0276	17965.00
H_9O_4+	73.0478	30793.25
C_6H_2+	74.0119	161884.14
C_6H_3+	75.0208	336982.48
C_6H_4+	76.0288	470520.47
C_5HO+	76.9988	113918.51
C_6H_5+	77.0368	720646.01
C_5H_2O+	78.0040	15237.47
C_6H_6+	78.0424	144378.48
C_5H_3O+	79.0159	56959.75
C_6H_7+	79.0520	102813.81
C_5H_4O+	80.0216	6403.19
C_6H_8+	80.0577	16720.35
C_5H_5O+	81.0323	26645.38
C_6H_9+	81.0695	45594.80
C_5H_6O+	82.0375	5314.95
C_6H_10+	82.0727	5921.25
C_4H_3O_2+	83.0112	4243.56
C_5H_7O+	83.0482	10320.89
C_6H_11+	83.0865	10825.86
C_4H_4O_2+	84.0179	1540.96
C_5H_8O+	84.0521	2649.16
C_6H_12+	84.0846	2382.53
C_7H+	85.0023	20969.71
C_4H_5O_2+	85.0273	3938.67
C_5H_9O+	85.0649	3053.55
C_6H_13+	85.1030	2790.07
C_7H_2+	86.0109	101658.37
C_7H_3+	87.0194	161501.58
C_7H_4+	88.0270	66129.30
C_6HO+	89.0108	36689.77
C_7H_5+	89.0352	162139.81
C_6H_2O+	90.0080	10376.69
C_7H_6+	90.0433	75514.95
C_6H_3O+	91.0154	37661.77
C_7H_7+	91.0518	232102.55
C_6H_4O+	92.0229	29036.25
C_7H_8+	92.0560	24771.47
C_5HO_2+	92.9939	5501.07
C_6H_5O+	93.0301	19013.05
C_7H_9+	93.0688	21562.48
C_6H_6O+	94.0379	6983.94
C_7H_10+	94.0720	3886.86
C_5H_3O_2+	95.0111	7540.69
C_6H_7O+	95.0476	8768.21
C_7H_11+	95.0861	16266.62
S_3+	95.9157	1875.45
C_5H_4O_2+	96.0157	1238.11
C_6H_8O+	96.0506	2094.27
C_7H_12+	96.0881	2201.93
C_8H+	97.0003	5673.80
C_5H_5O_2+	97.0293	10432.21
C_6H_9O+	97.0647	3275.72
C_7H_13+	97.1011	3634.55
C_8H_2+	98.0099	85316.13
C_8H_3+	99.0182	72388.49
C_8H_4+	100.0255	21778.51
C_7HO+	100.9967	14212.94
C_8H_5+	101.0347	59376.55
C_7H_2O+	102.0027	10294.99
C_8H_6+	102.0424	89378.40
C_7H_3O+	103.0166	141247.72
C_8H_7+	103.0499	73812.66
C_7H_4O+	104.0246	693029.35
C_8H_8+	104.0543	28540.03
C_7H_5O+	105.0314	406221.55
C_8H_9+	105.0673	42092.69
C_7H_6O+	106.0350	41524.71
C_8H_10+	106.0709	6087.12
C_6H_3O_2+	107.0094	3822.31
C_7H_7O+	107.0452	18234.77
C_8H_11+	107.0852	5929.53
C_6H_4O_2+	108.0173	1789.61
C_7H_8O+	108.0512	2643.33
C_8H_12+	108.0865	1213.42
C_9H+	109.0000	10767.51
C_6H_5O_2+	109.0276	2693.37
C_7H_9O+	109.0629	2905.54
C_8H_13+	109.1017	3530.58
C_5H_2O_3+	109.9789	12164.45
C_9H_2+	110.0089	51083.58
C_9H_3+	111.0174	51919.73
C_9H_4+	112.0234	11255.05
Si_4H+	112.9179	7825.10
C_9H_5+	113.0329	44269.01
C_9H_6+	114.0415	40742.13
C_9H_7+	115.0495	218183.94
C_8H_4O+	116.0226	12606.50
C_9H_8+	116.0545	39881.07
C_8H_5O+	117.0307	20088.99
C_9H_9+	117.0656	27890.70
C_8H_6O+	118.0389	25923.38
C_7H_3O_2+	119.0070	43973.19
C_8H_7O+	119.0458	18785.62
C_9H_11+	119.0837	6956.18
C_7H_4O_2+	120.0161	22307.26
C_8H_8O+	120.0525	4053.14
C_7H_5O_2+	121.0244	65386.23
C_10H_2+	122.0077	41462.32
C_10H_3+	123.0159	24956.52
C_10H_4+	124.0236	6420.68
C_9HO+	124.9901	5122.06
C_10H_5+	125.0327	14932.77
C_10H_6+	126.0402	61439.02
C_10H_7+	127.0473	70388.55
C_10H_8+	128.0557	112257.35
C_9H_5O+	129.0298	32780.51
C_10H_9+	129.0634	36400.70
C_9H_6O+	130.0369	9517.72
C_10H_10+	130.0702	6201.10
C_9H_7O+	131.0463	34376.93
C_10H_11+	131.0843	7824.83
C_8H_4O_2+	132.0179	22094.41
C_9H_8O+	132.0530	7192.95
Cs+	132.8999	194144.93
C_8H_5O_2+	133.0241	64790.86
C_11H_2+	134.0065	23464.57
C_8H_6O_2+	134.0324	10897.07
C_7H_3O_3+	135.0147	18394.91
C_8H_7O_2+	135.0414	11713.37
C_7H_4O_3+	136.0184	4581.81
C_8H_8O_2+	136.0492	2945.94
C_7H_5O_3+	137.0309	19756.54
C_7H_6O_3+	138.0382	20967.47
C_7H_7O_3+	139.0458	125287.76
C_7H_8O_3+	140.0516	20225.40
C_7H_9O_3+	141.0580	57084.20
C_6H_6O_4+	142.0375	7524.50
C_7H_10O_3+	142.0700	9864.88
C_9H_3O_2+	143.0058	4437.18
C_10H_7O+	143.0464	8472.24
C_7H_11O_3+	143.0820	5694.06
C_9H_4O_2+	144.0153	1991.24
C_10H_8O+	144.0527	5426.86
C_9H_5O_2+	145.0246	13440.53
C_10H_9O+	145.0614	6515.62
C_11H_13+	145.1013	2604.67
C_8H_2O_3+	146.0040	21281.93
C_9H_6O_2+	146.0331	5896.16
C_8H_3O_3+	147.0079	12836.61
C_9H_7O_2+	147.0445	21678.16
C_9H_8O_2+	148.0513	109287.52
C_8H_5O_3+	149.0213	252686.96
C_9H_9O_2+	149.0597	56126.35
C_8H_6O_3+	150.0284	108592.55
C_8H_7O_3+	151.0150	46360.95
C_8H_7O_3+	151.0451	47873.70
C_8H_8O_3+	152.0522	130902.62
C_8H_9O_3+	153.0516	56896.26
C_8H_10O_3+	154.0551	14532.82
C_7H_7O_4+	155.0422	11364.93
C_8H_11O_3+	155.0801	8424.88
C_7H_8O_4+	156.0518	3199.23
C_10H_5O_2+	157.0248	4578.96
C_11H_9O+	157.0606	5411.51
C_9H_2O_3+	158.0033	11699.18
C_9H_3O_3+	159.0110	5692.18
C_10H_7O_2+	159.0409	7208.50
C_8O_4+	159.9785	2787.28
C_10H_8O_2+	160.0496	2227.24
C_9H_5O_3+	161.0112	24014.83
C_9H_6O_3+	162.0188	26704.23
C_9H_7O_3+	163.0402	105628.98
