Area Statistics
	Mass (u)	PET0 (-PET0-Floodgun-1) *
H-	1.0087	4320119.28
C-	12.0006	308826.23
CH-	13.0084	587014.06
CH_2-	14.0159	59528.23
O-	15.9956	1229784.21
OH-	17.0033	675868.85
F-	18.9988	5177.83
C_2-	24.0005	614439.37
C_2H-	25.0096	2683514.31
CN-	26.0038	83684.51
C^13CH-	26.0122	67585.68
C_2H_3-	27.0249	19535.08
CHO-	29.0039	11406.31
CH_3O-	31.0198	36121.01
S-	31.9728	2566.05
O_2-	31.9900	15732.26
HS-	32.9812	3753.42
O_2H-	32.9978	1390.73
Cl-	34.9698	81552.02
C_3-	36.0007	228961.11
^37Cl-	36.9668	27777.02
C_3H-	37.0086	189878.09
C_3H_2-	38.0162	100439.08
C_3H_3-	39.0251	55928.07
C_2O-	39.9955	93549.68
C_2HO-	41.0044	512751.43
CNO-	41.9995	43333.16
C_2H_3O-	43.0205	339188.59
CS-	43.9725	2259.72
CO_2-	43.9904	7622.85
C_2H_4O-	44.0230	9000.02
CHO_2-	44.9990	193023.87
C_4-	48.0005	340211.47
C_4H-	49.0094	1384351.58
C_4H_2-	50.0131	104558.49
C_4H_3-	51.0247	92531.20
C_3O-	51.9956	37779.86
C_4H_4-	52.0281	5749.93
C_3HO-	53.0038	84437.57
C_4H_5-	53.0413	5708.84
C_3H_2O-	54.0101	7195.18
C_3H_3O-	55.0200	20336.27
C_2HS-	56.9805	2394.13
C_2HO_2-	56.9996	6893.48
C_3H_5O-	57.0366	5133.59
C_2H_2O_2-	58.0069	31925.55
C_2H_3O_2-	59.0152	102187.12
CSO-	59.9672	28817.74
C_5-	60.0007	224282.84
CHSO-	60.9752	29117.43
C_5H-	61.0083	225408.22
C_5H_2-	62.0164	193058.83
COCl-	62.9651	35852.20
C_5H_3-	63.0244	106598.53
SO_2-	63.9632	10681.54
C_4O-	63.9955	33845.37
C_5H_4-	64.0317	29270.32
C_4HO-	65.0039	281714.23
C_5H_5-	65.0409	31220.01
C_4H_2O-	66.0082	29386.04
