Area Statistics
	Mass (u)	Mean
CH_3+	15.0246	293202.76
H_3O+	19.0188	68139.64
Na+	22.9910	694127.91
C_2H_3+	27.0228	300598.09
C_2H_4+	28.0302	97184.55
CHO+	29.0019	413953.28
C_2H_5+	29.0378	225396.37
CH_3O+	31.0197	2366208.19
CH_5O+	33.0327	74798.37
K+	38.9626	60954.82
C_3H_3+	39.0207	223259.66
C_3H_5+	41.0372	474074.59
C_3H_6+	42.0430	87883.77
C_2H_3O+	43.0160	329492.84
C_3H_7+	43.0526	282499.48
C_2H_4O+	44.0252	1411135.43
C_2H_5O+	45.0343	2369190.43
C^13CH_5O+	46.0334	67170.33
CH_3O_2+	47.0096	164497.87
C_4H_5+	53.0342	110417.62
C_3H_3O+	55.0142	131441.83
C_4H_7+	55.0511	479920.68
C_4H_8+	56.0562	87527.95
C_3H_5O+	57.0293	176968.10
C_4H_9+	57.0663	168405.32
C_3H_6O+	58.0370	108439.06
C_3H_7O+	59.0445	143823.93
C^13CH_3O_2+	60.0152	85045.22
C_2H_5O_2+	61.0268	1825357.23
Na_2OH+	62.9766	102148.88
C_5H_7+	67.0487	96998.45
C_5H_9+	69.0652	100130.86
C_4H_7O+	71.0433	203677.17
C_3H_5O_2+	73.0214	1052445.68
C_4H_9O+	73.0552	130492.24
C_3H_6O_2+	74.0251	114140.47
C_3H_7O_2+	75.0348	616682.68
C_5H_9O+	85.0530	75044.39
C_4H_7O_2+	87.0316	122114.30
C_4H_8O_2+	88.0388	73696.30
C_3H_5O_3+	89.0130	1197406.81
C_3H_6O_3+	90.0140	68783.61
C_3H_7O_3+	91.0265	383746.11
C_5H_9O_2+	101.0435	80834.54
C_4H_7O_3+	103.0240	225004.06
C_4H_8O_3+	104.0301	159977.41
C_4H_9O_3+	105.0391	434828.55
C_4H_7O_4+	119.0135	377098.54
C_4H_9O_4+	121.0281	245999.04
C_6H_11O_3+	131.0476	94419.71
Cs+	132.8806	193809.21
C_5H_9O_4+	133.0255	88638.67
C_5H_11O_4+	135.0404	209840.04
C_5H_9O_5+	149.0164	303097.67
C_6H_9O_5+	161.0517	78505.59
C_6H_11O_5+	163.0296	90648.52
C_6H_13O_5+	165.0443	145542.26
C_5H_11O_5+	151.0302	151681.25
C_6H_11O_6+	179.0192	285714.90
C_9H_9O_4+	181.0382	75569.57
C_7H_15O_6+	195.0481	82534.61
C_7H_13O_7+	209.0211	158477.60
C_8H_15O_8+	239.0234	111348.97
C_8H_17O_8+	241.0466	76833.68
C_11H_9O_8+	269.0348	72786.61


