Area Statistics
	Mass (u)	Mean
CH_3O+	31.0202	3562294.91
C_2H_5O+	45.0353	3528735.71
C_2H_5O_2+	61.0286	2734525.05
C_2H_4O+	44.0263	2145159.27
C_3H_5O_3+	89.0200	1742888.19
C_3H_5O_2+	73.0264	1523651.75
Na+	22.9911	1088304.08
C_3H_7O_2+	75.0401	895490.07
C_3H_5+	41.0380	733211.35
C_4H_7+	55.0526	724649.26
C_4H_9O_3+	105.0480	608418.19
CHO+	29.0022	599388.61
C_3H_7O_3+	91.0338	548017.18
C_4H_7O_4+	119.0236	522665.67
C_2H_3O+	43.0168	515815.66
C_2H_3+	27.0231	452572.66
CH_3+	15.0244	442199.19
C_3H_7+	43.0534	413726.72
C_5H_9O_5+	149.0300	410693.84
C_6H_11O_6+	179.0363	376741.76
C_3H_3+	39.0213	340400.31
C_2H_5+	29.0379	337642.11
C_4H_9O_4+	121.0389	333200.77
C_4H_7O_3+	103.0318	319153.99
C_4H_7O+	71.0453	295923.35
C_5H_11O_4+	135.0525	287506.44
C_3H_5O+	57.0306	272196.58
CH_3O_2+	47.0104	256394.00
C_4H_9+	57.0676	241179.82
Cs+	132.8917	240949.46
C_3H_7O+	59.0459	224722.07
C_4H_8O_3+	104.0386	219411.97
C_7H_13O_7+	209.0415	208838.87
C_5H_11O_5+	151.0445	205604.94
C_3H_3O+	55.0154	204047.20
C_6H_13O_5+	165.0578	201074.31
C_4H_7O_2+	87.0377	182528.43
C_4H_9O+	73.0590	181469.52
C_4H_5+	53.0354	176173.96
C_3H_6O_2+	74.0298	163316.43
C_3H_6O+	58.0383	161607.40
C_5H_7+	67.0505	152258.01
C_2H_4+	28.0303	146832.30
C_8H_15O_8+	239.0474	145977.12
C_5H_9+	69.0669	144441.37
Na_2OH+	62.9781	133729.71
C_6H_11O_3+	131.0579	133350.67
C_3H_6+	42.0436	130861.60
C^13CH_3O_2+	60.0165	124852.25
C_4H_8+	56.0575	123860.70
C_6H_11O_5+	163.0425	121584.52
C_5H_9O_4+	133.0355	121465.44
C_5H_9O_2+	101.0511	117207.72
CH_5O+	33.0329	116603.29
C_7H_15O_6+	195.0636	114960.64
C_5H_9O+	85.0588	109354.50
C_8H_17O_8+	241.0645	108755.06
C_6H_9O_5+	161.0642	106115.96
H_3O+	19.0186	105196.65
C_9H_9O_4+	181.0502	105186.86
C_4H_8O_2+	88.0452	105140.53
C_11H_9O_8+	269.0545	104696.99
K+	38.9627	103412.02
C^13CH_5O+	46.0342	100692.56
C_3H_6O_3+	90.0206	99020.58


