Area Statistics
	Mass (u)	Mean
C_2H_5O+	45.0342	2903316.11
CH_3O+	31.0194	2840377.12
C_2H_5O_2+	61.0280	2672035.71
C_2H_4O+	44.0266	2592918.67
C_3H_5O_3+	89.0197	1854282.79
C_3H_5O_2+	73.0269	1851281.00
C_3H_7O_2+	75.0398	961400.25
CHO+	29.0024	726965.24
C_4H_9O_3+	105.0468	659599.95
CH_3+	15.0244	582657.25
C_2H_3O+	43.0165	600248.17
C_4H_7O_4+	119.0233	600645.42
C_3H_7O_3+	91.0323	591621.00
C_5H_9O_5+	149.0294	461331.07
C_6H_11O_6+	179.0353	421160.44
C_4H_7O_3+	103.0300	422296.33
C_4H_9O_4+	121.0382	406077.21
C_3H_5+	41.0373	375292.73
C_2H_3+	27.0229	335686.49
C_5H_11O_4+	135.0515	332843.74
C_4H_8O_3+	104.0372	316291.57
CH_3O_2+	47.0098	312877.21
C_6H_9O_8+	209.0409	246106.92
C_5H_11O_5+	151.0438	260993.32
C_4H_7+	55.0518	258098.25
C_3H_7+	43.0532	257623.01
C_6H_13O_5+	165.0572	230180.44
C_3H_5O+	57.0300	216962.22
Cs+	132.8904	199018.32
C_3H_6O_2+	74.0294	206320.51
C_3H_7O+	59.0453	186318.50
C_3H_3+	39.0209	193894.53
C_7H_11O_9+	239.0468	177686.61
C_2H_5+	29.0372	183549.89
C_3H_6O+	58.0383	175726.41
C_4H_7O_2+	87.0368	155947.22
C_7H_13O_9+	241.0636	152662.16
C_9H_9O_4+	181.0496	145779.86
CH_5O+	33.0324	151343.02
C_3H_3O+	55.0143	144034.79
C_6H_11O_7+	195.0629	144226.15
C_6H_11O_5+	163.0418	144053.03
C_11H_9O_8+	269.0532	142343.33
C_4H_9+	57.0677	117191.74
H_3O+	19.0185	135118.47
C_5H_9O_4+	133.0347	132328.95
C_4H_8O_2+	88.0446	122425.88
C_2H_4+	28.0304	127995.57
C_5H_10O_4+	134.0436	116264.08
C_3H_6O_3+	90.0197	115994.46
C_7H_15O_7+	211.0559	104850.99
C^13CH_5O+	46.0335	104816.38
C_13H_15O_8+	299.0598	102429.25
C_2H_5O_3+	77.0162	100817.65
C_6H_9O_7+	193.0477	97153.52
CH_4O+	32.0218	96775.51
C_5H_9+	69.0663	89660.54
C_7H_13O_8+	225.0688	92623.98
C_8H_15O_9+	255.0760	78459.33
C_6H_12O_5+	164.0500	92964.27
C_2H_2O+	42.0074	89817.53
C_5H_7+	67.0493	73884.58
C^13CH_5O_2+	62.0264	79682.61


