Area Statistics
	Mass (u)	Mean
H-	1.0087	5332174.46
CHO_2-	44.9992	5728322.61
C_2HO-	41.0046	1561653.99
C_2H-	25.0089	1239175.34
O-	15.9953	1149895.90
OH-	17.0035	1125148.54
C_2H_3O_3-	75.0098	1095531.01
C_2H_3O_2-	59.0146	930799.50
C_2H_5O_2-	61.0296	751641.94
C_2H_3O-	43.0196	651632.99
CH_3O-	31.0194	595288.35
C_2H_2O_2-	58.0066	509187.39
C_2H_3O_4-	91.0040	458577.47
CH_3O_2-	47.0127	462372.60
C_3H_7O_3-	91.0395	442273.70
CH-	13.0082	420689.95
C_2HO_3-	72.9937	359988.00
C_3H_5O_4-	105.0191	338279.16
C_3H_3O_2-	71.0139	322230.56
CH_2O_2-	46.0006	310501.62
C_2H_5O_3-	77.0236	289630.37
C_2H_2O-	42.0008	260875.78
C_4H_9O_4-	121.0492	203879.68
C_3HO_2-	68.9978	201255.38
CN-	26.0039	181790.64
C_3H_7O_4-	107.0346	171833.73
C_2O-	39.9951	163545.98
C_4H_7O_5-	135.0285	158772.76
C_4H-	49.0072	157196.81
C_3H_5O_3-	89.0247	155732.94
C_2-	24.0001	153142.84
C-	12.0003	134195.56
CHO_3-	60.9929	123618.18
C_5H_11O_5-	151.0589	120909.41
C_3H_6O_3-	90.0313	112396.48
C_3HO-	53.0024	108810.61
CH_2-	14.0159	106627.20
C_3H_5O_2-	73.0292	102024.82
C_3H_3O_3-	87.0097	98520.96
C_5H_9O_6-	165.0381	90680.27
C_4H_9O_5-	137.0436	79149.44
C_6H_11O_7-	195.0481	80985.76
C_3H-	37.0081	80533.78
C_6H_13O_6-	181.0686	73752.57
C_4H_7O_4-	119.0343	73266.59
CHO-	29.0031	71269.54
C_4HO-	65.0024	70642.37
CH_3S-	47.0002	64868.12
C_3H_7O_2-	75.0435	57820.54
C_3-	36.0002	63423.65
C_3H_2-	38.0159	63163.46
H_3O-	19.0190	59872.67
C_7H_15O_7-	211.0779	50181.62
C_2HO_2-	56.9975	51053.25
C_7H_13O_8-	225.0587	49940.04
C_4H_8O_4-	120.0409	52849.97
C_2H_4O_3-	76.0137	53012.62
C_3H_3O-	55.0184	49121.79
C_4H_9O_3-	105.0535	41664.19
C_4H_3O-	67.0183	45008.46
C_8H_15O_9-	255.0699	41110.19
C_5H_11O_6-	167.0534	38732.60
C_5H_9O_5-	149.0442	40619.55
C_8H_17O_8-	241.0880	36965.28
CO_3-	59.9842	40170.91


