Area Statistics
	Mass (u)	STD-SiB (+Grease-floodgun) *
(null)	1.0083	21685.74
(null)	2.0164	2400.13
(null)	3.0244	741.31
(null)	12.0011	4781.30
(null)	13.0086	9550.35
(null)	14.0163	28769.23
(null)	15.0243	57691.66
(null)	15.9956	167.02
(null)	16.0287	862.53
(null)	17.0032	237.04
(null)	18.0112	132.01
(null)	19.0184	153.02
(null)	22.9914	9570.19
(null)	25.0071	903.47
(null)	26.0152	11118.31
(null)	27.0234	25565.84
(null)	27.9774	918454.34
(null)	28.0273	1342.33
(null)	28.9841	322668.35
(null)	29.0019	5577.52
(null)	29.0405	5532.20
(null)	29.9730	27642.44
(null)	29.9852	18052.40
(null)	30.0114	171.05
(null)	30.0367	297.06
(null)	30.9811	10566.55
(null)	31.0022	27975.69
(null)	31.0196	1169.25
(null)	32.0020	1413.61
(null)	32.9984	915.57
(null)	37.0061	319.07
(null)	38.0140	651.26
(null)	38.9639	2093.23
(null)	39.0229	3798.45
(null)	39.9750	946.58
(null)	40.9829	12544.91
(null)	41.0406	6594.78
(null)	41.9909	85543.80
(null)	42.0341	817.26
(null)	42.9994	597788.41
(null)	43.0560	4426.09
(null)	43.9692	6054.09
(null)	43.9976	35826.44
(null)	44.0087	37392.45
(null)	44.0516	1583.28
(null)	44.9170	2398.42
(null)	44.9778	127131.27
(null)	45.0180	292191.77
(null)	45.8676	82648.92
(null)	45.9792	8767.99
(null)	46.0171	20318.47
(null)	46.8265	4943.74
(null)	46.9737	6062.44
(null)	46.9948	23723.26
(null)	47.0146	9373.45
(null)	47.9945	1205.27
(null)	48.9919	842.60
(null)	51.0219	258.06
(null)	51.9726	228.05
(null)	52.0284	106.04
(null)	52.9823	12631.73
(null)	53.0391	1122.52
(null)	53.9878	2734.42
(null)	54.9986	21087.97
(null)	55.0564	4161.11
(null)	55.9497	1549.66
(null)	56.0031	3815.19
(null)	56.0523	544.37
(null)	56.8821	4641.68
(null)	56.9565	2193.92
(null)	56.9748	4036.31
(null)	57.0141	30105.26
(null)	58.0216	72730.22
(null)	58.0645	12223.62
(null)	58.9921	31782.72
(null)	59.0350	609984.28
(null)	59.9988	9383.00
(null)	60.0340	46742.68
(null)	60.0852	7865.27
(null)	61.0093	49476.01
(null)	61.0310	21052.83
(null)	61.9794	611.44
(null)	62.0091	3487.62
(null)	62.0340	488.27
(null)	62.9868	1418.74
(null)	63.0068	2142.36
(null)	64.9795	495.40
(null)	65.9883	1818.90
(null)	66.9587	773.84
(null)	66.9978	7977.91
(null)	67.0539	1038.53
(null)	67.9488	788.69
(null)	68.0030	1659.27
(null)	68.9573	11144.91
(null)	69.0151	15469.70
(null)	69.8850	2733.40
(null)	69.9620	3319.81
(null)	70.0189	4737.03
(null)	70.0661	705.16
(null)	71.0320	29580.27
(null)	71.9437	14674.87
(null)	71.9809	1174.38
(null)	72.0371	40871.34
(null)	72.8390	26777.48
(null)	72.9519	43728.81
(null)	72.9995	60909.87
(null)	73.0609	3554919.07
(null)	73.9488	6913.18
(null)	74.0120	14651.30
(null)	74.0550	469832.86
(null)	75.0239	269999.17
(null)	76.0239	22879.79
(null)	77.0008	9398.64
(null)	77.0213	11201.52
(null)	77.9997	818.97
(null)	78.9962	1322.32
(null)	79.9461	251.07
(null)	80.0033	176.10
(null)	80.9555	3491.63
(null)	81.0126	1565.82
(null)	81.9601	773.52
(null)	82.0192	707.94
(null)	82.9289	1101.74
(null)	82.9705	4135.49
(null)	83.0325	58434.66
(null)	83.9776	2233.37
(null)	84.0333	5687.69
(null)	84.0801	1027.20
(null)	84.9470	1697.53
(null)	84.9873	8627.29
(null)	85.0539	67622.55
(null)	85.9570	6526.32
(null)	85.9940	2496.04
(null)	86.0532	6319.81
(null)	86.9655	56342.90
(null)	87.0219	5951.67
(null)	87.0750	10360.16
(null)	87.9348	2216.41
(null)	87.9690	12113.16
(null)	88.9453	26001.03
(null)	88.9829	13810.90
(null)	89.0403	8458.67
(null)	89.9447	2988.75
(null)	89.9804	1952.64
(null)	90.0417	723.18
(null)	90.9410	1742.15
(null)	91.0013	1718.16
(null)	92.9557	641.46
(null)	93.0125	1309.38
(null)	93.9604	261.08
(null)	94.9716	1352.28
(null)	95.0298	2300.45
(null)	95.9226	434.20
(null)	96.0349	1330.68
(null)	96.9477	2254.88
(null)	96.9863	1939.55
(null)	97.0510	11317.40
(null)	97.9946	1394.40
(null)	98.0495	1158.78
(null)	98.9632	3394.85
(null)	99.0050	15512.47
