Area Statistics
	Mass (u)	STD-SiB (-Grease-floodgun) *
(null)	1.0030	4756.74
(null)	1.0085	8849265.47
(null)	2.0145	1619.91
(null)	12.0001	421234.30
(null)	13.0082	1369458.80
(null)	13.1214	387.09
(null)	14.0157	418983.86
(null)	14.1383	911.35
(null)	15.0257	58687.21
(null)	15.9960	3351550.65
(null)	17.0034	1679151.07
(null)	17.1510	422.10
(null)	17.9990	6185.60
(null)	18.9979	593.14
(null)	19.0068	3111.45
(null)	24.0000	237153.07
(null)	25.0092	1168829.37
(null)	26.0122	38221.54
(null)	27.0263	8301.87
(null)	27.9769	297171.82
(null)	28.9848	255502.25
(null)	29.0037	2284.07
(null)	29.2380	229.03
(null)	29.9732	8410.30
(null)	29.9918	49770.13
(null)	30.9818	7672.54
(null)	31.0026	5129.42
(null)	31.0186	11535.66
(null)	31.9898	13912.40
(null)	32.0224	130.20
(null)	32.9828	590.15
(null)	32.9981	705.48
(null)	34.9707	2566.09
(null)	36.0004	7978.02
(null)	36.9675	798.32
(null)	37.0085	8141.39
(null)	38.0177	16227.60
(null)	39.0290	29214.55
(null)	39.9775	28664.20
(null)	39.9960	3400.67
(null)	40.9863	220638.40
(null)	41.0055	37449.77
(null)	41.3457	160.02
(null)	41.9928	65347.78
(null)	42.9823	6875.78
(null)	43.0019	69721.75
(null)	43.0218	15192.54
(null)	43.9737	93626.94
(null)	44.0047	6507.49
(null)	44.9813	123367.64
(null)	45.9798	10990.13
(null)	46.9787	4293.60
(null)	46.9990	4348.05
(null)	48.0004	1531.94
(null)	49.0110	17561.23
(null)	50.0158	1610.97
(null)	51.0287	7465.17
(null)	51.9784	10960.35
(null)	52.0306	357.61
(null)	52.9870	16326.47
(null)	53.9947	13811.16
(null)	55.0043	22576.65
(null)	55.9550	5332.79
(null)	55.9728	4921.83
(null)	56.0089	4046.52
(null)	56.9627	7029.32
(null)	56.9810	33636.93
(null)	57.0197	41139.91
(null)	57.5188	255.04
(null)	57.9889	133916.96
(null)	58.0203	3320.46
