Area Statistics
	Mass (u)	PET0 (-PET0-Floodgun-1) *
(null)	1.0087	4312778.01
(null)	12.0006	308771.39
(null)	13.0084	586566.11
(null)	14.0159	59521.90
(null)	15.0250	5133.85
(null)	15.9956	1229407.74
(null)	17.0033	675625.13
(null)	17.9995	2106.40
(null)	18.9988	5120.63
(null)	19.0075	1328.79
(null)	24.0005	613945.91
(null)	24.9892	11505.63
(null)	25.0096	2681074.73
(null)	26.0038	83654.49
(null)	26.0122	67501.38
(null)	27.0072	1289.06
(null)	27.0249	19462.11
(null)	27.9772	1684.93
(null)	28.9561	788.74
(null)	28.9854	2101.59
(null)	29.0038	11289.32
(null)	31.0198	35968.34
(null)	31.9728	2566.05
(null)	31.9900	15689.79
(null)	32.9813	3730.45
(null)	32.9977	1318.52
(null)	34.9698	81095.28
(null)	36.0007	228694.72
(null)	36.9668	27645.54
(null)	37.0086	189621.24
(null)	38.0162	100095.96
(null)	39.0251	55764.29
(null)	39.9955	93249.35
(null)	40.0200	3156.19
(null)	40.0305	2731.94
(null)	40.9509	4730.69
(null)	41.0044	511568.61
(null)	41.0415	4433.35
(null)	42.0008	54985.65
(null)	43.0205	336663.47
(null)	43.9726	2223.72
(null)	43.9903	7574.55
(null)	44.0229	8768.27
(null)	44.9800	4075.81
(null)	44.9990	192575.66
(null)	45.0359	3453.07
(null)	45.9929	1922.74
(null)	46.0020	2869.85
(null)	46.9698	783.25
(null)	47.0023	957.00
(null)	47.0148	638.88
(null)	47.9690	4204.65
(null)	48.0005	340036.66
(null)	49.0094	1381563.25
(null)	49.8675	2588.13
(null)	50.0131	104386.82
(null)	51.0248	92293.32
(null)	51.9766	949.40
(null)	51.9956	37767.59
(null)	52.0281	5757.10
(null)	53.0038	84034.46
(null)	53.0415	5549.87
(null)	54.0100	7146.96
(null)	55.0201	19641.82
(null)	55.9722	662.20
(null)	56.0241	1057.80
(null)	56.9806	2317.06
(null)	56.9995	6778.65
(null)	57.0365	4989.89
(null)	57.9874	2255.96
(null)	58.0068	31781.99
(null)	58.9953	6898.89
(null)	59.0152	101814.51
(null)	59.9673	28574.42
(null)	60.0007	222324.09
(null)	60.9751	28600.88
(null)	61.0084	219965.47
(null)	61.0327	6212.63
(null)	61.9896	6016.14
(null)	62.0164	192587.77
(null)	62.9651	35405.77
(null)	63.0243	106581.04
(null)	63.1038	688.38
(null)	63.9630	10218.81
(null)	63.9955	33564.57
(null)	64.0317	29251.77
(null)	65.0039	280756.57
(null)	65.0408	30912.28
(null)	65.9571	501.20
(null)	66.0082	29170.85
(null)	66.0435	2401.51
(null)	67.0198	54840.70
(null)	67.9723	1800.13
(null)	67.9913	1749.92
(null)	68.0212	3913.45
(null)	68.9778	2621.32
(null)	68.9993	112981.81
(null)	69.0360	8872.37
(null)	70.0037	5426.15
(null)	71.0148	48816.30
(null)	71.9681	7742.59
(null)	72.0002	237186.55
(null)	73.0089	829778.77
(null)	73.9818	4864.06
(null)	74.0136	101042.76
(null)	74.2884	1809.24
(null)	74.9907	30485.59
(null)	75.0249	278012.89
(null)	75.8902	4884.52
(null)	75.9945	57699.77
(null)	76.0335	729788.35
(null)	76.8961	4027.10
(null)	76.9701	43645.36
(null)	77.0034	61968.50
(null)	77.0403	218402.76
(null)	77.3660	4588.48
(null)	78.0106	12907.52
(null)	78.0443	13976.05
(null)	78.3931	3011.65
(null)	78.9602	57831.26
(null)	79.0196	22628.53
(null)	79.0562	3175.43
(null)	79.9582	38486.59
(null)	79.9902	3078.56
(null)	80.0257	3019.47
(null)	80.9166	597.24
(null)	80.9667	9871.90
(null)	80.9987	2970.05
(null)	81.0360	5360.71
(null)	81.9552	2335.08
(null)	82.0065	5355.55
(null)	83.0154	6589.27
(null)	83.0522	1572.35
(null)	83.9656	4816.04
(null)	84.0000	129720.91
(null)	84.9747	9136.75
(null)	85.0077	135088.18
(null)	85.0326	3525.15
(null)	86.0158	135198.44
(null)	86.4986	828.28
(null)	87.0230	65065.01
(null)	87.5240	948.36
(null)	87.9955	9638.94
(null)	88.0315	37397.90
(null)	88.5503	770.25
(null)	89.0033	91932.71
(null)	89.0403	52278.59
(null)	89.5751	511.15
(null)	90.0096	21081.50
(null)	90.0474	19345.69
(null)	90.6019	834.35
(null)	91.0196	88849.08
(null)	91.0563	8883.99
(null)	91.9904	4085.41
(null)	92.0276	88937.92
(null)	92.9291	2486.39
(null)	92.9984	19202.51
(null)	93.0354	70915.19
(null)	94.0039	2329.31
(null)	94.0384	4955.60
(null)	94.9272	1176.60
(null)	94.9815	1808.59
(null)	95.0152	10766.25
(null)	95.0516	1675.38
(null)	95.9571	21658.81
(null)	95.9994	117799.06
(null)	96.9624	41259.24
(null)	97.0080	380307.51
(null)	98.0123	49623.78
(null)	98.7089	1160.53
(null)	98.8988	914.69
(null)	98.9532	4281.52
(null)	99.0233	51285.73
(null)	99.9951	3141.77
(null)	100.0318	26846.45
(null)	100.9485	2615.64
(null)	100.9703	3971.90
(null)	101.0032	10294.84
(null)	101.0406	40382.21
(null)	102.0101	6874.28
(null)	102.0451	6171.44
(null)	102.8134	714.30
(null)	103.0192	13129.87
(null)	103.0565	7627.36
(null)	103.9366	1101.82
(null)	103.9860	952.60
(null)	104.0273	15720.86
(null)	104.9461	4418.26
(null)	105.0358	100857.02
(null)	106.0057	5168.33
(null)	106.0402	11291.37
(null)	106.8776	1235.82
(null)	107.0150	4993.06
(null)	107.0507	4043.05
(null)	107.9599	10655.14
(null)	107.9991	59536.99
(null)	108.0240	5740.46
(null)	108.9679	8975.08
(null)	109.0070	82256.06
(null)	110.0151	66824.07
(null)	111.0220	34091.05
(null)	111.9458	1184.09
(null)	111.9951	2205.38
(null)	112.0308	20464.62
(null)	113.0028	20099.02
(null)	113.0395	24260.72
(null)	114.0079	5520.23
(null)	114.0478	13558.46
(null)	115.0190	18416.48
(null)	115.0561	10333.50
(null)	116.0274	30322.56
(null)	116.0616	1890.30
(null)	116.9450	3261.52
(null)	116.9981	5781.53
(null)	117.0349	26873.22
(null)	118.0430	16357.19
(null)	118.9615	4933.86
(null)	119.0154	15810.83
(null)	119.0514	15386.72
(null)	120.0232	456743.68
(null)	121.0058	156528.74
(null)	121.0331	684511.33
(null)	122.0102	25062.99
(null)	122.0357	54040.61
(null)	122.9720	1786.67
(null)	123.0246	25798.65
(null)	123.1528	1394.49
(null)	124.0308	11025.09
(null)	124.9945	8760.84
(null)	125.0392	14488.72
(null)	126.0074	2469.21
(null)	126.0461	3850.95
(null)	126.9024	1310.82
(null)	127.0184	2712.84
(null)	127.0559	4111.26
(null)	128.0273	4350.55
(null)	128.0640	850.83
(null)	128.8976	1045.77
(null)	129.0355	18659.38
(null)	130.0059	2031.97
(null)	130.0417	5253.12
(null)	131.0145	5858.83
(null)	131.0512	5666.75
(null)	131.9586	3969.20
(null)	131.9982	16377.96
(null)	132.0236	5200.78
(null)	133.0062	37488.61
(null)	133.0309	26640.89
(null)	133.0703	1301.99
(null)	133.8676	1695.52
(null)	134.0144	36369.98
(null)	134.0402	13187.83
(null)	134.9556	6370.21
(null)	135.0197	24599.00
(null)	135.0469	26196.68
(null)	135.8635	1860.74
(null)	135.9145	2815.11
(null)	136.0243	27356.01
(null)	136.3645	511.14
(null)	136.8702	1604.46
(null)	136.9319	8182.48
(null)	137.0345	28581.54
(null)	137.8625	1324.83
(null)	138.0457	10322.77
(null)	138.8675	787.41
(null)	138.9699	1771.24
(null)	139.0183	4666.20
(null)	139.0553	6516.63
(null)	139.8608	615.22
(null)	140.0270	4937.72
(null)	140.0636	2723.69
(null)	141.0343	8686.08
(null)	141.0747	2441.65
(null)	142.0424	6236.71
(null)	143.0123	2361.53
(null)	143.0509	7344.52
(null)	143.9569	7748.99
(null)	143.9971	13455.92
(null)	144.0234	5432.96
(null)	144.0570	1373.87
(null)	144.8695	2487.15
(null)	145.0065	67480.80
(null)	145.0332	13544.56
(null)	146.0100	11043.25
(null)	146.0382	4805.48
(null)	146.8666	3475.17
(null)	147.0460	79387.52
(null)	148.0151	6898.16
(null)	148.0499	8956.83
(null)	149.0277	39319.41
(null)	149.0611	17648.02
(null)	149.6256	1503.08
(null)	150.0540	4830.16
(null)	150.8687	1109.82
(null)	151.0535	7083.96
(null)	152.0637	29700.45
(null)	152.8660	1308.34
(null)	152.8926	1897.51
(null)	152.9168	2817.87
(null)	153.0334	7449.47
(null)	153.0700	6147.93
(null)	154.0416	2714.80
(null)	154.7342	1170.77
(null)	154.8638	832.41
(null)	154.8938	2112.76
(null)	155.0511	2997.11
(null)	155.8951	1000.56
(null)	155.9967	6116.47
(null)	156.0589	1255.12
(null)	157.0053	15642.60
(null)	157.0672	1456.77
(null)	158.0151	17596.52
(null)	159.0202	10819.90
(null)	159.8700	1366.89
(null)	160.0273	8202.71
(null)	160.9231	2106.28
(null)	161.0343	18849.71
(null)	161.8670	1733.45
(null)	162.0427	8728.47
(null)	163.0430	27878.10
(null)	163.8642	1601.27
(null)	164.0486	8206.19
(null)	165.0231	59101.23
(null)	165.0592	27945.50
(null)	165.8630	733.49
(null)	166.0516	9850.61
(null)	167.0488	8013.26
(null)	168.0590	3882.91
(null)	168.8358	15259.69
(null)	169.0071	24701.83
(null)	169.0664	2642.46
(null)	170.0093	4238.33
(null)	170.8329	21770.49
(null)	170.8830	1990.99
(null)	171.0126	2037.53
(null)	171.0464	3420.02
(null)	171.8333	1526.96
(null)	171.8887	871.24
(null)	172.0271	2122.81
(null)	172.8303	18231.10
(null)	173.0325	6010.15
(null)	173.8301	1513.97
(null)	173.8869	546.80
(null)	174.0408	2834.05
(null)	174.8278	9589.75
(null)	175.0476	4552.45
(null)	175.8259	547.18
(null)	176.0617	1718.41
(null)	176.8258	2850.55
(null)	177.0234	8921.32
(null)	178.0377	4664.44
(null)	178.9290	2418.92
(null)	179.0446	12709.58
(null)	180.0536	5835.15
(null)	180.9067	1989.69
(null)	181.0080	9715.09
(null)	181.0640	5786.00
(null)	182.0131	7586.15
(null)	183.0179	6579.56
(null)	184.0287	3456.63
(null)	185.0364	8176.04
(null)	186.0421	4040.72
(null)	187.0481	4630.03
(null)	188.0603	1779.46
(null)	189.0264	3110.27
(null)	189.0703	2483.29
(null)	190.0390	2050.42
(null)	191.0426	18490.59
(null)	192.0513	5480.32
(null)	193.0054	9688.57
(null)	193.0559	9669.96
(null)	194.0076	2401.79
(null)	194.9238	1764.41
(null)	195.0464	6707.98
(null)	196.0518	9204.08
(null)	196.8989	1325.20
(null)	197.0644	2918.67
(null)	197.9004	743.56
(null)	199.0498	2080.70
(null)	204.0583	1308.90
(null)	205.0061	2232.22
(null)	205.0588	2693.01
(null)	206.0147	4327.46
(null)	207.0333	14274.31
(null)	208.0540	2427.75
(null)	209.0459	12143.44
(null)	210.0472	3919.66
(null)	211.0438	4442.08
(null)	212.0522	1877.85
(null)	213.0523	3272.34
(null)	215.0432	2366.86
(null)	216.0572	1475.43
(null)	217.0062	2810.09
(null)	217.0614	2233.69
(null)	218.0741	770.93
(null)	219.0402	1914.66
(null)	220.0532	1566.61
(null)	221.0491	3323.04
(null)	225.0521	3614.49
(null)	227.1972	547.47
(null)	230.0102	1619.56
(null)	233.0406	3282.23
(null)	234.0360	1108.79
(null)	235.0425	3486.43
(null)	236.0520	1566.25
(null)	238.0742	670.54
(null)	255.2375	601.22
(null)	261.0522	1467.20
(null)	265.1437	658.90
(null)	313.0700	2831.53
(null)	357.0609	1695.59
(null)	401.0905	594.32
(null)	473.2731	1008.13
(null)	475.0972	800.45


