Area Statistics
	Mass (u)	PET0 (+PET0-Floodgun-1) *
(null)	1.0073	15052.73
(null)	2.0150	1781.89
(null)	3.0227	624.26
(null)	11.9986	9289.41
(null)	13.0064	11841.53
(null)	14.0143	22669.62
(null)	15.0228	89258.04
(null)	16.0260	973.63
(null)	17.0011	337.08
(null)	18.0090	482.15
(null)	18.0351	2144.10
(null)	19.0180	12429.41
(null)	22.9898	796857.47
(null)	23.9836	2582.98
(null)	23.9972	884.20
(null)	24.9842	321.07
(null)	25.0054	5087.72
(null)	25.9809	1114.31
(null)	25.9929	1155.84
(null)	26.0136	56809.76
(null)	26.9721	1198.26
(null)	27.0226	493926.14
(null)	27.9744	6142.39
(null)	27.9923	1795.50
(null)	28.0170	4303.19
(null)	28.0294	68206.98
(null)	28.9827	4407.57
(null)	29.0013	95366.62
(null)	29.0384	290804.90
(null)	30.0081	4408.58
(null)	30.0336	5133.53
(null)	30.0420	7754.27
(null)	30.9989	1644.03
(null)	31.0174	66197.84
(null)	32.0212	984.72
(null)	33.0331	596.36
(null)	35.9967	914.54
(null)	36.9672	995.42
(null)	37.0054	23335.26
(null)	38.0133	78534.28
(null)	38.9634	636315.48
(null)	39.0218	496996.44
(null)	39.9608	84255.06
(null)	40.0284	68536.87
(null)	40.9606	47567.89
(null)	40.9694	32405.10
(null)	40.9995	31730.10
(null)	41.0384	633377.31
(null)	41.9571	775.56
(null)	41.9894	1748.91
(null)	42.0083	26821.75
(null)	42.0429	57081.12
(null)	42.9975	13092.30
(null)	43.0177	255512.67
(null)	43.0542	225490.85
(null)	43.9532	1813.07
(null)	44.0229	16113.59
(null)	44.0545	13126.14
(null)	44.9775	15253.70
(null)	44.9959	22109.80
(null)	45.0145	5781.66
(null)	45.0330	166982.22
(null)	45.9780	2162.92
(null)	46.0011	594.74
(null)	46.0358	4344.30
(null)	46.9923	2752.04
(null)	47.0115	2137.18
(null)	47.0374	420.21
(null)	47.9953	329.16
(null)	49.0040	6223.00
(null)	50.0133	197651.26
(null)	50.9797	13594.78
(null)	51.0218	505517.50
(null)	52.0285	124818.93
(null)	53.0009	157535.60
(null)	53.0374	239652.16
(null)	53.9757	3484.32
(null)	54.0064	11703.55
(null)	54.0436	43806.90
(null)	54.9836	4347.15
(null)	55.0174	183637.52
(null)	55.0540	310459.53
(null)	55.9537	1208.33
(null)	56.0217	10445.34
(null)	56.0577	30283.26
(null)	56.9632	80058.26
(null)	57.0328	32356.11
(null)	57.0702	78027.51
(null)	58.0029	691.98
(null)	58.0218	2206.53
(null)	58.0392	4079.60
(null)	58.0670	11314.14
(null)	58.9596	774.46
(null)	58.9923	2112.63
(null)	59.0120	6817.46
(null)	59.0313	10859.62
(null)	59.0486	13282.06
(null)	59.9966	1500.02
(null)	60.0190	1768.69
(null)	60.0542	10096.23
(null)	60.0810	528.48
(null)	60.9557	2628.11
(null)	61.0046	31353.56
(null)	61.0278	2447.34
(null)	61.9832	21393.94
(null)	62.0126	150744.78
(null)	63.0213	432168.45
(null)	64.0277	86703.84
(null)	64.9677	36627.93
(null)	65.0379	378156.88
(null)	66.0077	20795.59
(null)	66.0431	51921.65
(null)	66.9558	2125.94
(null)	66.9816	6184.37
(null)	67.0174	31337.45
(null)	67.0534	122633.46
(null)	68.0235	14284.84
(null)	68.0582	16289.45
(null)	68.9687	6135.15
(null)	68.9959	21312.20
(null)	69.0327	22462.02
(null)	69.0701	63153.85
(null)	69.9702	1101.28
(null)	70.0002	1298.73
(null)	70.0369	4302.28
(null)	70.0725	8162.09
(null)	70.9831	4904.67
(null)	71.0112	12142.19
(null)	71.0488	9719.98
(null)	71.0872	13231.10
(null)	71.9453	696.49
(null)	71.9797	1062.74
(null)	72.0152	774.89
(null)	72.0443	5047.84
(null)	72.0842	1898.02
(null)	72.9529	1831.47
(null)	73.0031	7120.29
(null)	73.0276	19529.00
(null)	73.0499	44262.57
(null)	73.9224	1498.60
(null)	73.9808	34072.08
(null)	74.0119	163644.84
(null)	74.0522	4552.35
(null)	74.9293	2671.08
(null)	75.0208	350042.02
(null)	75.9372	5808.47
(null)	76.0288	516893.29
(null)	76.9584	43186.51
(null)	76.9975	126082.13
(null)	77.0368	736295.93
(null)	77.7874	16650.16
(null)	77.9730	7808.69
(null)	78.0038	14630.16
(null)	78.0424	143577.67
(null)	78.9507	7525.40
(null)	78.9818	7952.48
(null)	79.0158	55821.25
(null)	79.0520	99891.84
(null)	80.0214	6479.10
(null)	80.0577	16233.75
(null)	80.9613	5075.61
(null)	80.9990	4165.63
(null)	81.0323	24849.28
(null)	81.0695	47773.82
(null)	81.9590	1125.26
(null)	82.0026	1380.01
(null)	82.0375	4846.01
(null)	82.0727	6131.81
(null)	82.9788	6827.37
(null)	83.0110	4041.65
(null)	83.0482	9746.64
(null)	83.0865	13626.87
(null)	83.9499	1110.11
(null)	83.9929	1242.86
(null)	84.0176	1349.07
(null)	84.0520	2532.77
(null)	84.0862	2285.38
(null)	84.9575	6468.15
(null)	85.0023	21037.27
(null)	85.0271	3649.78
(null)	85.0647	3039.45
(null)	85.1035	3751.90
(null)	85.9795	23429.65
(null)	86.0109	102298.60
(null)	86.9646	6603.46
(null)	87.0194	162359.00
(null)	88.0270	69926.61
(null)	88.9651	9160.67
(null)	89.0352	165578.36
(null)	90.0075	10732.84
(null)	90.0432	79864.21
(null)	91.0140	41319.18
(null)	91.0518	216840.00
(null)	92.0228	31294.07
(null)	92.0560	23341.09
(null)	92.9939	5839.43
(null)	93.0301	19631.30
(null)	93.0688	21392.75
(null)	94.0379	6715.81
(null)	94.0720	3893.27
(null)	94.9263	1517.13
(null)	95.0110	7829.32
(null)	95.0475	8228.85
(null)	95.0861	17538.82
(null)	95.9157	7843.28
(null)	96.0157	1312.44
(null)	96.0506	1985.47
(null)	96.0881	2454.23
(null)	96.9229	4433.64
(null)	97.0003	6153.70
(null)	97.0293	11784.06
(null)	97.0647	3202.93
(null)	97.1011	5994.18
(null)	97.9639	11499.78
(null)	98.0098	85651.24
(null)	98.9728	8760.27
(null)	99.0182	72354.74
(null)	99.9068	720.64
(null)	100.0255	22544.26
(null)	100.0767	1162.72
(null)	100.9966	14828.34
(null)	101.0347	60775.29
(null)	102.0424	87221.49
(null)	103.0165	155047.36
(null)	103.0499	72107.64
(null)	104.0246	797575.95
(null)	104.0590	22759.76
(null)	105.0314	451033.77
(null)	105.0683	47884.19
(null)	106.0349	45162.05
(null)	106.0723	5833.64
(null)	107.0451	17875.39
(null)	107.0850	6144.17
(null)	108.0171	1726.28
(null)	108.0511	2535.90
