# Binning: 1 channel
# Deadtime Correction: on
Channel	m/z	Intensity
0	0.000094	0
1	0.000095	0
2	0.000095	0
3	0.000096	0
4	0.000096	0
5	0.000096	0
6	0.000097	0
7	0.000097	0
8	0.000098	0
9	0.000098	0
10	0.000099	0
11	0.000099	0
12	0.000100	0
13	0.000100	0
14	0.000101	0
15	0.000101	0
16	0.000102	0
17	0.000102	0
18	0.000103	0
19	0.000103	0
20	0.000103	0
21	0.000104	0
22	0.000104	0
23	0.000105	0
24	0.000105	0
25	0.000106	0
26	0.000106	0
27	0.000107	0
28	0.000107	0
29	0.000108	0
30	0.000108	0
31	0.000109	0
32	0.000109	0
33	0.000110	0
34	0.000110	0
35	0.000111	0
36	0.000111	0
37	0.000112	0
38	0.000112	0
39	0.000113	0
40	0.000113	0
41	0.000114	0
42	0.000114	0
43	0.000115	0
44	0.000115	0
45	0.000116	0
46	0.000116	0
47	0.000117	0
48	0.000117	0
49	0.000118	0
50	0.000118	0
51	0.000119	0
52	0.000119	0
53	0.000120	0
54	0.000120	0
55	0.000121	0
56	0.000121	0
57	0.000122	0
58	0.000122	0
59	0.000123	0
60	0.000123	0
61	0.000124	0
62	0.000124	0
63	0.000125	0
64	0.000125	0
65	0.000126	0
66	0.000127	0
67	0.000127	0
68	0.000128	0
69	0.000128	0
70	0.000129	0
71	0.000129	0
72	0.000130	0
73	0.000130	0
74	0.000131	0
75	0.000131	0
76	0.000132	0
77	0.000132	0
78	0.000133	0
79	0.000133	0
80	0.000134	0
81	0.000135	0
82	0.000135	0
83	0.000136	0
84	0.000136	0
85	0.000137	0
86	0.000137	0
87	0.000138	0
88	0.000138	0
89	0.000139	0
90	0.000139	0
91	0.000140	0
92	0.000141	0
93	0.000141	0
94	0.000142	0
95	0.000142	0
96	0.000143	0
97	0.000143	0
98	0.000144	0
99	0.000144	0
100	0.000145	0
101	0.000146	0
102	0.000146	0
103	0.000147	0
104	0.000147	0
105	0.000148	0
106	0.000148	0
107	0.000149	0
108	0.000150	0
109	0.000150	0
110	0.000151	0
111	0.000151	0
112	0.000152	0
113	0.000152	0
114	0.000153	0
115	0.000154	0
116	0.000154	0
117	0.000155	0
118	0.000155	0
119	0.000156	0
120	0.000157	0
121	0.000157	0
122	0.000158	0
123	0.000158	0
124	0.000159	0
125	0.000159	0
126	0.000160	0
127	0.000161	0
128	0.000161	0
129	0.000162	0
130	0.000162	0
131	0.000163	0
132	0.000164	0
133	0.000164	0
134	0.000165	0
135	0.000165	0
136	0.000166	0
137	0.000167	0
138	0.000167	0
139	0.000168	0
140	0.000168	0
141	0.000169	0
142	0.000170	0
143	0.000170	0
144	0.000171	0
145	0.000171	0
146	0.000172	0
147	0.000173	0
148	0.000173	0
149	0.000174	0
150	0.000175	0
151	0.000175	0
152	0.000176	0
153	0.000176	0
154	0.000177	0
155	0.000178	0
156	0.000178	0
157	0.000179	0
158	0.000180	0
159	0.000180	0
160	0.000181	0
161	0.000181	0
162	0.000182	0
163	0.000183	0
164	0.000183	0
165	0.000184	0
166	0.000185	0
167	0.000185	0
168	0.000186	0
169	0.000186	0
170	0.000187	0
171	0.000188	0
172	0.000188	0
173	0.000189	0
174	0.000190	0
175	0.000190	0
176	0.000191	0
177	0.000192	0
178	0.000192	0
179	0.000193	0
180	0.000194	0
181	0.000194	0
182	0.000195	0
183	0.000196	0
184	0.000196	0
185	0.000197	0
186	0.000197	0
187	0.000198	0
188	0.000199	0
189	0.000199	0
190	0.000200	0
191	0.000201	0
192	0.000201	0
193	0.000202	0
194	0.000203	0
195	0.000203	0
196	0.000204	0
197	0.000205	0
198	0.000205	0
199	0.000206	0
200	0.000207	0
201	0.000207	0
202	0.000208	0
203	0.000209	0
204	0.000209	0
205	0.000210	0
206	0.000211	0
207	0.000212	0
208	0.000212	0
209	0.000213	0
210	0.000214	0
211	0.000214	0
212	0.000215	0
213	0.000216	0
214	0.000216	0
215	0.000217	0
216	0.000218	0
217	0.000218	0
218	0.000219	0
219	0.000220	0
220	0.000220	0
221	0.000221	0
222	0.000222	0
223	0.000223	0
224	0.000223	0
225	0.000224	0
226	0.000225	0
227	0.000225	0
228	0.000226	0
229	0.000227	0
230	0.000227	0
231	0.000228	0
232	0.000229	0
233	0.000230	0
234	0.000230	0
235	0.000231	0
236	0.000232	0
237	0.000232	0
238	0.000233	0
239	0.000234	0
240	0.000235	0
241	0.000235	0
242	0.000236	0
243	0.000237	0
244	0.000237	0
245	0.000238	0
246	0.000239	0
247	0.000240	0
248	0.000240	0
249	0.000241	0
250	0.000242	0
251	0.000242	0
252	0.000243	0
253	0.000244	0
254	0.000245	0
255	0.000245	0
256	0.000246	0
257	0.000247	0
258	0.000248	0
259	0.000248	0
260	0.000249	0
261	0.000250	0
262	0.000251	0
263	0.000251	0
264	0.000252	0
265	0.000253	0
266	0.000254	0
267	0.000254	0
268	0.000255	0
269	0.000256	0
270	0.000257	0
271	0.000257	0
272	0.000258	0
273	0.000259	0
274	0.000260	0
275	0.000260	0
276	0.000261	0
277	0.000262	0
278	0.000263	0
279	0.000263	0
280	0.000264	0
281	0.000265	0
282	0.000266	0
283	0.000266	0
284	0.000267	0
285	0.000268	0
286	0.000269	0
287	0.000269	0
288	0.000270	0
289	0.000271	0
290	0.000272	0
291	0.000272	0
292	0.000273	0
293	0.000274	0
294	0.000275	0
295	0.000276	0
296	0.000276	0
297	0.000277	0
298	0.000278	0
299	0.000279	0
300	0.000279	0
301	0.000280	0
302	0.000281	0
303	0.000282	0
304	0.000283	0
305	0.000283	0
306	0.000284	0
307	0.000285	0
308	0.000286	0
309	0.000287	0
310	0.000287	0
311	0.000288	0
312	0.000289	0
313	0.000290	0
314	0.000291	0
315	0.000291	0
316	0.000292	0
317	0.000293	0
318	0.000294	0
319	0.000295	0
320	0.000295	0
321	0.000296	0
322	0.000297	0
323	0.000298	0
324	0.000299	0
325	0.000299	0
326	0.000300	0
