# Binning: 1 channel
# Deadtime Correction: on
Channel	m/z	Intensity
0	0.000084	0
1	0.000084	0
2	0.000084	0
3	0.000085	0
4	0.000085	0
5	0.000086	0
6	0.000086	0
7	0.000087	0
8	0.000087	0
9	0.000087	0
10	0.000088	0
11	0.000088	0
12	0.000089	0
13	0.000089	0
14	0.000090	0
15	0.000090	0
16	0.000090	0
17	0.000091	0
18	0.000091	0
19	0.000092	0
20	0.000092	0
21	0.000093	0
22	0.000093	0
23	0.000094	0
24	0.000094	0
25	0.000094	0
26	0.000095	0
27	0.000095	0
28	0.000096	0
29	0.000096	0
30	0.000097	0
31	0.000097	0
32	0.000098	0
33	0.000098	0
34	0.000099	0
35	0.000099	0
36	0.000100	0
37	0.000100	0
38	0.000100	0
39	0.000101	0
40	0.000101	0
41	0.000102	0
42	0.000102	0
43	0.000103	0
44	0.000103	0
45	0.000104	0
46	0.000104	0
47	0.000105	0
48	0.000105	0
49	0.000106	0
50	0.000106	0
51	0.000107	0
52	0.000107	0
53	0.000108	0
54	0.000108	0
55	0.000109	0
56	0.000109	0
57	0.000110	0
58	0.000110	0
59	0.000111	0
60	0.000111	0
61	0.000111	0
62	0.000112	0
63	0.000112	0
64	0.000113	0
65	0.000113	0
66	0.000114	0
67	0.000114	0
68	0.000115	0
69	0.000115	0
70	0.000116	0
71	0.000116	0
72	0.000117	0
73	0.000117	0
74	0.000118	0
75	0.000118	0
76	0.000119	0
77	0.000119	0
78	0.000120	0
79	0.000121	0
80	0.000121	0
81	0.000122	0
82	0.000122	0
83	0.000123	0
84	0.000123	0
85	0.000124	0
86	0.000124	0
87	0.000125	0
88	0.000125	0
89	0.000126	0
90	0.000126	0
91	0.000127	0
92	0.000127	0
93	0.000128	0
94	0.000128	0
95	0.000129	0
96	0.000129	0
97	0.000130	0
98	0.000130	0
99	0.000131	0
100	0.000131	0
101	0.000132	0
102	0.000133	0
103	0.000133	0
104	0.000134	0
105	0.000134	0
106	0.000135	0
107	0.000135	0
108	0.000136	0
109	0.000136	0
110	0.000137	0
111	0.000137	0
112	0.000138	0
113	0.000139	0
114	0.000139	0
115	0.000140	0
116	0.000140	0
117	0.000141	0
118	0.000141	0
119	0.000142	0
120	0.000142	0
121	0.000143	0
122	0.000143	0
123	0.000144	0
124	0.000145	0
125	0.000145	0
126	0.000146	0
127	0.000146	0
128	0.000147	0
129	0.000147	0
130	0.000148	0
131	0.000149	0
132	0.000149	0
133	0.000150	0
134	0.000150	0
135	0.000151	0
136	0.000151	0
137	0.000152	0
138	0.000153	0
139	0.000153	0
140	0.000154	0
141	0.000154	0
142	0.000155	0
143	0.000155	0
144	0.000156	0
145	0.000157	0
146	0.000157	0
147	0.000158	0
148	0.000158	0
149	0.000159	0
150	0.000160	0
151	0.000160	0
152	0.000161	0
153	0.000161	0
154	0.000162	0
155	0.000162	0
156	0.000163	0
157	0.000164	0
158	0.000164	0
159	0.000165	0
160	0.000165	0
161	0.000166	0
162	0.000167	0
163	0.000167	0
164	0.000168	0
165	0.000168	0
166	0.000169	0
167	0.000170	0
168	0.000170	0
169	0.000171	0
170	0.000171	0
171	0.000172	0
172	0.000173	0
173	0.000173	0
174	0.000174	0
175	0.000175	0
176	0.000175	0
177	0.000176	0
178	0.000176	0
179	0.000177	0
180	0.000178	0
181	0.000178	0
182	0.000179	0
183	0.000180	0
184	0.000180	0
185	0.000181	0
186	0.000181	0
187	0.000182	0
188	0.000183	0
189	0.000183	0
190	0.000184	0
191	0.000185	0
192	0.000185	0
193	0.000186	0
194	0.000186	0
195	0.000187	0
196	0.000188	0
197	0.000188	0
198	0.000189	0
199	0.000190	0
200	0.000190	0
201	0.000191	0
202	0.000192	0
203	0.000192	0
204	0.000193	0
205	0.000193	0
206	0.000194	0
207	0.000195	0
208	0.000195	0
209	0.000196	0
210	0.000197	0
211	0.000197	0
212	0.000198	0
213	0.000199	0
214	0.000199	0
215	0.000200	0
216	0.000201	0
217	0.000201	0
218	0.000202	0
219	0.000203	0
220	0.000203	0
221	0.000204	0
222	0.000205	0
223	0.000205	0
224	0.000206	0
225	0.000207	0
226	0.000207	0
227	0.000208	0
228	0.000209	0
229	0.000209	0
230	0.000210	0
231	0.000211	0
232	0.000211	0
233	0.000212	0
234	0.000213	0
235	0.000213	0
236	0.000214	0
237	0.000215	0
238	0.000215	0
239	0.000216	0
240	0.000217	0
241	0.000217	0
242	0.000218	0
243	0.000219	0
244	0.000220	0
245	0.000220	0
246	0.000221	0
247	0.000222	0
248	0.000222	0
249	0.000223	0
250	0.000224	0
251	0.000224	0
252	0.000225	0
253	0.000226	0
254	0.000227	0
255	0.000227	0
256	0.000228	0
257	0.000229	0
258	0.000229	0
259	0.000230	0
260	0.000231	0
261	0.000231	0
262	0.000232	0
263	0.000233	0
264	0.000234	0
265	0.000234	0
266	0.000235	0
267	0.000236	0
268	0.000236	0
269	0.000237	0
270	0.000238	0
271	0.000239	0
272	0.000239	0
273	0.000240	0
274	0.000241	0
275	0.000241	0
276	0.000242	0
277	0.000243	0
278	0.000244	0
279	0.000244	0
280	0.000245	0
281	0.000246	0
282	0.000247	0
283	0.000247	1
284	0.000248	0
285	0.000249	0
286	0.000249	0
287	0.000250	0
288	0.000251	0
289	0.000252	0
290	0.000252	1
291	0.000253	0
292	0.000254	0
293	0.000255	0
294	0.000255	0
295	0.000256	0
296	0.000257	0
297	0.000258	0
298	0.000258	0
299	0.000259	0
300	0.000260	0
301	0.000261	0
302	0.000261	0
303	0.000262	0
304	0.000263	0
305	0.000264	0
306	0.000264	0
307	0.000265	0
308	0.000266	0
309	0.000267	0
310	0.000267	0
311	0.000268	0
312	0.000269	0
313	0.000270	0
314	0.000270	0
315	0.000271	0
316	0.000272	0
317	0.000273	0
318	0.000274	0
319	0.000274	0
320	0.000275	0
321	0.000276	0
322	0.000277	0
323	0.000277	0
324	0.000278	0
325	0.000279	0
326	0.000280	0
327	0.000281	0
328	0.000281	0
329	0.000282	0
330	0.000283	0
331	0.000284	0
332	0.000284	0
333	0.000285	0
334	0.000286	0
335	0.000287	0
336	0.000288	0
337	0.000288	0
338	0.000289	0
339	0.000290	0
340	0.000291	0
341	0.000292	0
342	0.000292	0
343	0.000293	0
344	0.000294	0
345	0.000295	0
346	0.000296	0
347	0.000296	0
348	0.000297	0
349	0.000298	0
350	0.000299	0
351	0.000300	0
352	0.000300	0
353	0.000301	0
354	0.000302	0
355	0.000303	0
356	0.000304	0
357	0.000304	0
358	0.000305	0
359	0.000306	0
360	0.000307	0
361	0.000308	0
362	0.000308	0
363	0.000309	0
364	0.000310	0
365	0.000311	1
366	0.000312	0
367	0.000313	0
368	0.000313	0
369	0.000314	0
370	0.000315	0
371	0.000316	0
372	0.000317	0
373	0.000318	0
374	0.000318	0
375	0.000319	0
376	0.000320	0
377	0.000321	0
378	0.000322	0
379	0.000323	0
380	0.000323	0
381	0.000324	0
382	0.000325	0
383	0.000326	0
384	0.000327	0
385	0.000328	0
386	0.000328	0
387	0.000329	0
388	0.000330	0
389	0.000331	0
390	0.000332	0
391	0.000333	0
392	0.000334	0
393	0.000334	0
394	0.000335	0
395	0.000336	0
396	0.000337	0
397	0.000338	0
398	0.000339	0
399	0.000339	0
400	0.000340	0
401	0.000341	0
402	0.000342	0
403	0.000343	0
404	0.000344	0
405	0.000345	0
406	0.000346	0
407	0.000346	0
408	0.000347	0
409	0.000348	0
410	0.000349	0
411	0.000350	0
412	0.000351	0
413	0.000352	0
414	0.000352	0
415	0.000353	0
416	0.000354	0
417	0.000355	0
418	0.000356	0
419	0.000357	0
420	0.000358	0
421	0.000359	0
422	0.000359	0
423	0.000360	0
424	0.000361	0
425	0.000362	0
426	0.000363	0
427	0.000364	0
428	0.000365	0
429	0.000366	0
430	0.000367	0
431	0.000367	0
432	0.000368	0
433	0.000369	0
434	0.000370	0
435	0.000371	0
436	0.000372	0
437	0.000373	0
438	0.000374	0
439	0.000375	0
440	0.000376	0
441	0.000376	0
442	0.000377	0
443	0.000378	0
444	0.000379	0
445	0.000380	0
446	0.000381	0
447	0.000382	0
448	0.000383	0
449	0.000384	0
450	0.000385	0
451	0.000386	0
452	0.000386	0
453	0.000387	0
454	0.000388	0
455	0.000389	0
456	0.000390	0
457	0.000391	0
458	0.000392	0
459	0.000393	0
460	0.000394	0
461	0.000395	0
462	0.000396	0
463	0.000397	0
464	0.000398	0
465	0.000398	0
