# Binning: 1 channel
# Deadtime Correction: on
Channel	m/z	Intensity
0	0.000081	0
1	0.000082	0
2	0.000082	0
3	0.000083	0
4	0.000083	0
5	0.000083	0
6	0.000084	0
7	0.000084	0
8	0.000085	0
9	0.000085	0
10	0.000086	0
11	0.000086	0
12	0.000086	0
13	0.000087	0
14	0.000087	0
15	0.000088	0
16	0.000088	0
17	0.000089	0
18	0.000089	0
19	0.000089	0
20	0.000090	0
21	0.000090	0
22	0.000091	0
23	0.000091	0
24	0.000092	0
25	0.000092	0
26	0.000093	0
27	0.000093	0
28	0.000093	0
29	0.000094	0
30	0.000094	0
31	0.000095	0
32	0.000095	0
33	0.000096	0
34	0.000096	0
35	0.000097	0
36	0.000097	0
37	0.000098	0
38	0.000098	0
39	0.000098	0
40	0.000099	0
41	0.000099	0
42	0.000100	0
43	0.000100	0
44	0.000101	0
45	0.000101	0
46	0.000102	0
47	0.000102	0
48	0.000103	0
49	0.000103	0
50	0.000104	0
51	0.000104	0
52	0.000105	0
53	0.000105	0
54	0.000106	0
55	0.000106	0
56	0.000106	0
57	0.000107	0
58	0.000107	0
59	0.000108	0
60	0.000108	0
61	0.000109	0
62	0.000109	0
63	0.000110	0
64	0.000110	0
65	0.000111	0
66	0.000111	0
67	0.000112	0
68	0.000112	0
69	0.000113	0
70	0.000113	0
71	0.000114	0
72	0.000114	0
73	0.000115	0
74	0.000115	0
75	0.000116	0
76	0.000116	0
77	0.000117	0
78	0.000117	0
79	0.000118	0
80	0.000118	0
81	0.000119	0
82	0.000119	0
83	0.000120	0
84	0.000120	0
85	0.000121	0
86	0.000121	0
87	0.000122	0
88	0.000122	0
89	0.000123	0
90	0.000123	0
91	0.000124	0
92	0.000124	0
93	0.000125	0
94	0.000126	0
95	0.000126	0
96	0.000127	0
97	0.000127	0
98	0.000128	0
99	0.000128	0
100	0.000129	0
101	0.000129	0
102	0.000130	0
103	0.000130	0
104	0.000131	0
105	0.000131	0
106	0.000132	0
107	0.000132	0
108	0.000133	0
109	0.000133	0
110	0.000134	0
111	0.000135	0
112	0.000135	0
113	0.000136	0
114	0.000136	0
115	0.000137	0
116	0.000137	0
117	0.000138	0
118	0.000138	0
119	0.000139	0
120	0.000139	0
121	0.000140	0
122	0.000141	0
123	0.000141	0
124	0.000142	0
125	0.000142	0
126	0.000143	0
127	0.000143	0
128	0.000144	0
129	0.000144	0
130	0.000145	0
131	0.000146	0
132	0.000146	0
133	0.000147	0
134	0.000147	0
135	0.000148	0
136	0.000148	0
137	0.000149	0
138	0.000149	0
139	0.000150	0
140	0.000151	0
141	0.000151	0
142	0.000152	0
143	0.000152	0
144	0.000153	0
145	0.000154	0
146	0.000154	0
147	0.000155	0
148	0.000155	0
149	0.000156	0
150	0.000156	0
151	0.000157	0
152	0.000158	0
153	0.000158	0
154	0.000159	0
155	0.000159	0
156	0.000160	0
157	0.000161	0
158	0.000161	0
159	0.000162	0
160	0.000162	0
161	0.000163	0
162	0.000163	0
163	0.000164	0
164	0.000165	0
165	0.000165	0
166	0.000166	0
167	0.000166	0
168	0.000167	0
169	0.000168	0
170	0.000168	0
171	0.000169	0
172	0.000169	0
173	0.000170	0
174	0.000171	0
175	0.000171	0
176	0.000172	0
177	0.000173	0
178	0.000173	0
179	0.000174	0
180	0.000174	0
181	0.000175	0
182	0.000176	0
183	0.000176	0
184	0.000177	0
185	0.000177	0
186	0.000178	0
187	0.000179	0
188	0.000179	0
189	0.000180	0
190	0.000181	0
191	0.000181	0
192	0.000182	0
193	0.000182	0
194	0.000183	0
195	0.000184	0
196	0.000184	0
197	0.000185	0
198	0.000186	0
199	0.000186	0
200	0.000187	0
201	0.000188	0
202	0.000188	0
203	0.000189	0
204	0.000189	0
205	0.000190	0
206	0.000191	0
207	0.000191	0
208	0.000192	0
209	0.000193	0
210	0.000193	0
211	0.000194	0
212	0.000195	0
213	0.000195	0
214	0.000196	0
215	0.000197	0
216	0.000197	0
217	0.000198	0
218	0.000198	0
219	0.000199	0
220	0.000200	0
221	0.000200	0
222	0.000201	0
223	0.000202	0
224	0.000202	0
225	0.000203	0
226	0.000204	0
227	0.000204	0
228	0.000205	0
229	0.000206	0
230	0.000206	0
231	0.000207	0
232	0.000208	0
233	0.000208	0
234	0.000209	0
235	0.000210	0
236	0.000210	0
