formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C6H10O2,"{'C': 6, 'H': 10, 'O': 2}",114.06807956144,neutral,0,EVA,Ethylene-Vinyl Acetate,parent,M,0,0,,,,1.0
C6H11O2,"{'C': 6, 'H': 11, 'O': 2}",115.07590459367,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | H,0,0,H,,,0.75
C6H9O2,"{'C': 6, 'H': 9, 'O': 2}",113.06025452921,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | -H,0,0,-H,,,0.75
C6H10O2,"{'C': 6, 'H': 10, 'O': 2}",114.06807956144,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C6H10O2,"{'C': 6, 'H': 10, 'O': 2}",114.06807956144,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C6H11O2,"{'C': 6, 'H': 11, 'O': 2}",115.07590459367,neutral,0,EVA,Ethylene-Vinyl Acetate,h_shift,M | H shift +1,0,1,,,,0.7
C6H12O2,"{'C': 6, 'H': 12, 'O': 2}",116.0837296259,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift +1 | H,0,1,H,,,0.7
C6H8O2,"{'C': 6, 'H': 8, 'O': 2}",112.05242949698,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C6H9O2,"{'C': 6, 'H': 9, 'O': 2}",113.06025452921,neutral,0,EVA,Ethylene-Vinyl Acetate,h_shift,M | H shift -1,0,-1,,,,0.7
C5H10,"{'C': 5, 'H': 10}",70.0782503223,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -CO2,0,0,,CO2,,0.65
C5H10O,"{'C': 5, 'H': 10, 'O': 1}",86.07316494187,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -CO | ; | break 1 bond(s) | H shift +2 | -OH | ; | break 1 bond(s) | H shift +2 | -OH,0,0,,CO,,0.65
C5H7O2,"{'C': 5, 'H': 7, 'O': 2}",99.04460446475,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -CH3 | ; | break 1 bond(s) | -H2 | ; | break 1 bond(s) | -H2 | ; | break 1 bond(s) | -H2,0,0,,CH3,,0.65
C6H11O2,"{'C': 6, 'H': 11, 'O': 2}",115.07590459367,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C6H12O2,"{'C': 6, 'H': 12, 'O': 2}",116.0837296259,neutral,0,EVA,Ethylene-Vinyl Acetate,h_shift,M | H shift +2,0,2,,,,0.65
C6H13O2,"{'C': 6, 'H': 13, 'O': 2}",117.09155465813001,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift +2 | H,0,2,H,,,0.65
C6H7O2,"{'C': 6, 'H': 7, 'O': 2}",111.04460446475,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C6H8O,"{'C': 6, 'H': 8, 'O': 1}",96.05751487741,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -H2O,0,0,,H2O,,0.65
C6H8O2,"{'C': 6, 'H': 8, 'O': 2}",112.05242949698,neutral,0,EVA,Ethylene-Vinyl Acetate,h_shift,M | H shift -2,0,-2,,,,0.65
C6H8O2,"{'C': 6, 'H': 8, 'O': 2}",112.05242949698,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -H2,0,0,,H2,,0.65
C6H9O,"{'C': 6, 'H': 9, 'O': 1}",97.06533990964,neutral,0,EVA,Ethylene-Vinyl Acetate,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O,0,0,,OH,,0.65
C6H9O2,"{'C': 6, 'H': 9, 'O': 2}",113.06025452921,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C6H10ClO2,"{'C': 6, 'H': 10, 'O': 2, 'Cl': 1}",149.03693224344,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | Cl,0,0,Cl,,,0.63
C6H10KO2,"{'C': 6, 'H': 10, 'O': 2, 'K': 1}",153.03178604784,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | K,0,0,K,,,0.63
C6H10NaO2,"{'C': 6, 'H': 10, 'O': 2, 'Na': 1}",137.05784884344,positive,1,EVA,Ethylene-Vinyl Acetate,adduct,M | Na,0,0,Na,,,0.63
C6H10O3,"{'C': 6, 'H': 10, 'O': 3}",130.06299418101,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | O,0,0,O,,,0.63
C6H11O3,"{'C': 6, 'H': 11, 'O': 3}",131.07081921324001,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C2H2O,"{'C': 2, 'O': 1, 'H': 2}",42.01056468403,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | H shift -2 | O,1,0,-H,,"[4, 5, 6, 14, 15, 16]",0.6
C2H2O2,"{'O': 2, 'C': 2, 'H': 2}",58.0054793036,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O,1,0,-H,,"[3, 4, 5, 6, 14, 15, 16]",0.6
C2H3O,"{'C': 2, 'O': 1, 'H': 3}",43.01838971626,neutral,0,EVA,Ethylene-Vinyl Acetate,fragment,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[4, 5, 6, 14, 15, 16]",0.6
C2H3O2,"{'O': 2, 'C': 2, 'H': 3}",59.01330433583,neutral,0,EVA,Ethylene-Vinyl Acetate,fragment,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[3, 4, 5, 6, 14, 15, 16]",0.6
C2H4,"{'C': 2, 'H': 4}",28.03130012892,negative,-1,EVA,Ethylene-Vinyl Acetate,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | H shift +1 | -H,1,0,-H,,"[0, 1, 8, 9, 10, 11, 12]",0.6
