formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C5F10,"{'C': 5, 'F': 10}",249.9840316273,neutral,0,FEP,Fluorinated Ethylene Propylene,parent,M,0,0,,,,1.0
C5HF10,"{'C': 5, 'F': 10, 'H': 1}",250.99185665953,positive,1,FEP,Fluorinated Ethylene Propylene,adduct,M | H,0,0,H,,,0.75
C5F10,"{'C': 5, 'F': 10}",249.9840316273,negative,-1,FEP,Fluorinated Ethylene Propylene,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C5H2F10,"{'C': 5, 'F': 10, 'H': 2}",251.99968169176,positive,1,FEP,Fluorinated Ethylene Propylene,adduct,M | H shift +1 | H,0,1,H,,,0.7
C5HF10,"{'C': 5, 'F': 10, 'H': 1}",250.99185665953,neutral,0,FEP,Fluorinated Ethylene Propylene,h_shift,M | H shift +1,0,1,,,,0.7
C5H2F10,"{'C': 5, 'F': 10, 'H': 2}",251.99968169176,neutral,0,FEP,Fluorinated Ethylene Propylene,h_shift,M | H shift +2,0,2,,,,0.65
C5H3F10,"{'C': 5, 'F': 10, 'H': 3}",253.00750672399,positive,1,FEP,Fluorinated Ethylene Propylene,adduct,M | H shift +2 | H,0,2,H,,,0.65
C5HF10,"{'C': 5, 'F': 10, 'H': 1}",250.99185665953,negative,-1,FEP,Fluorinated Ethylene Propylene,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C5ClF10,"{'C': 5, 'F': 10, 'Cl': 1}",284.9528843093,negative,-1,FEP,Fluorinated Ethylene Propylene,adduct,M | Cl,0,0,Cl,,,0.63
C5F10K,"{'C': 5, 'F': 10, 'K': 1}",288.9477381137,positive,1,FEP,Fluorinated Ethylene Propylene,adduct,M | K,0,0,K,,,0.63
C5F10Na,"{'C': 5, 'F': 10, 'Na': 1}",272.9738009093,positive,1,FEP,Fluorinated Ethylene Propylene,adduct,M | Na,0,0,Na,,,0.63
