formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C14H10N2O2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2}",238.0742275703,neutral,0,Nomex,meta-Aramid,parent,M,0,0,,,,1.0
C14H11N2O2,"{'C': 14, 'H': 11, 'N': 2, 'O': 2}",239.08205260252998,positive,1,Nomex,meta-Aramid,adduct,M | H | ; | break 1 bond(s) | H shift -1 | H | ; | break 1 bond(s) | H shift -1 | H,0,0,H,,,0.75
C14H9N2O2,"{'C': 14, 'H': 9, 'N': 2, 'O': 2}",237.06640253807,negative,-1,Nomex,meta-Aramid,adduct,M | -H | ; | break 1 bond(s) | H shift -1 | -H | ; | break 1 bond(s) | H shift -1 | -H,0,0,-H,,,0.75
C14H10N2O2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2}",238.0742275703,positive,1,Nomex,meta-Aramid,adduct,M | H shift -1 | H | ; | break 1 bond(s) | H shift -2 | H | ; | break 1 bond(s) | H shift -2 | H,0,-1,H,,,0.7
C14H10N2O2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2}",238.0742275703,negative,-1,Nomex,meta-Aramid,adduct,M | H shift +1 | -H | ; | break 1 bond(s) | -H | ; | break 1 bond(s) | -H,0,1,-H,,,0.7
C14H11N2O2,"{'C': 14, 'H': 11, 'N': 2, 'O': 2}",239.08205260252998,neutral,0,Nomex,meta-Aramid,h_shift,M | H shift +1,0,1,,,,0.7
C14H12N2O2,"{'C': 14, 'H': 12, 'N': 2, 'O': 2}",240.08987763476,positive,1,Nomex,meta-Aramid,adduct,M | H shift +1 | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H,0,1,H,,,0.7
C14H8N2O2,"{'C': 14, 'H': 8, 'N': 2, 'O': 2}",236.05857750584,negative,-1,Nomex,meta-Aramid,adduct,M | H shift -1 | -H | ; | break 1 bond(s) | H shift -2 | -H | ; | break 1 bond(s) | H shift -2 | -H,0,-1,-H,,,0.7
C14H9N2O2,"{'C': 14, 'H': 9, 'N': 2, 'O': 2}",237.06640253807,neutral,0,Nomex,meta-Aramid,h_shift,M | H shift -1 | ; | break 1 bond(s) | H shift -2 | ; | break 1 bond(s) | H shift -2,0,-1,,,,0.7
C13H10N2,"{'C': 13, 'H': 10, 'N': 2}",194.08439833116,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -CO2 | ; | break 1 bond(s) | H shift -1 | -CO2 | ; | break 1 bond(s) | H shift -1 | -CO2,0,0,,CO2,,0.65
C13H10N2O,"{'C': 13, 'H': 10, 'N': 2, 'O': 1}",210.07931295073,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -CO | ; | break 1 bond(s) | H shift -1 | -CO | ; | break 1 bond(s) | H shift -1 | -CO,0,0,,CO,,0.65
C13H7N2O2,"{'C': 13, 'H': 7, 'N': 2, 'O': 2}",223.05075247361,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift -1 | -CH3,0,0,,CH3,,0.65
C14H11N2O2,"{'C': 14, 'H': 11, 'N': 2, 'O': 2}",239.08205260252998,negative,-1,Nomex,meta-Aramid,adduct,M | H shift +2 | -H | ; | break 1 bond(s) | H shift +1 | -H | ; | break 1 bond(s) | H shift +1 | -H,0,2,-H,,,0.65
C14H12N2O2,"{'C': 14, 'H': 12, 'N': 2, 'O': 2}",240.08987763476,neutral,0,Nomex,meta-Aramid,h_shift,M | H shift +2 | ; | break 1 bond(s) | H shift +1 | ; | break 1 bond(s) | H shift +1,0,2,,,,0.65
C14H13N2O2,"{'C': 14, 'H': 13, 'N': 2, 'O': 2}",241.09770266699,positive,1,Nomex,meta-Aramid,adduct,M | H shift +2 | H | ; | break 1 bond(s) | H shift +1 | H | ; | break 1 bond(s) | H shift +1 | H,0,2,H,,,0.65
C14H7N2O2,"{'C': 14, 'H': 7, 'N': 2, 'O': 2}",235.05075247361,negative,-1,Nomex,meta-Aramid,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C14H7NO2,"{'C': 14, 'H': 7, 'N': 1, 'O': 2}",221.04767846918,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -NH3 | ; | break 1 bond(s) | H shift -1 | -NH3 | ; | break 1 bond(s) | H shift -1 | -H2,0,0,,NH3,,0.65
C14H8N2O,"{'C': 14, 'H': 8, 'N': 2, 'O': 1}",220.06366288627,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -H2O | ; | break 1 bond(s) | H shift -2 | -OH | ; | break 1 bond(s) | H shift -1 | -H2O,0,0,,H2O,,0.65
C14H8N2O2,"{'C': 14, 'H': 8, 'N': 2, 'O': 2}",236.05857750584,neutral,0,Nomex,meta-Aramid,h_shift,M | H shift -2,0,-2,,,,0.65
C14H8N2O2,"{'C': 14, 'H': 8, 'N': 2, 'O': 2}",236.05857750584,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -H2 | ; | break 1 bond(s) | H shift -1 | -H2 | ; | break 1 bond(s) | H shift -1 | -H2,0,0,,H2,,0.65
C14H9N2O,"{'C': 14, 'H': 9, 'N': 2, 'O': 1}",221.0714879185,neutral,0,Nomex,meta-Aramid,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O | ; | break 1 bond(s) | H shift -1 | -OH,0,0,,OH,,0.65
C14H9N2O2,"{'C': 14, 'H': 9, 'N': 2, 'O': 2}",237.06640253807,positive,1,Nomex,meta-Aramid,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C14H10ClN2O2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2, 'Cl': 1}",273.0430802523,negative,-1,Nomex,meta-Aramid,adduct,M | Cl | ; | break 1 bond(s) | H shift -1 | Cl | ; | break 1 bond(s) | H shift -1 | Cl,0,0,Cl,,,0.63
C14H10KN2O2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2, 'K': 1}",277.0379340567,positive,1,Nomex,meta-Aramid,adduct,M | K | ; | break 1 bond(s) | H shift -1 | K | ; | break 1 bond(s) | H shift -1 | K,0,0,K,,,0.63
C14H10N2NaO2,"{'C': 14, 'H': 10, 'N': 2, 'O': 2, 'Na': 1}",261.0639968523,positive,1,Nomex,meta-Aramid,adduct,M | Na | ; | break 1 bond(s) | H shift -1 | Na | ; | break 1 bond(s) | H shift -1 | Na,0,0,Na,,,0.63
C14H10N2O3,"{'C': 14, 'H': 10, 'N': 2, 'O': 3}",254.06914218987,negative,-1,Nomex,meta-Aramid,adduct,M | O | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O,0,0,O,,,0.63
C14H11N2O3,"{'C': 14, 'H': 11, 'N': 2, 'O': 3}",255.0769672221,negative,-1,Nomex,meta-Aramid,adduct,M | OH | ; | M | H shift +1 | O | ; | break 1 bond(s) | H shift -1 | OH,0,0,OH,,,0.63
C13H11N2,"{'C': 13, 'H': 11, 'N': 2}",195.09222336339,neutral,0,Nomex,meta-Aramid,neutral_loss,M | H shift +1 | -CO2 | ; | break 1 bond(s) | -CO2 | ; | break 1 bond(s) | -CO2,0,1,,CO2,,0.6
