formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C4H14O2Si2,"{'C': 4, 'H': 14, 'O': 2, 'Si': 2}",150.05323275966,neutral,0,PDMS,Polydimethylsiloxane,parent,M,0,0,,,,1.0
C4H13O2Si2,"{'C': 4, 'H': 13, 'O': 2, 'Si': 2}",149.04540772743002,negative,-1,PDMS,Polydimethylsiloxane,adduct,M | -H | ; | break 1 bond(s) | H shift -1 | OH | ; | break 1 bond(s) | O,0,0,-H,,,0.75
C4H15O2Si2,"{'C': 4, 'H': 15, 'O': 2, 'Si': 2}",151.06105779189,positive,1,PDMS,Polydimethylsiloxane,adduct,M | H,0,0,H,,,0.75
C4H12O2Si2,"{'C': 4, 'H': 12, 'O': 2, 'Si': 2}",148.0375826952,negative,-1,PDMS,Polydimethylsiloxane,adduct,M | H shift -1 | -H | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O,0,-1,-H,,,0.7
C4H13O2Si2,"{'C': 4, 'H': 13, 'O': 2, 'Si': 2}",149.04540772743002,neutral,0,PDMS,Polydimethylsiloxane,h_shift,M | H shift -1,0,-1,,,,0.7
C4H14O2Si2,"{'C': 4, 'H': 14, 'O': 2, 'Si': 2}",150.05323275966,positive,1,PDMS,Polydimethylsiloxane,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C4H14O2Si2,"{'C': 4, 'H': 14, 'O': 2, 'Si': 2}",150.05323275966,negative,-1,PDMS,Polydimethylsiloxane,adduct,M | H shift +1 | -H | ; | break 1 bond(s) | OH | ; | break 1 bond(s) | H shift +1 | O,0,1,-H,,,0.7
C4H15O2Si2,"{'C': 4, 'H': 15, 'O': 2, 'Si': 2}",151.06105779189,neutral,0,PDMS,Polydimethylsiloxane,h_shift,M | H shift +1,0,1,,,,0.7
C4H16O2Si2,"{'C': 4, 'H': 16, 'O': 2, 'Si': 2}",152.06888282412,positive,1,PDMS,Polydimethylsiloxane,adduct,M | H shift +1 | H,0,1,H,,,0.7
C3H11O2Si2,"{'C': 3, 'H': 11, 'O': 2, 'Si': 2}",135.02975766297,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
C3H14OSi2,"{'C': 3, 'H': 14, 'O': 1, 'Si': 2}",122.05831814009,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -CO,0,0,,CO,,0.65
C3H14Si2,"{'C': 3, 'H': 14, 'Si': 2}",106.06340352052,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -CO2 | ; | break 1 bond(s) | H shift +1 | -CO | ; | break 1 bond(s) | H shift +1 | -CO,0,0,,CO2,,0.65
C4H11O2Si2,"{'C': 4, 'H': 11, 'O': 2, 'Si': 2}",147.02975766297,negative,-1,PDMS,Polydimethylsiloxane,adduct,M | H shift -2 | -H | ; | break 1 bond(s) | H shift -2 | O | ; | break 1 bond(s) | H shift -2 | O,0,-2,-H,,,0.65
C4H12O2Si2,"{'C': 4, 'H': 12, 'O': 2, 'Si': 2}",148.0375826952,neutral,0,PDMS,Polydimethylsiloxane,h_shift,M | H shift -2,0,-2,,,,0.65
C4H12O2Si2,"{'C': 4, 'H': 12, 'O': 2, 'Si': 2}",148.0375826952,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -H2,0,0,,H2,,0.65
C4H12OSi2,"{'C': 4, 'H': 12, 'O': 1, 'Si': 2}",132.04266807563,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -H2O | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,H2O,,0.65
C4H13O2Si2,"{'C': 4, 'H': 13, 'O': 2, 'Si': 2}",149.04540772743002,positive,1,PDMS,Polydimethylsiloxane,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C4H13OSi2,"{'C': 4, 'H': 13, 'O': 1, 'Si': 2}",133.05049310786,neutral,0,PDMS,Polydimethylsiloxane,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,OH,,0.65
