formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C19H14O4,"{'C': 19, 'H': 14, 'O': 4}",306.0892089295,neutral,0,PEEK,Polyether Ether Ketone,parent,M,0,0,,,,1.0
C19H13O4,"{'C': 19, 'H': 13, 'O': 4}",305.08138389727003,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | -H | ; | break 1 bond(s) | H shift -1 | OH | ; | break 1 bond(s) | O,0,0,-H,,,0.75
C19H15O4,"{'C': 19, 'H': 15, 'O': 4}",307.09703396173,positive,1,PEEK,Polyether Ether Ketone,adduct,M | H,0,0,H,,,0.75
C19H12O4,"{'C': 19, 'H': 12, 'O': 4}",304.07355886504,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | H shift -1 | -H | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O,0,-1,-H,,,0.7
C19H13O4,"{'C': 19, 'H': 13, 'O': 4}",305.08138389727003,neutral,0,PEEK,Polyether Ether Ketone,h_shift,M | H shift -1,0,-1,,,,0.7
C19H14O4,"{'C': 19, 'H': 14, 'O': 4}",306.0892089295,positive,1,PEEK,Polyether Ether Ketone,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C19H14O4,"{'C': 19, 'H': 14, 'O': 4}",306.0892089295,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | H shift +1 | -H | ; | break 1 bond(s) | OH | ; | break 1 bond(s) | H shift +1 | O,0,1,-H,,,0.7
C19H15O4,"{'C': 19, 'H': 15, 'O': 4}",307.09703396173,neutral,0,PEEK,Polyether Ether Ketone,h_shift,M | H shift +1,0,1,,,,0.7
C19H16O4,"{'C': 19, 'H': 16, 'O': 4}",308.10485899396,positive,1,PEEK,Polyether Ether Ketone,adduct,M | H shift +1 | H,0,1,H,,,0.7
C38H25O7,"{'C': 38, 'H': 25, 'O': 7}",593.16002814274,negative,-1,PEEK,Polyether Ether Ketone,adduct,M + 1×repeat | -H | ; | break 1 bond(s) + 1×repeat | H shift -1 | OH | ; | break 1 bond(s) + 1×repeat | O,0,0,-H,,,0.67
C38H26O7,"{'C': 38, 'H': 26, 'O': 7}",594.16785317497,neutral,0,PEEK,Polyether Ether Ketone,oligomer,M + 1×repeat,0,0,,,,0.67
C38H27O7,"{'C': 38, 'H': 27, 'O': 7}",595.1756782072,positive,1,PEEK,Polyether Ether Ketone,adduct,M + 1×repeat | H,0,0,H,,,0.67
C18H11O4,"{'C': 18, 'H': 11, 'O': 4}",291.06573383281,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -CH3,0,0,,CH3,,0.65
C18H14O2,"{'C': 18, 'H': 14, 'O': 2}",262.09937969036,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -CO2 | ; | break 1 bond(s) | H shift +1 | -CO | ; | break 1 bond(s) | H shift +1 | -CO,0,0,,CO2,,0.65
C18H14O3,"{'C': 18, 'H': 14, 'O': 3}",278.09429430993,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -CO,0,0,,CO,,0.65
C19H11O4,"{'C': 19, 'H': 11, 'O': 4}",303.06573383281,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | H shift -2 | -H | ; | break 1 bond(s) | H shift -2 | O | ; | break 1 bond(s) | H shift -2 | O,0,-2,-H,,,0.65
C19H12O3,"{'C': 19, 'H': 12, 'O': 3}",288.07864424547,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -H2O | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,H2O,,0.65
C19H12O4,"{'C': 19, 'H': 12, 'O': 4}",304.07355886504,neutral,0,PEEK,Polyether Ether Ketone,h_shift,M | H shift -2,0,-2,,,,0.65
C19H12O4,"{'C': 19, 'H': 12, 'O': 4}",304.07355886504,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -H2,0,0,,H2,,0.65
C19H13O3,"{'C': 19, 'H': 13, 'O': 3}",289.0864692777,neutral,0,PEEK,Polyether Ether Ketone,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,OH,,0.65
C19H13O4,"{'C': 19, 'H': 13, 'O': 4}",305.08138389727003,positive,1,PEEK,Polyether Ether Ketone,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C19H15O4,"{'C': 19, 'H': 15, 'O': 4}",307.09703396173,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | H shift +2 | -H | ; | break 1 bond(s) | H shift +1 | OH | ; | break 1 bond(s) | H shift +2 | O,0,2,-H,,,0.65
C19H16O4,"{'C': 19, 'H': 16, 'O': 4}",308.10485899396,neutral,0,PEEK,Polyether Ether Ketone,h_shift,M | H shift +2,0,2,,,,0.65
C19H17O4,"{'C': 19, 'H': 17, 'O': 4}",309.11268402619,positive,1,PEEK,Polyether Ether Ketone,adduct,M | H shift +2 | H,0,2,H,,,0.65
C19H14ClO4,"{'C': 19, 'H': 14, 'O': 4, 'Cl': 1}",341.0580616115,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | Cl,0,0,Cl,,,0.63
C19H14KO4,"{'C': 19, 'H': 14, 'O': 4, 'K': 1}",345.0529154159,positive,1,PEEK,Polyether Ether Ketone,adduct,M | K,0,0,K,,,0.63
C19H14NaO4,"{'C': 19, 'H': 14, 'O': 4, 'Na': 1}",329.0789782115,positive,1,PEEK,Polyether Ether Ketone,adduct,M | Na,0,0,Na,,,0.63
C19H14O5,"{'C': 19, 'H': 14, 'O': 5}",322.08412354907,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | O,0,0,O,,,0.63
C19H15O5,"{'C': 19, 'H': 15, 'O': 5}",323.0919485813,negative,-1,PEEK,Polyether Ether Ketone,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
