formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C14H10O4,"{'C': 14, 'H': 10, 'O': 4}",242.05790880058,neutral,0,PEN,Polyethylene Naphthalate,parent,M,0,0,,,,1.0
C14H11O4,"{'C': 14, 'H': 11, 'O': 4}",243.06573383281,positive,1,PEN,Polyethylene Naphthalate,adduct,M | H | ; | break 1 bond(s) | H shift -1 | H | ; | break 1 bond(s) | H shift -1 | H,0,0,H,,,0.75
C14H9O4,"{'C': 14, 'H': 9, 'O': 4}",241.05008376835,negative,-1,PEN,Polyethylene Naphthalate,adduct,M | -H | ; | break 1 bond(s) | H shift -1 | -H | ; | break 1 bond(s) | H shift -1 | -H,0,0,-H,,,0.75
C14H10O4,"{'C': 14, 'H': 10, 'O': 4}",242.05790880058,positive,1,PEN,Polyethylene Naphthalate,adduct,M | H shift -1 | H | ; | break 1 bond(s) | H shift -2 | H | ; | break 1 bond(s) | H shift -2 | H,0,-1,H,,,0.7
C14H10O4,"{'C': 14, 'H': 10, 'O': 4}",242.05790880058,negative,-1,PEN,Polyethylene Naphthalate,adduct,M | H shift +1 | -H | ; | break 1 bond(s) | -H | ; | break 1 bond(s) | -H,0,1,-H,,,0.7
C14H11O4,"{'C': 14, 'H': 11, 'O': 4}",243.06573383281,neutral,0,PEN,Polyethylene Naphthalate,h_shift,M | H shift +1 | ; | break 2 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +1,0,1,,,,0.7
C14H12O4,"{'C': 14, 'H': 12, 'O': 4}",244.07355886504,positive,1,PEN,Polyethylene Naphthalate,adduct,M | H shift +1 | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H,0,1,H,,,0.7
C14H8O4,"{'C': 14, 'H': 8, 'O': 4}",240.04225873612,negative,-1,PEN,Polyethylene Naphthalate,adduct,M | H shift -1 | -H | ; | break 1 bond(s) | H shift -2 | -H | ; | break 1 bond(s) | H shift -2 | -H,0,-1,-H,,,0.7
C14H9O4,"{'C': 14, 'H': 9, 'O': 4}",241.05008376835,neutral,0,PEN,Polyethylene Naphthalate,h_shift,M | H shift -1 | ; | break 1 bond(s) | H shift -2 | ; | break 1 bond(s) | H shift -2 | ; | break 2 bond(s) | H shift -2,0,-1,,,,0.7
C13H10O2,"{'C': 13, 'H': 10, 'O': 2}",198.06807956144002,neutral,0,PEN,Polyethylene Naphthalate,neutral_loss,M | -CO2 | ; | break 1 bond(s) | H shift -1 | -CO2 | ; | break 1 bond(s) | -OH,0,0,,CO2,,0.65
C13H10O3,"{'C': 13, 'H': 10, 'O': 3}",214.06299418101,neutral,0,PEN,Polyethylene Naphthalate,neutral_loss,M | -CO | ; | break 1 bond(s) | H shift -1 | -CO | ; | break 1 bond(s) | H shift -1 | -CO2,0,0,,CO,,0.65
C13H7O4,"{'C': 13, 'H': 7, 'O': 4}",227.03443370389,neutral,0,PEN,Polyethylene Naphthalate,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift -1 | -CH3,0,0,,CH3,,0.65
