formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C12H14O6,"{'C': 12, 'H': 14, 'O': 6}",254.07903816864,neutral,0,PET,Polyethylene Terephthalate,parent,M,0,0,,,,1.0
C12H13O6,"{'C': 12, 'H': 13, 'O': 6}",253.07121313641,negative,-1,PET,Polyethylene Terephthalate,adduct,M | -H | ; | break 1 bond(s) | H shift -1 | OH | ; | break 1 bond(s) | O,0,0,-H,,,0.75
C12H15O6,"{'C': 12, 'H': 15, 'O': 6}",255.08686320087,positive,1,PET,Polyethylene Terephthalate,adduct,M | H | ; | break 1 bond(s) + 1×repeat | H shift +1 | H | ; | break 1 bond(s) + 1×repeat | H shift +1 | H,0,0,H,,,0.75
C12H12O6,"{'C': 12, 'H': 12, 'O': 6}",252.06338810418,negative,-1,PET,Polyethylene Terephthalate,adduct,M | H shift -1 | -H | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O,0,-1,-H,,,0.7
C12H13O6,"{'C': 12, 'H': 13, 'O': 6}",253.07121313641,neutral,0,PET,Polyethylene Terephthalate,h_shift,M | H shift -1,0,-1,,,,0.7
C12H14O6,"{'C': 12, 'H': 14, 'O': 6}",254.07903816864,positive,1,PET,Polyethylene Terephthalate,adduct,M | H shift -1 | H | ; | break 1 bond(s) + 1×repeat | H | ; | break 1 bond(s) + 1×repeat | H,0,-1,H,,,0.7
C12H14O6,"{'C': 12, 'H': 14, 'O': 6}",254.07903816864,negative,-1,PET,Polyethylene Terephthalate,adduct,M | H shift +1 | -H | ; | break 1 bond(s) | OH | ; | break 1 bond(s) | H shift +1 | O,0,1,-H,,,0.7
C12H15O6,"{'C': 12, 'H': 15, 'O': 6}",255.08686320087,neutral,0,PET,Polyethylene Terephthalate,h_shift,M | H shift +1 | ; | break 1 bond(s) + 1×repeat | H shift +2 | ; | break 1 bond(s) + 1×repeat | H shift +2 | ; | break 2 bond(s) + 1×repeat | H shift +2,0,1,,,,0.7
C12H16O6,"{'C': 12, 'H': 16, 'O': 6}",256.0946882331,positive,1,PET,Polyethylene Terephthalate,adduct,M | H shift +1 | H | ; | break 1 bond(s) + 1×repeat | H shift +2 | H | ; | break 1 bond(s) + 1×repeat | H shift +2 | H,0,1,H,,,0.7
C22H21O10,"{'C': 22, 'H': 21, 'O': 10}",445.11347187253,negative,-1,PET,Polyethylene Terephthalate,adduct,M + 1×repeat | -H | ; | break 1 bond(s) + 1×repeat | H shift -1 | OH | ; | break 1 bond(s) + 1×repeat | O,0,0,-H,,,0.67
C22H22O10,"{'C': 22, 'H': 22, 'O': 10}",446.12129690476,neutral,0,PET,Polyethylene Terephthalate,oligomer,M + 1×repeat,0,0,,,,0.67
C22H23O10,"{'C': 22, 'H': 23, 'O': 10}",447.12912193699,positive,1,PET,Polyethylene Terephthalate,adduct,M + 1×repeat | H | ; | break 1 bond(s) + 2×repeat | H shift +1 | H | ; | break 1 bond(s) + 2×repeat | H shift +1 | H,0,0,H,,,0.67
C11H11O6,"{'C': 11, 'H': 11, 'O': 6}",239.05556307195002,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -CH3 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CH3 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CH3,0,0,,CH3,,0.65
C11H14O4,"{'C': 11, 'H': 14, 'O': 4}",210.0892089295,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -CO2 | ; | break 1 bond(s) | H shift +1 | -CO | ; | break 1 bond(s) | H shift +1 | -CO,0,0,,CO2,,0.65
C11H14O5,"{'C': 11, 'H': 14, 'O': 5}",226.08412354907,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -CO | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CO | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CO,0,0,,CO,,0.65
C12H11O6,"{'C': 12, 'H': 11, 'O': 6}",251.05556307195002,negative,-1,PET,Polyethylene Terephthalate,adduct,M | H shift -2 | -H | ; | break 1 bond(s) | H shift -2 | O | ; | break 1 bond(s) | H shift -2 | O,0,-2,-H,,,0.65
C12H12O5,"{'C': 12, 'H': 12, 'O': 5}",236.06847348461,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -H2O | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,H2O,,0.65
C12H12O6,"{'C': 12, 'H': 12, 'O': 6}",252.06338810418,neutral,0,PET,Polyethylene Terephthalate,h_shift,M | H shift -2 | ; | break 1 bond(s) + 1×repeat | H shift -1 | ; | break 1 bond(s) + 1×repeat | H shift -1 | ; | break 2 bond(s) + 1×repeat | H shift -1,0,-2,,,,0.65
C12H12O6,"{'C': 12, 'H': 12, 'O': 6}",252.06338810418,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -H2 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H2 | ; | break 1 bond(s) + 1×repeat | H shift -1 | -CO,0,0,,H2,,0.65
C12H13O5,"{'C': 12, 'H': 13, 'O': 5}",237.07629851683998,neutral,0,PET,Polyethylene Terephthalate,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,OH,,0.65
C12H13O6,"{'C': 12, 'H': 13, 'O': 6}",253.07121313641,positive,1,PET,Polyethylene Terephthalate,adduct,M | H shift -2 | H | ; | break 1 bond(s) + 1×repeat | H shift -1 | H | ; | break 1 bond(s) + 1×repeat | H shift -1 | H,0,-2,H,,,0.65
C12H15O6,"{'C': 12, 'H': 15, 'O': 6}",255.08686320087,negative,-1,PET,Polyethylene Terephthalate,adduct,M | H shift +2 | -H | ; | break 1 bond(s) | H shift +1 | OH | ; | break 1 bond(s) | H shift +2 | O,0,2,-H,,,0.65
C12H16O6,"{'C': 12, 'H': 16, 'O': 6}",256.0946882331,neutral,0,PET,Polyethylene Terephthalate,h_shift,M | H shift +2,0,2,,,,0.65
C12H17O6,"{'C': 12, 'H': 17, 'O': 6}",257.10251326533,positive,1,PET,Polyethylene Terephthalate,adduct,M | H shift +2 | H,0,2,H,,,0.65
C12H14ClO6,"{'C': 12, 'H': 14, 'O': 6, 'Cl': 1}",289.04789085064,negative,-1,PET,Polyethylene Terephthalate,adduct,M | Cl | ; | break 1 bond(s) + 1×repeat | H shift +1 | Cl | ; | break 1 bond(s) + 1×repeat | H shift +1 | Cl,0,0,Cl,,,0.63
C12H14KO6,"{'C': 12, 'H': 14, 'O': 6, 'K': 1}",293.04274465504,positive,1,PET,Polyethylene Terephthalate,adduct,M | K | ; | break 1 bond(s) + 1×repeat | H shift +1 | K | ; | break 1 bond(s) + 1×repeat | H shift +1 | K,0,0,K,,,0.63
C12H14NaO6,"{'C': 12, 'H': 14, 'O': 6, 'Na': 1}",277.06880745064,positive,1,PET,Polyethylene Terephthalate,adduct,M | Na | ; | break 1 bond(s) + 1×repeat | H shift +1 | Na | ; | break 1 bond(s) + 1×repeat | H shift +1 | Na,0,0,Na,,,0.63
C12H14O7,"{'C': 12, 'H': 14, 'O': 7}",270.07395278821,negative,-1,PET,Polyethylene Terephthalate,adduct,M | O | ; | break 1 bond(s) + 1×repeat | OH | ; | break 1 bond(s) + 1×repeat | H shift +1 | O,0,0,O,,,0.63
C12H15O7,"{'C': 12, 'H': 15, 'O': 7}",271.08177782044,negative,-1,PET,Polyethylene Terephthalate,adduct,M | OH | ; | M | H shift +1 | O | ; | break 1 bond(s) + 1×repeat | H shift +1 | OH,0,0,OH,,,0.63
