formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C4F10,"{'C': 4, 'F': 10}",237.9840316273,neutral,0,PFA,Perfluoroalkoxy Alkane,parent,M,0,0,,,,1.0
C4HF10,"{'C': 4, 'F': 10, 'H': 1}",238.99185665953,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | H,0,0,H,,,0.75
C4F10,"{'C': 4, 'F': 10}",237.9840316273,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C4H2F10,"{'C': 4, 'F': 10, 'H': 2}",239.99968169176,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +1 | H,0,1,H,,,0.7
C4HF10,"{'C': 4, 'F': 10, 'H': 1}",238.99185665953,neutral,0,PFA,Perfluoroalkoxy Alkane,h_shift,M | H shift +1,0,1,,,,0.7
C9F20,"{'C': 9, 'F': 20}",487.9680632546,neutral,0,PFA,Perfluoroalkoxy Alkane,oligomer,M + 1×repeat,0,0,,,,0.67
C9HF20,"{'C': 9, 'F': 20, 'H': 1}",488.97588828683,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | H,0,0,H,,,0.67
C4H2F10,"{'C': 4, 'F': 10, 'H': 2}",239.99968169176,neutral,0,PFA,Perfluoroalkoxy Alkane,h_shift,M | H shift +2,0,2,,,,0.65
C4H3F10,"{'C': 4, 'F': 10, 'H': 3}",241.00750672399,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +2 | H,0,2,H,,,0.65
C4HF10,"{'C': 4, 'F': 10, 'H': 1}",238.99185665953,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C4ClF10,"{'C': 4, 'F': 10, 'Cl': 1}",272.9528843093,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M | Cl,0,0,Cl,,,0.63
C4F10K,"{'C': 4, 'F': 10, 'K': 1}",276.9477381137,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | K,0,0,K,,,0.63
C4F10Na,"{'C': 4, 'F': 10, 'Na': 1}",260.9738009093,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M | Na,0,0,Na,,,0.63
C4F10O,"{'C': 4, 'F': 10, 'O': 1}",253.97894624687,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M | O,0,0,O,,,0.63
C4HF10O,"{'C': 4, 'F': 10, 'O': 1, 'H': 1}",254.9867712791,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C9F20,"{'C': 9, 'F': 20}",487.9680632546,negative,-1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | H shift +1 | -H,0,1,-H,,,0.62
C9H2F20,"{'C': 9, 'F': 20, 'H': 2}",489.98371331906,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,M + 1×repeat | H shift +1 | H,0,1,H,,,0.62
C9HF20,"{'C': 9, 'F': 20, 'H': 1}",488.97588828683,neutral,0,PFA,Perfluoroalkoxy Alkane,h_shift,M + 1×repeat | H shift +1,0,1,,,,0.62
C3F7,"{'C': 3, 'F': 7}",168.98882213911,neutral,0,PFA,Perfluoroalkoxy Alkane,fragment,break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6
C3HF7,"{'C': 3, 'F': 7, 'H': 1}",169.99664717134,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6
C4F9,"{'C': 4, 'F': 9}",218.98562846457,neutral,0,PFA,Perfluoroalkoxy Alkane,neutral_loss,M | H shift +1 | -HF | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) | H shift +2 | -H2,0,1,,HF,,0.6
C4F9,"{'C': 4, 'F': 9}",218.98562846457,neutral,0,PFA,Perfluoroalkoxy Alkane,fragment,break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s),1,0,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6
C4HF9,"{'C': 4, 'F': 9, 'H': 1}",219.9934534968,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H,1,0,H,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6
CF3,"{'F': 3, 'C': 1}",68.99520948819,neutral,0,PFA,Perfluoroalkoxy Alkane,fragment,break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[0, 1, 2, 3]",0.6
CHF3,"{'F': 3, 'C': 1, 'H': 1}",70.00303452042,positive,1,PFA,Perfluoroalkoxy Alkane,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[0, 1, 2, 3]",0.6
C14F30,"{'C': 14, 'F': 30}",737.9520948818999,neutral,0,PFA,Perfluoroalkoxy Alkane,oligomer,M + 2×repeat,0,0,,,,0.59
