formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C2H6O,"{'C': 2, 'H': 6, 'O': 1}",46.04186481295,neutral,0,POMC,Polyoxymethylene Copolymer,parent,M,0,0,,,,1.0
C2H5O,"{'C': 2, 'H': 5, 'O': 1}",45.03403978072,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | -H,0,0,-H,,,0.75
C2H7O,"{'C': 2, 'H': 7, 'O': 1}",47.04968984518,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H,0,0,H,,,0.75
C2H4O,"{'C': 2, 'H': 4, 'O': 1}",44.02621474849,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C2H5O,"{'C': 2, 'H': 5, 'O': 1}",45.03403978072,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M | H shift -1,0,-1,,,,0.7
C2H6O,"{'C': 2, 'H': 6, 'O': 1}",46.04186481295,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C2H6O,"{'C': 2, 'H': 6, 'O': 1}",46.04186481295,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C2H7O,"{'C': 2, 'H': 7, 'O': 1}",47.04968984518,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M | H shift +1,0,1,,,,0.7
C2H8O,"{'C': 2, 'H': 8, 'O': 1}",48.05751487741,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +1 | H,0,1,H,,,0.7
C3H7O2,"{'C': 3, 'H': 7, 'O': 2}",75.04460446475,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | -H,0,0,-H,,,0.67
C3H8O2,"{'C': 3, 'H': 8, 'O': 2}",76.05242949698,neutral,0,POMC,Polyoxymethylene Copolymer,oligomer,M + 1×repeat,0,0,,,,0.67
C3H9O2,"{'C': 3, 'H': 9, 'O': 2}",77.06025452921,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | H,0,0,H,,,0.67
C2H3O,"{'C': 2, 'H': 3, 'O': 1}",43.01838971626,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C2H4,"{'C': 2, 'H': 4}",28.03130012892,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | -H2O,0,0,,H2O,,0.65
C2H4O,"{'C': 2, 'H': 4, 'O': 1}",44.02621474849,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M | H shift -2,0,-2,,,,0.65
C2H4O,"{'C': 2, 'H': 4, 'O': 1}",44.02621474849,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | -H2 | ; | break 1 bond(s) + 1×repeat | -OH | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H2O,0,0,,H2,,0.65
C2H5,"{'C': 2, 'H': 5}",29.03912516115,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | -OH | ; | M | H shift +1 | -H2O,0,0,,OH,,0.65
C2H5O,"{'C': 2, 'H': 5, 'O': 1}",45.03403978072,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C2H7O,"{'C': 2, 'H': 7, 'O': 1}",47.04968984518,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C2H8O,"{'C': 2, 'H': 8, 'O': 1}",48.05751487741,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M | H shift +2,0,2,,,,0.65
C2H9O,"{'C': 2, 'H': 9, 'O': 1}",49.06533990964,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +2 | H,0,2,H,,,0.65
CH3O,"{'C': 1, 'H': 3, 'O': 1}",31.01838971626,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
CH6,"{'C': 1, 'H': 6}",18.04695019338,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | -CO | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CO2 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -CO2,0,0,,CO,,0.65
C2H6ClO,"{'C': 2, 'H': 6, 'O': 1, 'Cl': 1}",81.01071749495,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | Cl,0,0,Cl,,,0.63
C2H6KO,"{'C': 2, 'H': 6, 'O': 1, 'K': 1}",85.00557129935,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | K,0,0,K,,,0.63
C2H6NaO,"{'C': 2, 'H': 6, 'O': 1, 'Na': 1}",69.03163409495001,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | Na,0,0,Na,,,0.63
C2H6O2,"{'C': 2, 'H': 6, 'O': 2}",62.03677943252,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | O | ; | break 1 bond(s) + 1×repeat | H shift +2 | -H | ; | break 1 bond(s) + 1×repeat | H shift +2 | -H,0,0,O,,,0.63
C2H7O2,"{'C': 2, 'H': 7, 'O': 2}",63.04460446475,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C3H10O2,"{'C': 3, 'H': 10, 'O': 2}",78.06807956144,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | H shift +1 | H,0,1,H,,,0.62
C3H6O2,"{'C': 3, 'H': 6, 'O': 2}",74.03677943252,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | H shift -1 | -H,0,-1,-H,,,0.62
C3H7O2,"{'C': 3, 'H': 7, 'O': 2}",75.04460446475,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M + 1×repeat | H shift -1,0,-1,,,,0.62
C3H8O2,"{'C': 3, 'H': 8, 'O': 2}",76.05242949698,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | H shift -1 | H,0,-1,H,,,0.62
C3H8O2,"{'C': 3, 'H': 8, 'O': 2}",76.05242949698,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M + 1×repeat | H shift +1 | -H,0,1,-H,,,0.62
C3H9O2,"{'C': 3, 'H': 9, 'O': 2}",77.06025452921,neutral,0,POMC,Polyoxymethylene Copolymer,h_shift,M + 1×repeat | H shift +1,0,1,,,,0.62
C2H3,"{'C': 2, 'H': 3}",27.02347509669,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift -1 | -H2O,0,-1,,H2O,,0.6
C2H3O,"{'C': 2, 'H': 3, 'O': 1}",43.01838971626,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift -1 | -H2 | ; | break 1 bond(s) + 1×repeat | H shift -1 | -OH | ; | break 1 bond(s) + 1×repeat | -H2O,0,-1,,H2,,0.6
C2H5O,"{'C': 2, 'H': 5, 'O': 1}",45.03403978072,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift +1 | -H2 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -OH | ; | break 1 bond(s) + 1×repeat | H shift +2 | -H2O,0,1,,H2,,0.6
C2H6,"{'C': 2, 'H': 6}",30.04695019338,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift +1 | -OH | ; | M | H shift +2 | -H2O | ; | M + 1×repeat | H shift -2 | -CO2,0,1,,OH,,0.6
CH2O,"{'C': 1, 'H': 2, 'O': 1}",30.01056468403,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,-1,,CH3,,0.6
CH2O,"{'O': 1, 'C': 1, 'H': 2}",30.01056468403,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,break 1 bond(s) | -H | ; | break 1 bond(s) | -H,1,0,-H,,"[1, 2, 6, 7, 8]",0.6
CH3O,"{'O': 1, 'C': 1, 'H': 3}",31.01838971626,neutral,0,POMC,Polyoxymethylene Copolymer,fragment,break 1 bond(s) | ; | break 1 bond(s),1,0,,,"[1, 2, 6, 7, 8]",0.6
CH4O,"{'C': 1, 'H': 4, 'O': 1}",32.02621474849,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift +1 | -CH3 | ; | break 1 bond(s) + 1×repeat | H shift -1 | -CO | ; | break 1 bond(s) + 1×repeat | H shift -1 | -CO,0,1,,CH3,,0.6
CH4O,"{'O': 1, 'C': 1, 'H': 4}",32.02621474849,positive,1,POMC,Polyoxymethylene Copolymer,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H,1,0,H,,"[1, 2, 6, 7, 8]",0.6
CH5,"{'C': 1, 'H': 5}",17.03912516115,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift -1 | -CO | ; | break 1 bond(s) + 1×repeat | -CO2 | ; | break 1 bond(s) + 1×repeat | -CO2,0,-1,,CO,,0.6
CH7,"{'C': 1, 'H': 7}",19.05477522561,neutral,0,POMC,Polyoxymethylene Copolymer,neutral_loss,M | H shift +1 | -CO | ; | break 1 bond(s) + 1×repeat | H shift +2 | -CO2 | ; | break 1 bond(s) + 1×repeat | H shift +2 | -CO2,0,1,,CO,,0.6
C4H10O3,"{'C': 4, 'H': 10, 'O': 3}",106.06299418101,neutral,0,POMC,Polyoxymethylene Copolymer,oligomer,M + 2×repeat,0,0,,,,0.59
C4H11O3,"{'C': 4, 'H': 11, 'O': 3}",107.07081921324,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M + 2×repeat | H,0,0,H,,,0.59
C4H9O3,"{'C': 4, 'H': 9, 'O': 3}",105.05516914878001,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M + 2×repeat | -H,0,0,-H,,,0.59
C2H5ClO,"{'C': 2, 'H': 5, 'O': 1, 'Cl': 1}",80.00289246272,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | Cl,0,-1,Cl,,,0.58
C2H5KO,"{'C': 2, 'H': 5, 'O': 1, 'K': 1}",83.99774626712,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | K,0,-1,K,,,0.58
C2H5NaO,"{'C': 2, 'H': 5, 'O': 1, 'Na': 1}",68.02380906272,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | Na,0,-1,Na,,,0.58
C2H5O2,"{'C': 2, 'H': 5, 'O': 2}",61.028954400290004,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift -1 | O | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H,0,-1,O,,,0.58
C2H7ClO,"{'C': 2, 'H': 7, 'O': 1, 'Cl': 1}",82.01854252718,negative,-1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +1 | Cl,0,1,Cl,,,0.58
C2H7KO,"{'C': 2, 'H': 7, 'O': 1, 'K': 1}",86.01339633158,positive,1,POMC,Polyoxymethylene Copolymer,adduct,M | H shift +1 | K,0,1,K,,,0.58
