formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C6H6S2,"{'C': 6, 'H': 6, 'S': 2}",141.99109254218,neutral,0,PPS,Polyphenylene Sulfide,parent,M,0,0,,,,1.0
C6H5S2,"{'C': 6, 'H': 5, 'S': 2}",140.98326750995,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | -H,0,0,-H,,,0.75
C6H7S2,"{'C': 6, 'H': 7, 'S': 2}",142.99891757441,positive,1,PPS,Polyphenylene Sulfide,adduct,M | H,0,0,H,,,0.75
C6H4S2,"{'C': 6, 'H': 4, 'S': 2}",139.97544247772,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C6H5S2,"{'C': 6, 'H': 5, 'S': 2}",140.98326750995,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M | H shift -1,0,-1,,,,0.7
C6H6S2,"{'C': 6, 'H': 6, 'S': 2}",141.99109254218,positive,1,PPS,Polyphenylene Sulfide,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C6H6S2,"{'C': 6, 'H': 6, 'S': 2}",141.99109254218,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C6H7S2,"{'C': 6, 'H': 7, 'S': 2}",142.99891757441,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M | H shift +1,0,1,,,,0.7
C6H8S2,"{'C': 6, 'H': 8, 'S': 2}",144.00674260664,positive,1,PPS,Polyphenylene Sulfide,adduct,M | H shift +1 | H,0,1,H,,,0.7
C12H10S3,"{'C': 12, 'H': 10, 'S': 3}",249.9944638455,neutral,0,PPS,Polyphenylene Sulfide,oligomer,M + 1×repeat,0,0,,,,0.67
C12H11S3,"{'C': 12, 'H': 11, 'S': 3}",251.00228887773,positive,1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | H,0,0,H,,,0.67
C12H9S3,"{'C': 12, 'H': 9, 'S': 3}",248.98663881327,negative,-1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | -H,0,0,-H,,,0.67
C5H3S2,"{'C': 5, 'H': 3, 'S': 2}",126.96761744549,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | -CH3,0,0,,CH3,,0.65
C6H3S2,"{'C': 6, 'H': 3, 'S': 2}",138.96761744549,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C6H4S2,"{'C': 6, 'H': 4, 'S': 2}",139.97544247772,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M | H shift -2,0,-2,,,,0.65
C6H4S2,"{'C': 6, 'H': 4, 'S': 2}",139.97544247772,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | -H2,0,0,,H2,,0.65
C6H5S2,"{'C': 6, 'H': 5, 'S': 2}",140.98326750995,positive,1,PPS,Polyphenylene Sulfide,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C6H7S2,"{'C': 6, 'H': 7, 'S': 2}",142.99891757441,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C6H8S2,"{'C': 6, 'H': 8, 'S': 2}",144.00674260664,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M | H shift +2,0,2,,,,0.65
C6H9S2,"{'C': 6, 'H': 9, 'S': 2}",145.01456763887,positive,1,PPS,Polyphenylene Sulfide,adduct,M | H shift +2 | H,0,2,H,,,0.65
C6H6ClS2,"{'C': 6, 'H': 6, 'S': 2, 'Cl': 1}",176.95994522418,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | Cl,0,0,Cl,,,0.63
C6H6KS2,"{'C': 6, 'H': 6, 'S': 2, 'K': 1}",180.95479902858,positive,1,PPS,Polyphenylene Sulfide,adduct,M | K,0,0,K,,,0.63
C6H6NaS2,"{'C': 6, 'H': 6, 'S': 2, 'Na': 1}",164.98086182418,positive,1,PPS,Polyphenylene Sulfide,adduct,M | Na,0,0,Na,,,0.63
C6H6OS2,"{'C': 6, 'H': 6, 'S': 2, 'O': 1}",157.98600716175,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | O,0,0,O,,,0.63
C6H7OS2,"{'C': 6, 'H': 7, 'S': 2, 'O': 1}",158.99383219398,negative,-1,PPS,Polyphenylene Sulfide,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C12H10S3,"{'C': 12, 'H': 10, 'S': 3}",249.9944638455,positive,1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | H shift -1 | H,0,-1,H,,,0.62
C12H10S3,"{'C': 12, 'H': 10, 'S': 3}",249.9944638455,negative,-1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | H shift +1 | -H,0,1,-H,,,0.62
C12H11S3,"{'C': 12, 'H': 11, 'S': 3}",251.00228887773,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M + 1×repeat | H shift +1,0,1,,,,0.62
C12H12S3,"{'C': 12, 'H': 12, 'S': 3}",252.01011390996,positive,1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | H shift +1 | H,0,1,H,,,0.62
C12H8S3,"{'C': 12, 'H': 8, 'S': 3}",247.97881378104,negative,-1,PPS,Polyphenylene Sulfide,adduct,M + 1×repeat | H shift -1 | -H,0,-1,-H,,,0.62
C12H9S3,"{'C': 12, 'H': 9, 'S': 3}",248.98663881327,neutral,0,PPS,Polyphenylene Sulfide,h_shift,M + 1×repeat | H shift -1,0,-1,,,,0.62
C5H2S2,"{'C': 5, 'H': 2, 'S': 2}",125.95979241326,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | H shift -1 | -CH3,0,-1,,CH3,,0.6
C5H4S2,"{'C': 5, 'H': 4, 'S': 2}",127.97544247772,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | H shift +1 | -CH3,0,1,,CH3,,0.6
C6H3S2,"{'C': 6, 'H': 3, 'S': 2}",138.96761744549,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | H shift -1 | -H2,0,-1,,H2,,0.6
C6H4S,"{'C': 6, 'S': 1, 'H': 4}",108.00337130332,negative,-1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) | -H | ; | break 1 bond(s) | -H,1,0,-H,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.6
C6H5S,"{'C': 6, 'S': 1, 'H': 5}",109.01119633555,neutral,0,PPS,Polyphenylene Sulfide,fragment,break 1 bond(s) | ; | break 1 bond(s),1,0,,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.6
C6H5S2,"{'C': 6, 'H': 5, 'S': 2}",140.98326750995,neutral,0,PPS,Polyphenylene Sulfide,neutral_loss,M | H shift +1 | -H2,0,1,,H2,,0.6
C6H6S,"{'C': 6, 'S': 1, 'H': 6}",110.01902136778,positive,1,PPS,Polyphenylene Sulfide,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H,1,0,H,,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",0.6
C18H13S4,"{'C': 18, 'H': 13, 'S': 4}",356.99001011659,negative,-1,PPS,Polyphenylene Sulfide,adduct,M + 2×repeat | -H,0,0,-H,,,0.59
