formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C2HF5,"{'C': 2, 'H': 1, 'F': 5}",119.99984084588,neutral,0,PTFE,Polytetrafluoroethylene,parent,M,0,0,,,,1.0
C2F5,"{'C': 2, 'F': 5}",118.99201581365,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | -H,0,0,-H,,,0.75
C2H2F5,"{'C': 2, 'H': 2, 'F': 5}",121.00766587811,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H,0,0,H,,,0.75
C2F5,"{'C': 2, 'F': 5}",118.99201581365,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M | H shift -1,0,-1,,,,0.7
C2H2F5,"{'C': 2, 'H': 2, 'F': 5}",121.00766587811,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M | H shift +1,0,1,,,,0.7
C2H3F5,"{'C': 2, 'H': 3, 'F': 5}",122.01549091034,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | H,0,1,H,,,0.7
C2HF5,"{'C': 2, 'F': 5, 'H': 1}",119.99984084588,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C2HF5,"{'C': 2, 'H': 1, 'F': 5}",119.99984084588,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C4F9,"{'C': 4, 'F': 9}",218.98562846457,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | -H,0,0,-H,,,0.67
C4H2F9,"{'C': 4, 'H': 2, 'F': 9}",221.00127852903,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H,0,0,H,,,0.67
C4HF9,"{'C': 4, 'H': 1, 'F': 9}",219.9934534968,neutral,0,PTFE,Polytetrafluoroethylene,oligomer,M + 1×repeat,0,0,,,,0.67
C2F4,"{'C': 2, 'F': 4}",99.99361265092,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | -HF | ; | break 1 bond(s) | H shift +1 | -H2 | ; | break 1 bond(s) | H shift +1 | -H2,0,0,,HF,,0.65
C2H2F5,"{'C': 2, 'H': 2, 'F': 5}",121.00766587811,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C2H3F5,"{'C': 2, 'H': 3, 'F': 5}",122.01549091034,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M | H shift +2,0,2,,,,0.65
C2H4F5,"{'C': 2, 'H': 4, 'F': 5}",123.02331594257,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | H,0,2,H,,,0.65
C2H2F5O,"{'C': 2, 'H': 2, 'F': 5, 'O': 1}",137.00258049768,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C2HClF5,"{'C': 2, 'H': 1, 'F': 5, 'Cl': 1}",154.96869352788,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | Cl,0,0,Cl,,,0.63
C2HF5K,"{'C': 2, 'H': 1, 'F': 5, 'K': 1}",158.96354733228,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | K,0,0,K,,,0.63
C2HF5Na,"{'C': 2, 'H': 1, 'F': 5, 'Na': 1}",142.98961012788,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | Na,0,0,Na,,,0.63
C2HF5O,"{'C': 2, 'H': 1, 'F': 5, 'O': 1}",135.99475546545,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | O,0,0,O,,,0.63
C4F9,"{'C': 4, 'F': 9}",218.98562846457,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M + 1×repeat | H shift -1,0,-1,,,,0.62
C4H2F9,"{'C': 4, 'H': 2, 'F': 9}",221.00127852903,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M + 1×repeat | H shift +1,0,1,,,,0.62
C4H3F9,"{'C': 4, 'H': 3, 'F': 9}",222.00910356126,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H shift +1 | H,0,1,H,,,0.62
C4HF9,"{'C': 4, 'F': 9, 'H': 1}",219.9934534968,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H shift -1 | H,0,-1,H,,,0.62
C4HF9,"{'C': 4, 'H': 1, 'F': 9}",219.9934534968,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H shift +1 | -H,0,1,-H,,,0.62
C2F4,"{'C': 2, 'F': 4}",99.99361265092,negative,-1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | -H | ; | break 1 bond(s) | -H | ; | break 1 bond(s) | -H | ; | break 1 bond(s) | -H,1,0,-H,,"[0, 2, 3, 4, 5, 6, 7]",0.6
C2F5,"{'C': 2, 'F': 5}",118.99201581365,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | H shift +1 | -H2 | ; | break 2 bond(s) + 1×repeat | H shift +2 | -CH3 | ; | break 2 bond(s) + 1×repeat | H shift +2 | -CH3,0,1,,H2,,0.6
C2H2F4,"{'C': 2, 'F': 4, 'H': 2}",102.00926271538,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H | ; | break 1 bond(s) | H,1,0,H,,"[0, 2, 3, 4, 5, 6, 7]",0.6
C2HF4,"{'C': 2, 'H': 1, 'F': 4}",101.00143768315,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | H shift +1 | -HF | ; | break 1 bond(s) | H shift +2 | -H2 | ; | break 1 bond(s) | H shift +2 | -H2,0,1,,HF,,0.6
C2HF4,"{'C': 2, 'F': 4, 'H': 1}",101.00143768315,neutral,0,PTFE,Polytetrafluoroethylene,fragment,break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s) | ; | break 1 bond(s),1,0,,,"[0, 2, 3, 4, 5, 6, 7]",0.6
CF2,"{'C': 1, 'F': 2}",49.99680632546,negative,-1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | -H | ; | break 2 bond(s) | -H | ; | break 2 bond(s) | H shift +1 | -H,1,0,-H,,"[0, 1, 2, 7]",0.6
CF3,"{'C': 1, 'F': 3}",68.99520948819,neutral,0,PTFE,Polytetrafluoroethylene,fragment,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[3, 4, 5, 6]",0.6
CH2F2,"{'C': 1, 'F': 2, 'H': 2}",52.01245638992,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H shift +1 | H,1,0,H,,"[0, 1, 2, 7]",0.6
CHF2,"{'C': 1, 'F': 2, 'H': 1}",51.00463135769,neutral,0,PTFE,Polytetrafluoroethylene,fragment,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s),1,0,,,"[0, 1, 2, 7]",0.6
CHF3,"{'C': 1, 'F': 3, 'H': 1}",70.00303452042,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H | ; | break 2 bond(s) | H | ; | break 2 bond(s) | H,1,0,H,,"[3, 4, 5, 6]",0.6
C6F13,"{'C': 6, 'F': 13}",318.97924111549,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 2×repeat | -H,0,0,-H,,,0.59
C6H2F13,"{'C': 6, 'H': 2, 'F': 13}",320.99489117995,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 2×repeat | H,0,0,H,,,0.59
C6HF13,"{'C': 6, 'H': 1, 'F': 13}",319.98706614772,neutral,0,PTFE,Polytetrafluoroethylene,oligomer,M + 2×repeat,0,0,,,,0.59
C2ClF5,"{'C': 2, 'F': 5, 'Cl': 1}",153.96086849565,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift -1 | Cl,0,-1,Cl,,,0.58
C2F5K,"{'C': 2, 'F': 5, 'K': 1}",157.95572230005,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift -1 | K,0,-1,K,,,0.58
C2F5Na,"{'C': 2, 'F': 5, 'Na': 1}",141.98178509565,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift -1 | Na,0,-1,Na,,,0.58
C2F5O,"{'C': 2, 'F': 5, 'O': 1}",134.98693043322,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift -1 | O,0,-1,O,,,0.58
C2H2ClF5,"{'C': 2, 'H': 2, 'F': 5, 'Cl': 1}",155.97651856011,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | Cl,0,1,Cl,,,0.58
C2H2F5K,"{'C': 2, 'H': 2, 'F': 5, 'K': 1}",159.97137236451,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | K,0,1,K,,,0.58
C2H2F5Na,"{'C': 2, 'H': 2, 'F': 5, 'Na': 1}",143.99743516011,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | Na,0,1,Na,,,0.58
C2H3F5O,"{'C': 2, 'H': 3, 'F': 5, 'O': 1}",138.01040552991,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +1 | OH | ; | M | H shift +2 | O,0,1,OH,,,0.58
C4F8,"{'C': 4, 'F': 8}",199.98722530184,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M + 1×repeat | -HF | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H2 | ; | break 1 bond(s) + 1×repeat | H shift +1 | -H2,0,0,,HF,,0.5700000000000001
C4H2F9,"{'C': 4, 'H': 2, 'F': 9}",221.00127852903,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H shift +2 | -H,0,2,-H,,,0.5700000000000001
C4H3F9,"{'C': 4, 'H': 3, 'F': 9}",222.00910356126,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M + 1×repeat | H shift +2,0,2,,,,0.5700000000000001
C4H4F9,"{'C': 4, 'H': 4, 'F': 9}",223.01692859349,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | H shift +2 | H,0,2,H,,,0.5700000000000001
C2H2F4,"{'C': 2, 'H': 2, 'F': 4}",102.00926271538,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | H shift +2 | -HF,0,2,,HF,,0.55
C2HF5,"{'C': 2, 'H': 1, 'F': 5}",119.99984084588,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | H shift +2 | -H2,0,2,,H2,,0.55
C4H2F9O,"{'C': 4, 'H': 2, 'F': 9, 'O': 1}",236.99619314859999,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | OH | ; | M + 1×repeat | H shift +1 | O,0,0,OH,,,0.55
C4H3F10,"{'C': 4, 'H': 3, 'F': 10}",241.00750672399,positive,1,PTFE,Polytetrafluoroethylene,dimer,2M | H,0,0,H,,,0.55
C4HClF9,"{'C': 4, 'H': 1, 'F': 9, 'Cl': 1}",254.9623061788,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | Cl,0,0,Cl,,,0.55
C4HF10,"{'C': 4, 'H': 1, 'F': 10}",238.99185665953,negative,-1,PTFE,Polytetrafluoroethylene,dimer,2M | -H,0,0,-H,,,0.55
C4HF9K,"{'C': 4, 'H': 1, 'F': 9, 'K': 1}",258.9571599832,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | K,0,0,K,,,0.55
C4HF9Na,"{'C': 4, 'H': 1, 'F': 9, 'Na': 1}",242.9832227788,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | Na,0,0,Na,,,0.55
C4HF9O,"{'C': 4, 'H': 1, 'F': 9, 'O': 1}",235.98836811637,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 1×repeat | O,0,0,O,,,0.55
CF5,"{'C': 1, 'F': 5}",106.99201581365,neutral,0,PTFE,Polytetrafluoroethylene,neutral_loss,M | H shift +2 | -CH3,0,2,,CH3,,0.55
C2F4,"{'C': 2, 'F': 4}",99.99361265092,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,break 1 bond(s) | H shift -1 | ; | break 1 bond(s) | H shift -1 | ; | break 1 bond(s) | H shift -1 | ; | break 1 bond(s) | H shift -1,1,-1,,,"[0, 2, 3, 4, 5, 6, 7]",0.5499999999999999
C2H2F4,"{'C': 2, 'F': 4, 'H': 2}",102.00926271538,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,break 1 bond(s) | H shift +1 | ; | break 1 bond(s) | H shift +1 | ; | break 1 bond(s) | H shift +1 | ; | break 1 bond(s) | H shift +1,1,1,,,"[0, 2, 3, 4, 5, 6, 7]",0.5499999999999999
C2H3F4,"{'C': 2, 'F': 4, 'H': 3}",103.01708774761,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | H | ; | break 1 bond(s) | H shift +1 | H | ; | break 1 bond(s) | H shift +1 | H,1,1,H,,"[0, 2, 3, 4, 5, 6, 7]",0.5499999999999999
C2HF4,"{'C': 2, 'F': 4, 'H': 1}",101.00143768315,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift -1 | H | ; | break 1 bond(s) | H shift -1 | H | ; | break 1 bond(s) | H shift -1 | H,1,-1,H,,"[0, 2, 3, 4, 5, 6, 7]",0.5499999999999999
C2HF4,"{'C': 2, 'F': 4, 'H': 1}",101.00143768315,negative,-1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | -H | ; | break 1 bond(s) | H shift +1 | -H | ; | break 1 bond(s) | H shift +1 | -H,1,1,-H,,"[0, 2, 3, 4, 5, 6, 7]",0.5499999999999999
CF2,"{'C': 1, 'F': 2}",49.99680632546,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,break 1 bond(s) | H shift -1 | ; | break 2 bond(s) | H shift -1 | ; | break 2 bond(s) | H shift -1 | ; | break 2 bond(s) | H shift -1,1,-1,,,"[0, 1, 2, 7]",0.5499999999999999
CF3,"{'C': 1, 'F': 3}",68.99520948819,negative,-1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | -H | ; | break 2 bond(s) | H shift +1 | -H | ; | break 2 bond(s) | H shift +1 | -H,1,1,-H,,"[3, 4, 5, 6]",0.5499999999999999
CH2F2,"{'C': 1, 'F': 2, 'H': 2}",52.01245638992,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,break 1 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +2 | ; | break 2 bond(s) | H shift +1,1,1,,,"[0, 1, 2, 7]",0.5499999999999999
CH2F3,"{'C': 1, 'F': 3, 'H': 2}",71.01085955265,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | H | ; | break 2 bond(s) | H shift +1 | H | ; | break 2 bond(s) | H shift +1 | H,1,1,H,,"[3, 4, 5, 6]",0.5499999999999999
CH3F2,"{'C': 1, 'F': 2, 'H': 3}",53.02028142215,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | H | ; | break 2 bond(s) | H shift +1 | H | ; | break 2 bond(s) | H shift +2 | H,1,1,H,,"[0, 1, 2, 7]",0.5499999999999999
CHF2,"{'C': 1, 'F': 2, 'H': 1}",51.00463135769,positive,1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift -1 | H | ; | break 2 bond(s) | H shift -1 | H | ; | break 2 bond(s) | H,1,-1,H,,"[0, 1, 2, 7]",0.5499999999999999
CHF2,"{'C': 1, 'F': 2, 'H': 1}",51.00463135769,negative,-1,PTFE,Polytetrafluoroethylene,adduct,break 1 bond(s) | H shift +1 | -H | ; | break 2 bond(s) | H shift +1 | -H | ; | break 2 bond(s) | H shift +2 | -H,1,1,-H,,"[0, 1, 2, 7]",0.5499999999999999
CHF3,"{'C': 1, 'F': 3, 'H': 1}",70.00303452042,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,break 1 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +1 | ; | break 2 bond(s) | H shift +1,1,1,,,"[3, 4, 5, 6]",0.5499999999999999
C6F13,"{'C': 6, 'F': 13}",318.97924111549,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M + 2×repeat | H shift -1,0,-1,,,,0.5399999999999999
C6H2F13,"{'C': 6, 'H': 2, 'F': 13}",320.99489117995,neutral,0,PTFE,Polytetrafluoroethylene,h_shift,M + 2×repeat | H shift +1,0,1,,,,0.5399999999999999
C6H3F13,"{'C': 6, 'H': 3, 'F': 13}",322.00271621218,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 2×repeat | H shift +1 | H,0,1,H,,,0.5399999999999999
C6HF13,"{'C': 6, 'F': 13, 'H': 1}",319.98706614772,positive,1,PTFE,Polytetrafluoroethylene,adduct,M + 2×repeat | H shift -1 | H,0,-1,H,,,0.5399999999999999
C6HF13,"{'C': 6, 'H': 1, 'F': 13}",319.98706614772,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M + 2×repeat | H shift +1 | -H,0,1,-H,,,0.5399999999999999
C2H3ClF5,"{'C': 2, 'H': 3, 'F': 5, 'Cl': 1}",156.98434359234,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | Cl,0,2,Cl,,,0.53
C2H3F5K,"{'C': 2, 'H': 3, 'F': 5, 'K': 1}",160.97919739674,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | K,0,2,K,,,0.53
C2H3F5Na,"{'C': 2, 'H': 3, 'F': 5, 'Na': 1}",145.00526019234,positive,1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | Na,0,2,Na,,,0.53
C2H4F5O,"{'C': 2, 'H': 4, 'F': 5, 'O': 1}",139.01823056214,negative,-1,PTFE,Polytetrafluoroethylene,adduct,M | H shift +2 | OH,0,2,OH,,,0.53
