formula,counts,exact_mass,ion_mode,charge,source_compound_id,source_name,generation_type,path,broken_bonds,h_shift,adduct,neutral_losses,fragment_atom_indices,score
C7H8,"{'C': 7, 'H': 8}",92.06260025784,neutral,0,STD001,Toluene,parent,M,0,0,,,,1.0
C7H7,"{'C': 7, 'H': 7}",91.05477522561,negative,-1,STD001,Toluene,adduct,M | -H,0,0,-H,,,0.75
C7H9,"{'C': 7, 'H': 9}",93.07042529007,positive,1,STD001,Toluene,adduct,M | H,0,0,H,,,0.75
C7H10,"{'C': 7, 'H': 10}",94.0782503223,positive,1,STD001,Toluene,adduct,M | H shift +1 | H,0,1,H,,,0.7
C7H6,"{'C': 7, 'H': 6}",90.04695019338,negative,-1,STD001,Toluene,adduct,M | H shift -1 | -H,0,-1,-H,,,0.7
C7H7,"{'C': 7, 'H': 7}",91.05477522561,neutral,0,STD001,Toluene,h_shift,M | H shift -1,0,-1,,,,0.7
C7H8,"{'C': 7, 'H': 8}",92.06260025784,positive,1,STD001,Toluene,adduct,M | H shift -1 | H,0,-1,H,,,0.7
C7H8,"{'C': 7, 'H': 8}",92.06260025784,negative,-1,STD001,Toluene,adduct,M | H shift +1 | -H,0,1,-H,,,0.7
C7H9,"{'C': 7, 'H': 9}",93.07042529007,neutral,0,STD001,Toluene,h_shift,M | H shift +1,0,1,,,,0.7
C6H5,"{'C': 6, 'H': 5}",77.03912516115,neutral,0,STD001,Toluene,neutral_loss,M | -CH3 | ; | break 1 bond(s) | H shift +2 | -H2,0,0,,CH3,,0.65
C7H10,"{'C': 7, 'H': 10}",94.0782503223,neutral,0,STD001,Toluene,h_shift,M | H shift +2,0,2,,,,0.65
C7H11,"{'C': 7, 'H': 11}",95.08607535453,positive,1,STD001,Toluene,adduct,M | H shift +2 | H,0,2,H,,,0.65
C7H5,"{'C': 7, 'H': 5}",89.03912516115,negative,-1,STD001,Toluene,adduct,M | H shift -2 | -H,0,-2,-H,,,0.65
C7H6,"{'C': 7, 'H': 6}",90.04695019338,neutral,0,STD001,Toluene,h_shift,M | H shift -2,0,-2,,,,0.65
C7H6,"{'C': 7, 'H': 6}",90.04695019338,neutral,0,STD001,Toluene,neutral_loss,M | -H2,0,0,,H2,,0.65
C7H7,"{'C': 7, 'H': 7}",91.05477522561,positive,1,STD001,Toluene,adduct,M | H shift -2 | H,0,-2,H,,,0.65
C7H9,"{'C': 7, 'H': 9}",93.07042529007,negative,-1,STD001,Toluene,adduct,M | H shift +2 | -H,0,2,-H,,,0.65
C7H8Cl,"{'C': 7, 'H': 8, 'Cl': 1}",127.03145293984,negative,-1,STD001,Toluene,adduct,M | Cl,0,0,Cl,,,0.63
C7H8K,"{'C': 7, 'H': 8, 'K': 1}",131.02630674424,positive,1,STD001,Toluene,adduct,M | K,0,0,K,,,0.63
C7H8Na,"{'C': 7, 'H': 8, 'Na': 1}",115.05236953984,positive,1,STD001,Toluene,adduct,M | Na,0,0,Na,,,0.63
C7H8O,"{'C': 7, 'H': 8, 'O': 1}",108.05751487741,negative,-1,STD001,Toluene,adduct,M | O,0,0,O,,,0.63
C7H9O,"{'C': 7, 'H': 9, 'O': 1}",109.06533990964,negative,-1,STD001,Toluene,adduct,M | OH | ; | M | H shift +1 | O,0,0,OH,,,0.63
C6H4,"{'C': 6, 'H': 4}",76.03130012892,neutral,0,STD001,Toluene,neutral_loss,M | H shift -1 | -CH3 | ; | break 1 bond(s) | H shift +1 | -H2,0,-1,,CH3,,0.6
C6H4,"{'C': 6, 'H': 4}",76.03130012892,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | -H,1,0,-H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.6
C6H5,"{'C': 6, 'H': 5}",77.03912516115,neutral,0,STD001,Toluene,fragment,break 1 bond(s),1,0,,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.6
C6H6,"{'C': 6, 'H': 6}",78.04695019338,neutral,0,STD001,Toluene,neutral_loss,M | H shift +1 | -CH3,0,1,,CH3,,0.6
C6H6,"{'C': 6, 'H': 6}",78.04695019338,positive,1,STD001,Toluene,adduct,break 1 bond(s) | H,1,0,H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.6
C7H5,"{'C': 7, 'H': 5}",89.03912516115,neutral,0,STD001,Toluene,neutral_loss,M | H shift -1 | -H2,0,-1,,H2,,0.6
C7H7,"{'C': 7, 'H': 7}",91.05477522561,neutral,0,STD001,Toluene,neutral_loss,M | H shift +1 | -H2,0,1,,H2,,0.6
C7H10O,"{'C': 7, 'H': 10, 'O': 1}",110.07316494187,negative,-1,STD001,Toluene,adduct,M | H shift +1 | OH | ; | M | H shift +2 | O,0,1,OH,,,0.58
C7H7Cl,"{'C': 7, 'H': 7, 'Cl': 1}",126.02362790760999,negative,-1,STD001,Toluene,adduct,M | H shift -1 | Cl,0,-1,Cl,,,0.58
C7H7K,"{'C': 7, 'H': 7, 'K': 1}",130.01848171201,positive,1,STD001,Toluene,adduct,M | H shift -1 | K,0,-1,K,,,0.58
C7H7Na,"{'C': 7, 'H': 7, 'Na': 1}",114.04454450761,positive,1,STD001,Toluene,adduct,M | H shift -1 | Na,0,-1,Na,,,0.58
C7H7O,"{'C': 7, 'H': 7, 'O': 1}",107.04968984518,negative,-1,STD001,Toluene,adduct,M | H shift -1 | O,0,-1,O,,,0.58
C7H9Cl,"{'C': 7, 'H': 9, 'Cl': 1}",128.03927797207,negative,-1,STD001,Toluene,adduct,M | H shift +1 | Cl,0,1,Cl,,,0.58
C7H9K,"{'C': 7, 'H': 9, 'K': 1}",132.03413177647,positive,1,STD001,Toluene,adduct,M | H shift +1 | K,0,1,K,,,0.58
C7H9Na,"{'C': 7, 'H': 9, 'Na': 1}",116.06019457207,positive,1,STD001,Toluene,adduct,M | H shift +1 | Na,0,1,Na,,,0.58
C14H15,"{'C': 14, 'H': 15}",183.11737548345,negative,-1,STD001,Toluene,dimer,2M | -H,0,0,-H,,,0.55
C14H17,"{'C': 14, 'H': 17}",185.13302554791,positive,1,STD001,Toluene,dimer,2M | H,0,0,H,,,0.55
C6H3,"{'C': 6, 'H': 3}",75.02347509669,neutral,0,STD001,Toluene,neutral_loss,M | H shift -2 | -CH3 | ; | break 1 bond(s) | -H2,0,-2,,CH3,,0.55
C6H7,"{'C': 6, 'H': 7}",79.05477522561,neutral,0,STD001,Toluene,neutral_loss,M | H shift +2 | -CH3,0,2,,CH3,,0.55
C7H4,"{'C': 7, 'H': 4}",88.03130012892,neutral,0,STD001,Toluene,neutral_loss,M | H shift -2 | -H2,0,-2,,H2,,0.55
C7H8,"{'C': 7, 'H': 8}",92.06260025784,neutral,0,STD001,Toluene,neutral_loss,M | H shift +2 | -H2,0,2,,H2,,0.55
C6H3,"{'C': 6, 'H': 3}",75.02347509669,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | H shift -1 | -H,1,-1,-H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5499999999999999
C6H4,"{'C': 6, 'H': 4}",76.03130012892,neutral,0,STD001,Toluene,h_shift,break 1 bond(s) | H shift -1,1,-1,,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5499999999999999
C6H5,"{'C': 6, 'H': 5}",77.03912516115,positive,1,STD001,Toluene,adduct,break 1 bond(s) | H shift -1 | H,1,-1,H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5499999999999999
C6H5,"{'C': 6, 'H': 5}",77.03912516115,negative,-1,STD001,Toluene,adduct,break 1 bond(s) | H shift +1 | -H,1,1,-H,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5499999999999999
C6H6,"{'C': 6, 'H': 6}",78.04695019338,neutral,0,STD001,Toluene,h_shift,break 1 bond(s) | H shift +1,1,1,,,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14]",0.5499999999999999
