edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,COC,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,COC,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,COC,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,COC,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,COC,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,COC,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,COC,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,COC,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,COC,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,COC,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,COC,node_0002,node_0012,h_shift_-1,h_shift,0.9
edge_0012,COC,node_0002,node_0013,h_shift_+1,h_shift,0.9
edge_0013,COC,node_0003,node_0014,h_shift_-1,h_shift,0.9
edge_0014,COC,node_0003,node_0015,h_shift_+1,h_shift,0.9
edge_0015,COC,node_0004,node_0016,h_shift_-1,h_shift,0.9
edge_0016,COC,node_0004,node_0017,h_shift_+1,h_shift,0.9
edge_0017,COC,node_0005,node_0018,h_shift_-1,h_shift,0.9
edge_0018,COC,node_0005,node_0019,h_shift_+1,h_shift,0.9
edge_0019,COC,node_0006,node_0020,h_shift_-1,h_shift,0.9
edge_0020,COC,node_0006,node_0021,h_shift_+1,h_shift,0.9
edge_0021,COC,node_0007,node_0022,h_shift_-1,h_shift,0.9
edge_0022,COC,node_0007,node_0023,h_shift_+1,h_shift,0.9
edge_0023,COC,node_0008,node_0024,h_shift_-1,h_shift,0.9
edge_0024,COC,node_0008,node_0025,h_shift_+1,h_shift,0.9
edge_0025,COC,node_0009,node_0026,h_shift_-1,h_shift,0.9
edge_0026,COC,node_0009,node_0027,h_shift_+1,h_shift,0.9
edge_0027,COC,node_0010,node_0028,h_shift_-1,h_shift,0.9
edge_0028,COC,node_0010,node_0029,h_shift_+1,h_shift,0.9
edge_0029,COC,node_0011,node_0030,h_shift_-1,h_shift,0.9
edge_0030,COC,node_0011,node_0031,h_shift_+1,h_shift,0.9
edge_0031,COC,node_0002,node_0032,single_dehydrogenative_recombination,recombination,0.8
edge_0032,COC,node_0014,node_0032,single_dehydrogenative_recombination,recombination,0.8
edge_0033,COC,node_0002,node_0033,single_dehydrogenative_recombination,recombination,0.8
edge_0034,COC,node_0016,node_0033,single_dehydrogenative_recombination,recombination,0.8
edge_0035,COC,node_0002,node_0034,single_dehydrogenative_recombination,recombination,0.8
edge_0036,COC,node_0018,node_0034,single_dehydrogenative_recombination,recombination,0.8
edge_0037,COC,node_0002,node_0035,single_dehydrogenative_recombination,recombination,0.8
edge_0038,COC,node_0020,node_0035,single_dehydrogenative_recombination,recombination,0.8
edge_0039,COC,node_0002,node_0036,single_dehydrogenative_recombination,recombination,0.8
edge_0040,COC,node_0022,node_0036,single_dehydrogenative_recombination,recombination,0.8
edge_0041,COC,node_0002,node_0037,single_dehydrogenative_recombination,recombination,0.8
edge_0042,COC,node_0024,node_0037,single_dehydrogenative_recombination,recombination,0.8
edge_0043,COC,node_0002,node_0038,single_dehydrogenative_recombination,recombination,0.8
edge_0044,COC,node_0026,node_0038,single_dehydrogenative_recombination,recombination,0.8
edge_0045,COC,node_0002,node_0039,single_dehydrogenative_recombination,recombination,0.8
edge_0046,COC,node_0028,node_0039,single_dehydrogenative_recombination,recombination,0.8
edge_0047,COC,node_0002,node_0040,single_dehydrogenative_recombination,recombination,0.8
edge_0048,COC,node_0030,node_0040,single_dehydrogenative_recombination,recombination,0.8
edge_0049,COC,node_0003,node_0041,single_dehydrogenative_recombination,recombination,0.8
edge_0050,COC,node_0012,node_0041,single_dehydrogenative_recombination,recombination,0.8
edge_0051,COC,node_0003,node_0042,single_dehydrogenative_recombination,recombination,0.8
edge_0052,COC,node_0016,node_0042,single_dehydrogenative_recombination,recombination,0.8
edge_0053,COC,node_0003,node_0043,single_dehydrogenative_recombination,recombination,0.8
edge_0054,COC,node_0018,node_0043,single_dehydrogenative_recombination,recombination,0.8
edge_0055,COC,node_0003,node_0044,single_dehydrogenative_recombination,recombination,0.8
edge_0056,COC,node_0020,node_0044,single_dehydrogenative_recombination,recombination,0.8
edge_0057,COC,node_0003,node_0045,single_dehydrogenative_recombination,recombination,0.8
edge_0058,COC,node_0022,node_0045,single_dehydrogenative_recombination,recombination,0.8
edge_0059,COC,node_0003,node_0046,single_dehydrogenative_recombination,recombination,0.8
edge_0060,COC,node_0024,node_0046,single_dehydrogenative_recombination,recombination,0.8
edge_0061,COC,node_0003,node_0047,single_dehydrogenative_recombination,recombination,0.8
edge_0062,COC,node_0026,node_0047,single_dehydrogenative_recombination,recombination,0.8
edge_0063,COC,node_0003,node_0048,single_dehydrogenative_recombination,recombination,0.8
edge_0064,COC,node_0028,node_0048,single_dehydrogenative_recombination,recombination,0.8
edge_0065,COC,node_0003,node_0049,single_dehydrogenative_recombination,recombination,0.8
edge_0066,COC,node_0030,node_0049,single_dehydrogenative_recombination,recombination,0.8
edge_0067,COC,node_0004,node_0050,single_dehydrogenative_recombination,recombination,0.8
edge_0068,COC,node_0012,node_0050,single_dehydrogenative_recombination,recombination,0.8
edge_0069,COC,node_0004,node_0051,single_dehydrogenative_recombination,recombination,0.8
edge_0070,COC,node_0014,node_0051,single_dehydrogenative_recombination,recombination,0.8
edge_0071,COC,node_0004,node_0052,single_dehydrogenative_recombination,recombination,0.8
edge_0072,COC,node_0018,node_0052,single_dehydrogenative_recombination,recombination,0.8
