node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,COC,Cyclic Olefin Copolymer,C11H20,"{""C"": 11, ""H"": 20}",152.1565006446,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,COC,Cyclic Olefin Copolymer,C10H17,"{""C"": 10, ""H"": 17}",137.13302554791,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,1;2;3;4;5;6;7;8;9;10;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,COC,Cyclic Olefin Copolymer,C2H5,"{""C"": 2, ""H"": 5}",29.03912516115,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,0;1;11;12;13;14;15,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,COC,Cyclic Olefin Copolymer,C9H15,"{""C"": 9, ""H"": 15}",123.11737548345,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,2;3;4;5;6;7;8;9;10;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,COC,Cyclic Olefin Copolymer,C9H15,"{""C"": 9, ""H"": 15}",123.11737548345,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,COC,Cyclic Olefin Copolymer,C2H5,"{""C"": 2, ""H"": 5}",29.03912516115,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,9;10;26;27;28;29;30,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0007,COC,Cyclic Olefin Copolymer,C10H17,"{""C"": 10, ""H"": 17}",137.13302554791,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,COC,Cyclic Olefin Copolymer,C8H12,"{""C"": 8, ""H"": 12}",108.09390038676,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,1;2;3;4;5;6;7;8;14;15;16;17;18;19;20;21;22;23;24;25,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0009,COC,Cyclic Olefin Copolymer,C9H14,"{""C"": 9, ""H"": 14}",122.10955045122,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,1;2;3;4;5;6;7;8;9;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0010,COC,Cyclic Olefin Copolymer,C7H10,"{""C"": 7, ""H"": 10}",94.0782503223,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,2;3;4;5;6;7;8;16;17;18;19;20;21;22;23;24;25,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0011,COC,Cyclic Olefin Copolymer,C8H12,"{""C"": 8, ""H"": 12}",108.09390038676,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,2;3;4;5;6;7;8;9;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0012,COC,Cyclic Olefin Copolymer,C10H16,"{""C"": 10, ""H"": 16}",136.12520051568,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0002,1;2;3;4;5;6;7;8;9;10;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0013,COC,Cyclic Olefin Copolymer,C10H18,"{""C"": 10, ""H"": 18}",138.14085058014,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0002,1;2;3;4;5;6;7;8;9;10;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0014,COC,Cyclic Olefin Copolymer,C2H4,"{""C"": 2, ""H"": 4}",28.03130012892,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0003,0;1;11;12;13;14;15,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0015,COC,Cyclic Olefin Copolymer,C2H6,"{""C"": 2, ""H"": 6}",30.04695019338,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0003,0;1;11;12;13;14;15,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0016,COC,Cyclic Olefin Copolymer,C9H14,"{""C"": 9, ""H"": 14}",122.10955045122,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0004,2;3;4;5;6;7;8;9;10;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0017,COC,Cyclic Olefin Copolymer,C9H16,"{""C"": 9, ""H"": 16}",124.12520051568,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0004,2;3;4;5;6;7;8;9;10;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0018,COC,Cyclic Olefin Copolymer,C9H14,"{""C"": 9, ""H"": 14}",122.10955045122,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0005,0;1;2;3;4;5;6;7;8;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0019,COC,Cyclic Olefin Copolymer,C9H16,"{""C"": 9, ""H"": 16}",124.12520051568,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0005,0;1;2;3;4;5;6;7;8;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0020,COC,Cyclic Olefin Copolymer,C2H4,"{""C"": 2, ""H"": 4}",28.03130012892,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0006,9;10;26;27;28;29;30,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0021,COC,Cyclic Olefin Copolymer,C2H6,"{""C"": 2, ""H"": 6}",30.04695019338,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0006,9;10;26;27;28;29;30,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0022,COC,Cyclic Olefin Copolymer,C10H16,"{""C"": 10, ""H"": 16}",136.12520051568,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C bond break(s) | h_shift_-1",node_0007,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0023,COC,Cyclic Olefin Copolymer,C10H18,"{""C"": 10, ""H"": 18}",138.14085058014,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C bond break(s) | h_shift_+1",node_0007,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0024,COC,Cyclic Olefin Copolymer,C8H11,"{""C"": 8, ""H"": 11}",107.08607535453,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_-1",node_0008,1;2;3;4;5;6;7;8;14;15;16;17;18;19;20;21;22;23;24;25,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0025,COC,Cyclic Olefin Copolymer,C8H13,"{""C"": 8, ""H"": 13}",109.10172541899,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_+1",node_0008,1;2;3;4;5;6;7;8;14;15;16;17;18;19;20;21;22;23;24;25,C;C,2,1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0026,COC,Cyclic Olefin Copolymer,C9H13,"{""C"": 9, ""H"": 13}",121.10172541899,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_-1",node_0009,1;2;3;4;5;6;7;8;9;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0027,COC,Cyclic Olefin Copolymer,C9H15,"{""C"": 9, ""H"": 15}",123.11737548345,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_+1",node_0009,1;2;3;4;5;6;7;8;9;14;15;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0028,COC,Cyclic Olefin Copolymer,C7H9,"{""C"": 7, ""H"": 9}",93.07042529007,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_-1",node_0010,2;3;4;5;6;7;8;16;17;18;19;20;21;22;23;24;25,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0029,COC,Cyclic Olefin Copolymer,C7H11,"{""C"": 7, ""H"": 11}",95.08607535453,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_+1",node_0010,2;3;4;5;6;7;8;16;17;18;19;20;21;22;23;24;25,C;C,2,1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0030,COC,Cyclic Olefin Copolymer,C8H11,"{""C"": 8, ""H"": 11}",107.08607535453,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_-1",node_0011,2;3;4;5;6;7;8;9;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,-1,,,,,0.52,0.0,0.332,0.0,1,1,0
node_0031,COC,Cyclic Olefin Copolymer,C8H13,"{""C"": 8, ""H"": 13}",109.10172541899,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H from C-C+C-C bond break(s) | h_shift_+1",node_0011,2;3;4;5;6;7;8;9;16;17;18;19;20;21;22;23;24;25;26;27,C;C,2,1,,,,,0.52,0.0,0.332,0.0,1,1,0
