edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,ETFE,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,ETFE,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,ETFE,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,ETFE,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,ETFE,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,ETFE,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,ETFE,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,ETFE,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,ETFE,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,ETFE,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,ETFE,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,ETFE,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,ETFE,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,ETFE,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,ETFE,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,ETFE,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,ETFE,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,ETFE,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,ETFE,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,ETFE,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,ETFE,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,ETFE,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,ETFE,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,ETFE,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,ETFE,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,ETFE,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,ETFE,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,ETFE,node_0001,node_0029,bond_break,fragmentation,1.0
edge_0029,ETFE,node_0001,node_0030,bond_break,fragmentation,1.0
edge_0030,ETFE,node_0001,node_0031,bond_break,fragmentation,1.0
edge_0031,ETFE,node_0001,node_0032,bond_break,fragmentation,1.0
edge_0032,ETFE,node_0001,node_0033,bond_break,fragmentation,1.0
edge_0033,ETFE,node_0001,node_0034,bond_break,fragmentation,1.0
edge_0034,ETFE,node_0002,node_0035,h_shift_-1,h_shift,0.9
edge_0035,ETFE,node_0002,node_0036,h_shift_+1,h_shift,0.9
edge_0036,ETFE,node_0003,node_0037,h_shift_-1,h_shift,0.9
edge_0037,ETFE,node_0003,node_0038,h_shift_+1,h_shift,0.9
edge_0038,ETFE,node_0004,node_0039,h_shift_-1,h_shift,0.9
edge_0039,ETFE,node_0004,node_0040,h_shift_+1,h_shift,0.9
edge_0040,ETFE,node_0005,node_0041,h_shift_-1,h_shift,0.9
edge_0041,ETFE,node_0005,node_0042,h_shift_+1,h_shift,0.9
edge_0042,ETFE,node_0006,node_0043,h_shift_+1,h_shift,0.9
edge_0043,ETFE,node_0007,node_0044,h_shift_-1,h_shift,0.9
edge_0044,ETFE,node_0007,node_0045,h_shift_+1,h_shift,0.9
edge_0045,ETFE,node_0008,node_0046,h_shift_+1,h_shift,0.9
edge_0046,ETFE,node_0009,node_0047,h_shift_-1,h_shift,0.9
edge_0047,ETFE,node_0009,node_0048,h_shift_+1,h_shift,0.9
edge_0048,ETFE,node_0010,node_0049,h_shift_-1,h_shift,0.9
edge_0049,ETFE,node_0010,node_0050,h_shift_+1,h_shift,0.9
edge_0050,ETFE,node_0011,node_0051,h_shift_-1,h_shift,0.9
edge_0051,ETFE,node_0011,node_0052,h_shift_+1,h_shift,0.9
edge_0052,ETFE,node_0012,node_0053,h_shift_+1,h_shift,0.9
edge_0053,ETFE,node_0013,node_0054,h_shift_-1,h_shift,0.9
edge_0054,ETFE,node_0013,node_0055,h_shift_+1,h_shift,0.9
edge_0055,ETFE,node_0014,node_0056,h_shift_+1,h_shift,0.9
edge_0056,ETFE,node_0015,node_0057,h_shift_-1,h_shift,0.9
edge_0057,ETFE,node_0015,node_0058,h_shift_+1,h_shift,0.9
edge_0058,ETFE,node_0016,node_0059,h_shift_-1,h_shift,0.9
edge_0059,ETFE,node_0016,node_0060,h_shift_+1,h_shift,0.9
edge_0060,ETFE,node_0017,node_0061,h_shift_-1,h_shift,0.9
edge_0061,ETFE,node_0017,node_0062,h_shift_+1,h_shift,0.9
edge_0062,ETFE,node_0018,node_0063,h_shift_-1,h_shift,0.9
edge_0063,ETFE,node_0018,node_0064,h_shift_+1,h_shift,0.9
edge_0064,ETFE,node_0019,node_0065,h_shift_-1,h_shift,0.9
edge_0065,ETFE,node_0019,node_0066,h_shift_+1,h_shift,0.9
edge_0066,ETFE,node_0020,node_0067,h_shift_-1,h_shift,0.9
edge_0067,ETFE,node_0020,node_0068,h_shift_+1,h_shift,0.9
edge_0068,ETFE,node_0021,node_0069,h_shift_-1,h_shift,0.9
edge_0069,ETFE,node_0021,node_0070,h_shift_+1,h_shift,0.9
edge_0070,ETFE,node_0022,node_0071,h_shift_+1,h_shift,0.9
edge_0071,ETFE,node_0023,node_0072,h_shift_-1,h_shift,0.9
edge_0072,ETFE,node_0023,node_0073,h_shift_+1,h_shift,0.9
edge_0073,ETFE,node_0024,node_0074,h_shift_-1,h_shift,0.9
edge_0074,ETFE,node_0024,node_0075,h_shift_+1,h_shift,0.9
edge_0075,ETFE,node_0025,node_0076,h_shift_-1,h_shift,0.9
edge_0076,ETFE,node_0025,node_0077,h_shift_+1,h_shift,0.9
edge_0077,ETFE,node_0026,node_0078,h_shift_-1,h_shift,0.9
edge_0078,ETFE,node_0026,node_0079,h_shift_+1,h_shift,0.9
edge_0079,ETFE,node_0027,node_0080,h_shift_-1,h_shift,0.9
edge_0080,ETFE,node_0027,node_0081,h_shift_+1,h_shift,0.9
edge_0081,ETFE,node_0028,node_0082,h_shift_-1,h_shift,0.9
edge_0082,ETFE,node_0028,node_0083,h_shift_+1,h_shift,0.9
edge_0083,ETFE,node_0029,node_0084,h_shift_-1,h_shift,0.9
edge_0084,ETFE,node_0029,node_0085,h_shift_+1,h_shift,0.9
edge_0085,ETFE,node_0030,node_0086,h_shift_-1,h_shift,0.9
edge_0086,ETFE,node_0030,node_0087,h_shift_+1,h_shift,0.9
edge_0087,ETFE,node_0031,node_0088,h_shift_-1,h_shift,0.9
edge_0088,ETFE,node_0031,node_0089,h_shift_+1,h_shift,0.9
edge_0089,ETFE,node_0032,node_0090,h_shift_-1,h_shift,0.9
edge_0090,ETFE,node_0032,node_0091,h_shift_+1,h_shift,0.9
edge_0091,ETFE,node_0033,node_0092,h_shift_-1,h_shift,0.9
edge_0092,ETFE,node_0033,node_0093,h_shift_+1,h_shift,0.9
edge_0093,ETFE,node_0034,node_0094,h_shift_-1,h_shift,0.9
edge_0094,ETFE,node_0034,node_0095,h_shift_+1,h_shift,0.9
edge_0095,ETFE,node_0002,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0096,ETFE,node_0037,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0097,ETFE,node_0002,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0098,ETFE,node_0039,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0099,ETFE,node_0002,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0100,ETFE,node_0041,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0101,ETFE,node_0002,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0102,ETFE,node_0044,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0103,ETFE,node_0002,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0104,ETFE,node_0047,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0105,ETFE,node_0002,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0106,ETFE,node_0049,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0107,ETFE,node_0002,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0108,ETFE,node_0051,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0109,ETFE,node_0002,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0110,ETFE,node_0054,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0111,ETFE,node_0002,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0112,ETFE,node_0057,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0113,ETFE,node_0002,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0114,ETFE,node_0059,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0115,ETFE,node_0002,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0116,ETFE,node_0061,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0117,ETFE,node_0002,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0118,ETFE,node_0063,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0119,ETFE,node_0002,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0120,ETFE,node_0065,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0121,ETFE,node_0002,node_0109,single_dehydrogenative_recombination,recombination,0.8
edge_0122,ETFE,node_0067,node_0109,single_dehydrogenative_recombination,recombination,0.8
edge_0123,ETFE,node_0002,node_0110,single_dehydrogenative_recombination,recombination,0.8
edge_0124,ETFE,node_0069,node_0110,single_dehydrogenative_recombination,recombination,0.8
edge_0125,ETFE,node_0002,node_0111,single_dehydrogenative_recombination,recombination,0.8
edge_0126,ETFE,node_0072,node_0111,single_dehydrogenative_recombination,recombination,0.8
edge_0127,ETFE,node_0002,node_0112,single_dehydrogenative_recombination,recombination,0.8
edge_0128,ETFE,node_0074,node_0112,single_dehydrogenative_recombination,recombination,0.8
edge_0129,ETFE,node_0002,node_0113,single_dehydrogenative_recombination,recombination,0.8
edge_0130,ETFE,node_0076,node_0113,single_dehydrogenative_recombination,recombination,0.8
edge_0131,ETFE,node_0002,node_0114,single_dehydrogenative_recombination,recombination,0.8
edge_0132,ETFE,node_0078,node_0114,single_dehydrogenative_recombination,recombination,0.8
edge_0133,ETFE,node_0002,node_0115,single_dehydrogenative_recombination,recombination,0.8
edge_0134,ETFE,node_0080,node_0115,single_dehydrogenative_recombination,recombination,0.8
edge_0135,ETFE,node_0002,node_0116,single_dehydrogenative_recombination,recombination,0.8
edge_0136,ETFE,node_0082,node_0116,single_dehydrogenative_recombination,recombination,0.8
edge_0137,ETFE,node_0002,node_0117,single_dehydrogenative_recombination,recombination,0.8
edge_0138,ETFE,node_0084,node_0117,single_dehydrogenative_recombination,recombination,0.8
