compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
ETFE,Ethylene-TFE copolymer,C2F3,positive,1,80.99520948819,1.0,0.79,9,3,9,feature_rule;fragment_h_shift;recombination,node_2045,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_2045;node_2276;node_2280;node_2286;node_2290;node_4156;node_4159;node_7387;node_7394
ETFE,Ethylene-TFE copolymer,C2F3,negative,-1,80.99520948819,1.0,0.79,19,4,15,feature_rule;fragment;fragment_h_shift;recombination,node_2054,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_2054;node_2156;node_2160;node_2167;node_2171;node_2277;node_2281;node_2287;node_2291;node_3081;node_3085;node_4157;node_4160;node_5165;node_5273;node_7388;node_7395;node_9287;node_9291
ETFE,Ethylene-TFE copolymer,C2F4,positive,1,99.99361265092,1.0,0.79,3,3,3,feature_rule;fragment_h_shift;recombination,node_2046,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_2046;node_2220;node_4085
ETFE,Ethylene-TFE copolymer,C2F4,negative,-1,99.99361265092,1.0,0.79,5,4,4,feature_rule;fragment;fragment_h_shift;recombination,node_2055,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_2055;node_2096;node_2221;node_4086;node_7316
ETFE,Ethylene-TFE copolymer,C2H2F2,positive,1,64.01245638992,1.0,0.79,6,3,6,feature_rule;fragment;recombination,node_2062,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2H2F2,node_2062;node_2141;node_5240;node_5348;node_10050;node_10062
ETFE,Ethylene-TFE copolymer,C2HF2,positive,1,63.00463135769,1.0,0.79,5,3,5,feature_rule;fragment_h_shift;recombination,node_2060,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2HF2,node_2060;node_2264;node_5238;node_5346;node_10049
ETFE,Ethylene-TFE copolymer,C2HF4,positive,1,101.00143768315,1.0,0.79,4,3,4,feature_rule;fragment;recombination,node_2063,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2HF4,node_2063;node_2093;node_4087;node_7313
ETFE,Ethylene-TFE copolymer,C3F5,positive,1,130.99201581365,1.0,0.79,11,2,11,feature_rule;recombination,node_2049,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_2049;node_4116;node_4119;node_4122;node_4125;node_6281;node_6288;node_7299;node_7306;node_7317;node_7324
ETFE,Ethylene-TFE copolymer,C3F5,negative,-1,130.99201581365,1.0,0.79,27,2,27,feature_rule;recombination,node_2057,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_2057;node_2649;node_2653;node_3037;node_3041;node_3045;node_3049;node_3873;node_3981;node_4117;node_4120;node_4123;node_4126;node_4193;node_4301;node_5149;node_5257;node_6282;node_6289;node_7300;node_7307;node_7318;node_7325;node_8959;node_9107;node_9251;node_9255
ETFE,Ethylene-TFE copolymer,C3H2F3,positive,1,95.01085955265,1.0,0.79,11,3,11,feature_rule;fragment_h_shift;recombination,node_2064,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C3H2F3,node_2064;node_2256;node_2260;node_2268;node_2272;node_3618;node_3622;node_5182;node_5290;node_8507;node_8515
ETFE,Ethylene-TFE copolymer,CF,negative,-1,30.99840316273,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_2052,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF,node_2052;node_2203;node_2207;node_2323;node_2327
ETFE,Ethylene-TFE copolymer,CF2,positive,1,49.99680632546,1.0,0.79,3,3,3,feature_rule;fragment;fragment_h_shift,node_2043,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF2,node_2043;node_2161;node_2240
ETFE,Ethylene-TFE copolymer,CH2F,positive,1,33.01405322719,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_2059,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_CH2F,node_2059;node_2202;node_2206;node_2324;node_2328
ETFE,Ethylene-TFE copolymer,CHF2,positive,1,51.00463135769,1.0,0.79,4,3,3,feature_rule;fragment;fragment_h_shift,node_2058,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_CHF2,node_2058;node_2115;node_2163;node_2284
