edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,EVA,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,EVA,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,EVA,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,EVA,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,EVA,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,EVA,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,EVA,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,EVA,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,EVA,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,EVA,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,EVA,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,EVA,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,EVA,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,EVA,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,EVA,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,EVA,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,EVA,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,EVA,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,EVA,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,EVA,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,EVA,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,EVA,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,EVA,node_0002,node_0024,h_shift_-1,h_shift,0.9
edge_0024,EVA,node_0002,node_0025,h_shift_+1,h_shift,0.9
edge_0025,EVA,node_0003,node_0026,h_shift_-1,h_shift,0.9
edge_0026,EVA,node_0003,node_0027,h_shift_+1,h_shift,0.9
edge_0027,EVA,node_0004,node_0028,h_shift_-1,h_shift,0.9
edge_0028,EVA,node_0004,node_0029,h_shift_+1,h_shift,0.9
edge_0029,EVA,node_0005,node_0030,h_shift_-1,h_shift,0.9
edge_0030,EVA,node_0005,node_0031,h_shift_+1,h_shift,0.9
edge_0031,EVA,node_0006,node_0032,h_shift_-1,h_shift,0.9
edge_0032,EVA,node_0006,node_0033,h_shift_+1,h_shift,0.9
edge_0033,EVA,node_0007,node_0034,h_shift_-1,h_shift,0.9
edge_0034,EVA,node_0007,node_0035,h_shift_+1,h_shift,0.9
edge_0035,EVA,node_0008,node_0036,h_shift_-1,h_shift,0.9
edge_0036,EVA,node_0008,node_0037,h_shift_+1,h_shift,0.9
edge_0037,EVA,node_0009,node_0038,h_shift_-1,h_shift,0.9
edge_0038,EVA,node_0009,node_0039,h_shift_+1,h_shift,0.9
edge_0039,EVA,node_0010,node_0040,h_shift_-1,h_shift,0.9
edge_0040,EVA,node_0010,node_0041,h_shift_+1,h_shift,0.9
edge_0041,EVA,node_0011,node_0042,h_shift_-1,h_shift,0.9
edge_0042,EVA,node_0011,node_0043,h_shift_+1,h_shift,0.9
edge_0043,EVA,node_0012,node_0044,h_shift_-1,h_shift,0.9
edge_0044,EVA,node_0012,node_0045,h_shift_+1,h_shift,0.9
edge_0045,EVA,node_0013,node_0046,h_shift_-1,h_shift,0.9
edge_0046,EVA,node_0013,node_0047,h_shift_+1,h_shift,0.9
edge_0047,EVA,node_0014,node_0048,h_shift_-1,h_shift,0.9
edge_0048,EVA,node_0014,node_0049,h_shift_+1,h_shift,0.9
edge_0049,EVA,node_0015,node_0050,h_shift_-1,h_shift,0.9
edge_0050,EVA,node_0015,node_0051,h_shift_+1,h_shift,0.9
edge_0051,EVA,node_0016,node_0052,h_shift_-1,h_shift,0.9
edge_0052,EVA,node_0016,node_0053,h_shift_+1,h_shift,0.9
edge_0053,EVA,node_0017,node_0054,h_shift_-1,h_shift,0.9
edge_0054,EVA,node_0017,node_0055,h_shift_+1,h_shift,0.9
edge_0055,EVA,node_0018,node_0056,h_shift_-1,h_shift,0.9
edge_0056,EVA,node_0018,node_0057,h_shift_+1,h_shift,0.9
edge_0057,EVA,node_0019,node_0058,h_shift_+1,h_shift,0.9
edge_0058,EVA,node_0020,node_0059,h_shift_-1,h_shift,0.9
edge_0059,EVA,node_0020,node_0060,h_shift_+1,h_shift,0.9
edge_0060,EVA,node_0021,node_0061,h_shift_+1,h_shift,0.9
edge_0061,EVA,node_0022,node_0062,h_shift_-1,h_shift,0.9
edge_0062,EVA,node_0022,node_0063,h_shift_+1,h_shift,0.9
edge_0063,EVA,node_0023,node_0064,h_shift_-1,h_shift,0.9
edge_0064,EVA,node_0023,node_0065,h_shift_+1,h_shift,0.9
edge_0065,EVA,node_0002,node_0066,single_dehydrogenative_recombination,recombination,0.8
edge_0066,EVA,node_0026,node_0066,single_dehydrogenative_recombination,recombination,0.8
edge_0067,EVA,node_0002,node_0067,single_dehydrogenative_recombination,recombination,0.8
edge_0068,EVA,node_0028,node_0067,single_dehydrogenative_recombination,recombination,0.8
edge_0069,EVA,node_0002,node_0068,single_dehydrogenative_recombination,recombination,0.8
edge_0070,EVA,node_0030,node_0068,single_dehydrogenative_recombination,recombination,0.8
edge_0071,EVA,node_0002,node_0069,single_dehydrogenative_recombination,recombination,0.8
edge_0072,EVA,node_0032,node_0069,single_dehydrogenative_recombination,recombination,0.8
edge_0073,EVA,node_0002,node_0070,single_dehydrogenative_recombination,recombination,0.8
edge_0074,EVA,node_0034,node_0070,single_dehydrogenative_recombination,recombination,0.8
edge_0075,EVA,node_0002,node_0071,single_dehydrogenative_recombination,recombination,0.8
edge_0076,EVA,node_0036,node_0071,single_dehydrogenative_recombination,recombination,0.8
edge_0077,EVA,node_0002,node_0072,single_dehydrogenative_recombination,recombination,0.8
edge_0078,EVA,node_0038,node_0072,single_dehydrogenative_recombination,recombination,0.8
edge_0079,EVA,node_0002,node_0073,single_dehydrogenative_recombination,recombination,0.8
edge_0080,EVA,node_0040,node_0073,single_dehydrogenative_recombination,recombination,0.8
edge_0081,EVA,node_0002,node_0074,single_dehydrogenative_recombination,recombination,0.8
edge_0082,EVA,node_0042,node_0074,single_dehydrogenative_recombination,recombination,0.8
edge_0083,EVA,node_0002,node_0075,single_dehydrogenative_recombination,recombination,0.8
