compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
EVA,Ethylene-Vinyl Acetate,C4H5O2,negative,-1,85.02895440029,0.894,0.79,22,4,19,feature_rule;fragment;fragment_h_shift;recombination,node_1151,M | carbonyl | acetate_ethylene_fragments | eva_C4H5O2,node_1151;node_1205;node_1209;node_1243;node_1289;node_1293;node_1325;node_1679;node_1831;node_2327;node_2411;node_2649;node_2681;node_2809;node_2841;node_3255;node_3929;node_4281;node_4739;node_4871;node_5371;node_5411,validated_diagnostic,1.0
EVA,Ethylene-Vinyl Acetate,C3H6,positive,1,42.04695019338,0.7076,0.6060000000000001,2,1,2,fragment,node_1194,"M | fragment C,H from C-C+C-O bond break(s) | electron_loss",node_1194;node_1229,validated_diagnostic,0.6960000000000002
EVA,Ethylene-Vinyl Acetate,C6H9O3,positive,1,129.05516914878,0.6651,0.5359999999999999,43,1,43,recombination,node_3486,node_0028 + node_0036 | dehydrogenative_coupling | protonation,node_1500;node_1784;node_1818;node_1822;node_1850;node_2136;node_2140;node_2182;node_2208;node_2258;node_2284;node_2428;node_2432;node_2456;node_2500;node_2528;node_2576;node_2604;node_2770;node_2798;node_2802;node_2908;node_2912;node_2950;node_2980;node_3140;node_3486;node_3548;node_4260;node_4268;node_4332;node_4352;node_4356;node_4384;node_4472;node_4616;node_4842;node_4850;node_4942;node_5038;node_5242;node_5294;node_5342,validated_diagnostic,0.706
EVA,Ethylene-Vinyl Acetate,C6H13,positive,1,85.10172541899,0.6611,0.5359999999999999,9,1,9,recombination,node_3246,node_0026 + node_0030 | dehydrogenative_coupling | protonation,node_1412;node_1560;node_1606;node_2322;node_3246;node_3748;node_3844;node_4746;node_4798,validated_diagnostic,0.706
EVA,Ethylene-Vinyl Acetate,C2H3O,positive,1,43.01838971626,0.864,0.79,4,3,4,feature_rule;fragment;fragment_h_shift,node_1093,M | carbonyl | carbonyl_fragmentation | carbonyl_C2H3O,node_1093;node_1131;node_1182;node_1300,validated_generic,1.0
EVA,Ethylene-Vinyl Acetate,C3H3O,positive,1,55.01838971626,0.813,0.79,3,2,3,feature_rule;recombination,node_1097,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H3O,node_1097;node_1133;node_2820,validated_generic,0.99
EVA,Ethylene-Vinyl Acetate,C2H3O,negative,-1,43.01838971626,0.8064,0.6540000000000001,4,3,3,feature_rule;fragment;fragment_h_shift,node_1183,"M | fragment C,H,O from C-O bond break(s) | electron_gain",node_1142;node_1183;node_1217;node_1301,validated_generic,0.904
EVA,Ethylene-Vinyl Acetate,C4H8,positive,1,56.06260025784,0.752,0.6000000000000001,4,2,4,fragment_h_shift;recombination,node_1256,"M | fragment C,H from C-O bond break(s) | h_shift_-1 | electron_loss",node_1256;node_1452;node_2312;node_3326,validated_generic,0.8200000000000001
EVA,Ethylene-Vinyl Acetate,C2HO,negative,-1,41.0027396518,0.747,0.79,2,1,2,feature_rule,node_1101,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_1101;node_1141,validated_generic,0.8800000000000001
EVA,Ethylene-Vinyl Acetate,C5H11,positive,1,71.08607535453,0.7418,0.6580000000000001,13,2,13,feature_rule;recombination,node_1114,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H11,node_1114;node_1438;node_1470;node_2010;node_2698;node_3296;node_3364;node_3416;node_3448;node_4710;node_4782;node_5154;node_5190,validated_generic,0.8780000000000001
