node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,EVA,Ethylene-Vinyl Acetate,C6H12O2,"{""C"": 6, ""H"": 12, ""O"": 2}",116.0837296259,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,EVA,Ethylene-Vinyl Acetate,C5H9O2,"{""C"": 5, ""H"": 9, ""O"": 2}",101.06025452921,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,1;2;3;4;5;6;7;11;12;13;14;15;16;17;18;19,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,EVA,Ethylene-Vinyl Acetate,C2H5,"{""C"": 2, ""H"": 5}",29.03912516115,neutral,0,fragment,bond_break,"M | fragment C,H from C-C bond break(s)",node_0001,0;1;8;9;10;11;12,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,EVA,Ethylene-Vinyl Acetate,C4H7O2,"{""C"": 4, ""H"": 7, ""O"": 2}",87.04460446475,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,2;3;4;5;6;7;13;14;15;16;17;18;19,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,EVA,Ethylene-Vinyl Acetate,C4H9,"{""C"": 4, ""H"": 9}",57.07042529007,neutral,0,fragment,bond_break,"M | fragment C,H from C-O bond break(s)",node_0001,0;1;2;7;8;9;10;11;12;13;17;18;19,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,EVA,Ethylene-Vinyl Acetate,C2H3O2,"{""C"": 2, ""H"": 3, ""O"": 2}",59.01330433583,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,3;4;5;6;14;15;16,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0007,EVA,Ethylene-Vinyl Acetate,C4H9O,"{""C"": 4, ""H"": 9, ""O"": 1}",73.06533990964,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;7;8;9;10;11;12;13;17;18;19,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,EVA,Ethylene-Vinyl Acetate,C2H3O,"{""C"": 2, ""H"": 3, ""O"": 1}",43.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,4;5;6;14;15;16,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0009,EVA,Ethylene-Vinyl Acetate,C5H9O2,"{""C"": 5, ""H"": 9, ""O"": 2}",101.06025452921,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;7;8;9;10;11;12;13;17;18;19,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,EVA,Ethylene-Vinyl Acetate,C5H9O2,"{""C"": 5, ""H"": 9, ""O"": 2}",101.06025452921,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
