edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,FEP,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,FEP,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,FEP,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,FEP,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,FEP,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,FEP,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,FEP,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,FEP,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,FEP,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,FEP,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,FEP,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,FEP,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,FEP,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,FEP,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,FEP,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,FEP,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,FEP,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,FEP,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,FEP,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,FEP,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,FEP,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,FEP,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,FEP,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,FEP,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,FEP,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,FEP,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,FEP,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,FEP,node_0001,node_0029,bond_break,fragmentation,1.0
edge_0029,FEP,node_0001,node_0030,bond_break,fragmentation,1.0
edge_0030,FEP,node_0001,node_0031,bond_break,fragmentation,1.0
edge_0031,FEP,node_0001,node_0032,bond_break,fragmentation,1.0
edge_0032,FEP,node_0001,node_0033,bond_break,fragmentation,1.0
edge_0033,FEP,node_0001,node_0034,bond_break,fragmentation,1.0
edge_0034,FEP,node_0001,node_0035,bond_break,fragmentation,1.0
edge_0035,FEP,node_0001,node_0036,bond_break,fragmentation,1.0
edge_0036,FEP,node_0001,node_0037,bond_break,fragmentation,1.0
edge_0037,FEP,node_0001,node_0038,bond_break,fragmentation,1.0
edge_0038,FEP,node_0001,node_0039,bond_break,fragmentation,1.0
edge_0039,FEP,node_0001,node_0040,bond_break,fragmentation,1.0
edge_0040,FEP,node_0001,node_0041,bond_break,fragmentation,1.0
edge_0041,FEP,node_0001,node_0042,bond_break,fragmentation,1.0
edge_0042,FEP,node_0001,node_0043,bond_break,fragmentation,1.0
edge_0043,FEP,node_0001,node_0044,bond_break,fragmentation,1.0
edge_0044,FEP,node_0001,node_0045,bond_break,fragmentation,1.0
edge_0045,FEP,node_0001,node_0046,bond_break,fragmentation,1.0
edge_0046,FEP,node_0001,node_0047,bond_break,fragmentation,1.0
edge_0047,FEP,node_0001,node_0048,bond_break,fragmentation,1.0
edge_0048,FEP,node_0001,node_0049,bond_break,fragmentation,1.0
edge_0049,FEP,node_0001,node_0050,bond_break,fragmentation,1.0
edge_0050,FEP,node_0001,node_0051,bond_break,fragmentation,1.0
edge_0051,FEP,node_0001,node_0052,bond_break,fragmentation,1.0
edge_0052,FEP,node_0001,node_0053,bond_break,fragmentation,1.0
edge_0053,FEP,node_0001,node_0054,bond_break,fragmentation,1.0
edge_0054,FEP,node_0001,node_0055,bond_break,fragmentation,1.0
edge_0055,FEP,node_0001,node_0056,bond_break,fragmentation,1.0
edge_0056,FEP,node_0001,node_0057,bond_break,fragmentation,1.0
edge_0057,FEP,node_0001,node_0058,bond_break,fragmentation,1.0
edge_0058,FEP,node_0001,node_0059,bond_break,fragmentation,1.0
edge_0059,FEP,node_0001,node_0060,bond_break,fragmentation,1.0
edge_0060,FEP,node_0001,node_0061,bond_break,fragmentation,1.0
edge_0061,FEP,node_0001,node_0062,bond_break,fragmentation,1.0
edge_0062,FEP,node_0001,node_0063,bond_break,fragmentation,1.0
edge_0063,FEP,node_0001,node_0064,bond_break,fragmentation,1.0
edge_0064,FEP,node_0001,node_0065,bond_break,fragmentation,1.0
edge_0065,FEP,node_0001,node_0066,bond_break,fragmentation,1.0
edge_0066,FEP,node_0001,node_0067,bond_break,fragmentation,1.0
edge_0067,FEP,node_0001,node_0068,bond_break,fragmentation,1.0
edge_0068,FEP,node_0001,node_0069,bond_break,fragmentation,1.0
edge_0069,FEP,node_0001,node_0070,bond_break,fragmentation,1.0
edge_0070,FEP,node_0001,node_0071,bond_break,fragmentation,1.0
edge_0071,FEP,node_0001,node_0072,bond_break,fragmentation,1.0
edge_0072,FEP,node_0001,node_0073,bond_break,fragmentation,1.0
edge_0073,FEP,node_0001,node_0074,bond_break,fragmentation,1.0
edge_0074,FEP,node_0001,node_0075,bond_break,fragmentation,1.0
edge_0075,FEP,node_0001,node_0076,bond_break,fragmentation,1.0
edge_0076,FEP,node_0001,node_0077,bond_break,fragmentation,1.0
edge_0077,FEP,node_0001,node_0078,bond_break,fragmentation,1.0
