compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
FEP,Fluorinated Ethylene Propylene,C2F4,positive,1,99.99361265092,0.844,0.79,4,2,4,feature_rule;fragment,node_0214,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_0214;node_0424;node_0436;node_0481,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,C2F4,negative,-1,99.99361265092,0.844,0.79,4,2,4,feature_rule;fragment,node_0223,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_0223;node_0425;node_0437;node_0482,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,C3F7,positive,1,168.98882213911,0.844,0.79,4,2,4,feature_rule;fragment,node_0218,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F7,node_0218;node_0265;node_0274;node_0298,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,CF2,positive,1,49.99680632546,0.844,0.79,10,2,10,feature_rule;fragment,node_0211,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF2,node_0211;node_0328;node_0361;node_0391;node_0472;node_0475;node_0478;node_0538;node_0541;node_0544,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,CF3,positive,1,68.99520948819,0.844,0.79,4,2,4,feature_rule;fragment,node_0212,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF3,node_0212;node_0262;node_0277;node_0301,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,CF3,negative,-1,68.99520948819,0.844,0.79,4,2,4,feature_rule;fragment,node_0221,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF3,node_0221;node_0263;node_0278;node_0302,feature_supported_candidate,1.0
FEP,Fluorinated Ethylene Propylene,F,negative,-1,18.99840316273,0.82,0.74,11,2,11,feature_rule;fragment,node_0219,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_F,node_0219;node_0245;node_0254;node_0260;node_0272;node_0284;node_0290;node_0296;node_0308;node_0314;node_0320,feature_supported_candidate,0.96
FEP,Fluorinated Ethylene Propylene,C2F3,positive,1,80.99520948819,0.593,0.79,1,1,1,feature_rule,node_0213,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_0213,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C2F3,negative,-1,80.99520948819,0.593,0.79,1,1,1,feature_rule,node_0222,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_0222,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C2F5,positive,1,118.99201581365,0.593,0.79,1,1,1,feature_rule,node_0215,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F5,node_0215,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C2F5,negative,-1,118.99201581365,0.593,0.79,1,1,1,feature_rule,node_0224,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F5,node_0224,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C3F3,positive,1,92.99520948819,0.593,0.79,1,1,1,feature_rule,node_0216,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F3,node_0216,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C3F5,positive,1,130.99201581365,0.593,0.79,1,1,1,feature_rule,node_0217,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_0217,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C3F5,negative,-1,130.99201581365,0.593,0.79,1,1,1,feature_rule,node_0225,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_0225,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,CF,positive,1,30.99840316273,0.593,0.79,1,1,1,feature_rule,node_0210,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF,node_0210,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,CF,negative,-1,30.99840316273,0.593,0.79,1,1,1,feature_rule,node_0220,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF,node_0220,feature_supported_candidate,0.79
FEP,Fluorinated Ethylene Propylene,C2H,negative,-1,25.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0236,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H,node_0236,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C2H3,positive,1,27.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0226,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H3,node_0226,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C2H5,positive,1,29.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0227,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H5,node_0227,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C3,negative,-1,36.0,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0237,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3,node_0237,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C3H,negative,-1,37.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0238,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H,node_0238,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C3H3,positive,1,39.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0228,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H3,node_0228,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C3H5,positive,1,41.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0229,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H5,node_0229,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C3H7,positive,1,43.05477522561,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0230,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C3H7,node_0230,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4,negative,-1,48.0,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0239,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4,node_0239,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4H,negative,-1,49.00782503223,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0240,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H,node_0240,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4H3,positive,1,51.02347509669,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0231,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H3,node_0231,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4H5,positive,1,53.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0232,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H5,node_0232,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4H7,positive,1,55.05477522561,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0233,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H7,node_0233,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C4H9,positive,1,57.07042529007,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0234,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H9,node_0234,generic_hydrocarbon_background,0.6580000000000001
FEP,Fluorinated Ethylene Propylene,C2,negative,-1,24.0,0.4448,0.6080000000000001,1,1,1,feature_rule,node_0235,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2,node_0235,generic_hydrocarbon_background,0.6080000000000001
FEP,Fluorinated Ethylene Propylene,C3HF7,positive,1,169.99664717134,0.7042,0.692,6,2,3,fragment;fragment_h_shift,node_0267,"M | fragment C,F from C-C bond break(s) | protonation",node_0267;node_0276;node_0300;node_0570;node_0576;node_0592,structural_candidate_only,0.912
FEP,Fluorinated Ethylene Propylene,CHF3,positive,1,70.00303452042,0.7042,0.692,6,2,3,fragment;fragment_h_shift,node_0264,"M | fragment C,F from C-C bond break(s) | protonation",node_0264;node_0279;node_0303;node_0568;node_0578;node_0594,structural_candidate_only,0.912
FEP,Fluorinated Ethylene Propylene,C3HF6,positive,1,150.99824400861,0.6794,0.6439999999999999,42,2,21,fragment;fragment_h_shift,node_0336,"M | fragment C,F from C-F+C-C bond break(s) | protonation",node_0336;node_0348;node_0369;node_0381;node_0399;node_0411;node_0423;node_0429;node_0432;node_0435;node_0441;node_0444;node_0447;node_0450;node_0462;node_0486;node_0489;node_0492;node_0501;node_0516;node_0528;node_0616;node_0624;node_0638;node_0646;node_0658;node_0666;node_0674;node_0678;node_0680;node_0682;node_0686;node_0688;node_0690;node_0692;node_0700;node_0716;node_0718;node_0720;node_0726;node_0736;node_0744,structural_candidate_only,0.8639999999999999
FEP,Fluorinated Ethylene Propylene,CHF2,positive,1,51.00463135769,0.6794,0.6439999999999999,18,2,9,fragment;fragment_h_shift,node_0330,"M | fragment C,F from C-F+C-C bond break(s) | protonation",node_0330;node_0363;node_0393;node_0474;node_0477;node_0480;node_0540;node_0543;node_0546;node_0612;node_0634;node_0654;node_0708;node_0710;node_0712;node_0752;node_0754;node_0756,structural_candidate_only,0.8639999999999999
FEP,Fluorinated Ethylene Propylene,FH,positive,1,20.00622819496,0.6782,0.6419999999999999,20,2,10,fragment;fragment_h_shift,node_0246,M | single-atom F from C-F bond break | protonation,node_0246;node_0255;node_0261;node_0273;node_0285;node_0291;node_0297;node_0309;node_0315;node_0321;node_0556;node_0562;node_0566;node_0574;node_0582;node_0586;node_0590;node_0598;node_0602;node_0606,structural_candidate_only,0.8619999999999999
FEP,Fluorinated Ethylene Propylene,C2HF4,positive,1,101.00143768315,0.6754,0.6439999999999999,6,2,3,fragment;fragment_h_shift,node_0426,"M | fragment C,F from C-C+C-C bond break(s) | protonation",node_0426;node_0438;node_0483;node_0676;node_0684;node_0714,structural_candidate_only,0.8639999999999999
FEP,Fluorinated Ethylene Propylene,C4HF9,positive,1,219.9934534968,0.6482,0.6419999999999999,20,2,10,fragment;fragment_h_shift,node_0249,"M | fragment C,F from C-F bond break(s) | protonation",node_0249;node_0252;node_0258;node_0270;node_0282;node_0288;node_0294;node_0306;node_0312;node_0318;node_0558;node_0560;node_0564;node_0572;node_0580;node_0584;node_0588;node_0596;node_0600;node_0604,structural_candidate_only,0.8619999999999999
FEP,Fluorinated Ethylene Propylene,C3F7,negative,-1,168.98882213911,0.6394,0.6540000000000001,3,1,3,fragment,node_0266,"M | fragment C,F from C-C bond break(s) | electron_gain",node_0266;node_0275;node_0299,structural_candidate_only,0.804
FEP,Fluorinated Ethylene Propylene,C3F6,positive,1,149.99041897638,0.6266,0.6060000000000001,21,1,21,fragment,node_0334,"M | fragment C,F from C-F+C-C bond break(s) | electron_loss",node_0334;node_0346;node_0367;node_0379;node_0397;node_0409;node_0421;node_0427;node_0430;node_0433;node_0439;node_0442;node_0445;node_0448;node_0460;node_0484;node_0487;node_0490;node_0499;node_0514;node_0526,structural_candidate_only,0.776
FEP,Fluorinated Ethylene Propylene,C3F6,negative,-1,149.99041897638,0.6266,0.6060000000000001,21,1,21,fragment,node_0335,"M | fragment C,F from C-F+C-C bond break(s) | electron_gain",node_0335;node_0347;node_0368;node_0380;node_0398;node_0410;node_0422;node_0428;node_0431;node_0434;node_0440;node_0443;node_0446;node_0449;node_0461;node_0485;node_0488;node_0491;node_0500;node_0515;node_0527,structural_candidate_only,0.776
FEP,Fluorinated Ethylene Propylene,C4F8,positive,1,199.98722530184,0.6266,0.6060000000000001,45,1,45,fragment,node_0322,"M | fragment C,F from C-F+C-F bond break(s) | electron_loss",node_0322;node_0325;node_0331;node_0337;node_0340;node_0343;node_0349;node_0352;node_0355;node_0358;node_0364;node_0370;node_0373;node_0376;node_0382;node_0385;node_0388;node_0394;node_0400;node_0403;node_0406;node_0412;node_0415;node_0418;node_0451;node_0454;node_0457;node_0463;node_0466;node_0469;node_0493;node_0496;node_0502;node_0505;node_0508;node_0511;node_0517;node_0520;node_0523;node_0529;node_0532;node_0535;node_0547;node_0550;node_0553,structural_candidate_only,0.776
FEP,Fluorinated Ethylene Propylene,C4F8,negative,-1,199.98722530184,0.6266,0.6060000000000001,45,1,45,fragment,node_0323,"M | fragment C,F from C-F+C-F bond break(s) | electron_gain",node_0323;node_0326;node_0332;node_0338;node_0341;node_0344;node_0350;node_0353;node_0356;node_0359;node_0365;node_0371;node_0374;node_0377;node_0383;node_0386;node_0389;node_0395;node_0401;node_0404;node_0407;node_0413;node_0416;node_0419;node_0452;node_0455;node_0458;node_0464;node_0467;node_0470;node_0494;node_0497;node_0503;node_0506;node_0509;node_0512;node_0518;node_0521;node_0524;node_0530;node_0533;node_0536;node_0548;node_0551;node_0554,structural_candidate_only,0.776
FEP,Fluorinated Ethylene Propylene,CF2,negative,-1,49.99680632546,0.6266,0.6060000000000001,9,1,9,fragment,node_0329,"M | fragment C,F from C-F+C-C bond break(s) | electron_gain",node_0329;node_0362;node_0392;node_0473;node_0476;node_0479;node_0539;node_0542;node_0545,structural_candidate_only,0.776
FEP,Fluorinated Ethylene Propylene,F,positive,1,18.99840316273,0.6254,0.6040000000000001,10,1,10,fragment,node_0244,M | single-atom F from C-F bond break | electron_loss,node_0244;node_0253;node_0259;node_0271;node_0283;node_0289;node_0295;node_0307;node_0313;node_0319,structural_candidate_only,0.774
FEP,Fluorinated Ethylene Propylene,C4HF8,positive,1,200.99505033407,0.6194,0.5939999999999999,90,2,45,fragment;fragment_h_shift,node_0324,"M | fragment C,F from C-F+C-F bond break(s) | protonation",node_0324;node_0327;node_0333;node_0339;node_0342;node_0345;node_0351;node_0354;node_0357;node_0360;node_0366;node_0372;node_0375;node_0378;node_0384;node_0387;node_0390;node_0396;node_0402;node_0405;node_0408;node_0414;node_0417;node_0420;node_0453;node_0456;node_0459;node_0465;node_0468;node_0471;node_0495;node_0498;node_0504;node_0507;node_0510;node_0513;node_0519;node_0522;node_0525;node_0531;node_0534;node_0537;node_0549;node_0552;node_0555;node_0608;node_0610;node_0614;node_0618;node_0620;node_0622;node_0626;node_0628;node_0630;node_0632;node_0636;node_0640;node_0642;node_0644;node_0648;node_0650;node_0652;node_0656;node_0660;node_0662;node_0664;node_0668;node_0670;node_0672;node_0694;node_0696;node_0698;node_0702;node_0704;node_0706;node_0722;node_0724;node_0728;node_0730;node_0732;node_0734;node_0738;node_0740;node_0742;node_0746;node_0748;node_0750;node_0758;node_0760;node_0762,structural_candidate_only,0.8139999999999998
FEP,Fluorinated Ethylene Propylene,C3HF7,negative,-1,169.99664717134,0.607,0.6000000000000001,3,1,3,fragment_h_shift,node_0571,"M | fragment C,F from C-C bond break(s) | h_shift_+1 | electron_gain",node_0571;node_0577;node_0593,structural_candidate_only,0.75
FEP,Fluorinated Ethylene Propylene,CHF3,negative,-1,70.00303452042,0.607,0.6000000000000001,3,1,3,fragment_h_shift,node_0569,"M | fragment C,F from C-C bond break(s) | h_shift_+1 | electron_gain",node_0569;node_0579;node_0595,structural_candidate_only,0.75
FEP,Fluorinated Ethylene Propylene,C4F9,positive,1,218.98562846457,0.5954,0.6040000000000001,10,1,10,fragment,node_0247,"M | fragment C,F from C-F bond break(s) | electron_loss",node_0247;node_0250;node_0256;node_0268;node_0280;node_0286;node_0292;node_0304;node_0310;node_0316,structural_candidate_only,0.774
FEP,Fluorinated Ethylene Propylene,C4F9,negative,-1,218.98562846457,0.5954,0.6040000000000001,10,1,10,fragment,node_0248,"M | fragment C,F from C-F bond break(s) | electron_gain",node_0248;node_0251;node_0257;node_0269;node_0281;node_0287;node_0293;node_0305;node_0311;node_0317,structural_candidate_only,0.774
FEP,Fluorinated Ethylene Propylene,C3HF6,negative,-1,150.99824400861,0.5942,0.552,21,1,21,fragment_h_shift,node_0617,"M | fragment C,F from C-F+C-C bond break(s) | h_shift_+1 | electron_gain",node_0617;node_0625;node_0639;node_0647;node_0659;node_0667;node_0675;node_0679;node_0681;node_0683;node_0687;node_0689;node_0691;node_0693;node_0701;node_0717;node_0719;node_0721;node_0727;node_0737;node_0745,structural_candidate_only,0.722
FEP,Fluorinated Ethylene Propylene,CHF2,negative,-1,51.00463135769,0.5942,0.552,9,1,9,fragment_h_shift,node_0613,"M | fragment C,F from C-F+C-C bond break(s) | h_shift_+1 | electron_gain",node_0613;node_0635;node_0655;node_0709;node_0711;node_0713;node_0753;node_0755;node_0757,structural_candidate_only,0.722
FEP,Fluorinated Ethylene Propylene,FH,negative,-1,20.00622819496,0.593,0.55,10,1,10,fragment_h_shift,node_0557,M | single-atom F from C-F bond break | h_shift_+1 | electron_gain,node_0557;node_0563;node_0567;node_0575;node_0583;node_0587;node_0591;node_0599;node_0603;node_0607,structural_candidate_only,0.72
FEP,Fluorinated Ethylene Propylene,C2HF4,negative,-1,101.00143768315,0.5782,0.552,3,1,3,fragment_h_shift,node_0677,"M | fragment C,F from C-C+C-C bond break(s) | h_shift_+1 | electron_gain",node_0677;node_0685;node_0715,structural_candidate_only,0.702
FEP,Fluorinated Ethylene Propylene,C4HF9,negative,-1,219.9934534968,0.563,0.55,10,1,10,fragment_h_shift,node_0559,"M | fragment C,F from C-F bond break(s) | h_shift_+1 | electron_gain",node_0559;node_0561;node_0565;node_0573;node_0581;node_0585;node_0589;node_0597;node_0601;node_0605,structural_candidate_only,0.72
