edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,Nomex,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,Nomex,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,Nomex,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,Nomex,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,Nomex,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,Nomex,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,Nomex,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,Nomex,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,Nomex,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,Nomex,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,Nomex,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,Nomex,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,Nomex,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,Nomex,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,Nomex,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,Nomex,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,Nomex,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,Nomex,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,Nomex,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,Nomex,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,Nomex,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,Nomex,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,Nomex,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,Nomex,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,Nomex,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,Nomex,node_0002,node_0027,h_shift_-1,h_shift,0.9
edge_0027,Nomex,node_0002,node_0028,h_shift_+1,h_shift,0.9
edge_0028,Nomex,node_0003,node_0029,h_shift_-1,h_shift,0.9
edge_0029,Nomex,node_0003,node_0030,h_shift_+1,h_shift,0.9
edge_0030,Nomex,node_0004,node_0031,h_shift_-1,h_shift,0.9
edge_0031,Nomex,node_0004,node_0032,h_shift_+1,h_shift,0.9
edge_0032,Nomex,node_0005,node_0033,h_shift_-1,h_shift,0.9
edge_0033,Nomex,node_0005,node_0034,h_shift_+1,h_shift,0.9
edge_0034,Nomex,node_0006,node_0035,h_shift_-1,h_shift,0.9
edge_0035,Nomex,node_0006,node_0036,h_shift_+1,h_shift,0.9
edge_0036,Nomex,node_0007,node_0037,h_shift_-1,h_shift,0.9
edge_0037,Nomex,node_0007,node_0038,h_shift_+1,h_shift,0.9
edge_0038,Nomex,node_0008,node_0039,h_shift_-1,h_shift,0.9
edge_0039,Nomex,node_0008,node_0040,h_shift_+1,h_shift,0.9
edge_0040,Nomex,node_0009,node_0041,h_shift_-1,h_shift,0.9
edge_0041,Nomex,node_0009,node_0042,h_shift_+1,h_shift,0.9
edge_0042,Nomex,node_0010,node_0043,h_shift_-1,h_shift,0.9
edge_0043,Nomex,node_0010,node_0044,h_shift_+1,h_shift,0.9
edge_0044,Nomex,node_0011,node_0045,h_shift_-1,h_shift,0.9
edge_0045,Nomex,node_0011,node_0046,h_shift_+1,h_shift,0.9
edge_0046,Nomex,node_0012,node_0047,h_shift_-1,h_shift,0.9
edge_0047,Nomex,node_0012,node_0048,h_shift_+1,h_shift,0.9
edge_0048,Nomex,node_0013,node_0049,h_shift_-1,h_shift,0.9
edge_0049,Nomex,node_0013,node_0050,h_shift_+1,h_shift,0.9
edge_0050,Nomex,node_0014,node_0051,h_shift_-1,h_shift,0.9
edge_0051,Nomex,node_0014,node_0052,h_shift_+1,h_shift,0.9
edge_0052,Nomex,node_0015,node_0053,h_shift_-1,h_shift,0.9
edge_0053,Nomex,node_0015,node_0054,h_shift_+1,h_shift,0.9
edge_0054,Nomex,node_0016,node_0055,h_shift_-1,h_shift,0.9
edge_0055,Nomex,node_0016,node_0056,h_shift_+1,h_shift,0.9
edge_0056,Nomex,node_0017,node_0057,h_shift_-1,h_shift,0.9
edge_0057,Nomex,node_0017,node_0058,h_shift_+1,h_shift,0.9
edge_0058,Nomex,node_0018,node_0059,h_shift_-1,h_shift,0.9
edge_0059,Nomex,node_0018,node_0060,h_shift_+1,h_shift,0.9
edge_0060,Nomex,node_0019,node_0061,h_shift_-1,h_shift,0.9
edge_0061,Nomex,node_0019,node_0062,h_shift_+1,h_shift,0.9
edge_0062,Nomex,node_0020,node_0063,h_shift_-1,h_shift,0.9
edge_0063,Nomex,node_0020,node_0064,h_shift_+1,h_shift,0.9
edge_0064,Nomex,node_0021,node_0065,h_shift_-1,h_shift,0.9
edge_0065,Nomex,node_0021,node_0066,h_shift_+1,h_shift,0.9
edge_0066,Nomex,node_0022,node_0067,h_shift_-1,h_shift,0.9
edge_0067,Nomex,node_0022,node_0068,h_shift_+1,h_shift,0.9
edge_0068,Nomex,node_0023,node_0069,h_shift_-1,h_shift,0.9
edge_0069,Nomex,node_0023,node_0070,h_shift_+1,h_shift,0.9
edge_0070,Nomex,node_0024,node_0071,h_shift_+1,h_shift,0.9
edge_0071,Nomex,node_0025,node_0072,h_shift_-1,h_shift,0.9
edge_0072,Nomex,node_0025,node_0073,h_shift_+1,h_shift,0.9
edge_0073,Nomex,node_0026,node_0074,h_shift_-1,h_shift,0.9
edge_0074,Nomex,node_0026,node_0075,h_shift_+1,h_shift,0.9
edge_0075,Nomex,node_0002,node_0076,single_dehydrogenative_recombination,recombination,0.8
edge_0076,Nomex,node_0029,node_0076,single_dehydrogenative_recombination,recombination,0.8
edge_0077,Nomex,node_0002,node_0077,single_dehydrogenative_recombination,recombination,0.8
edge_0078,Nomex,node_0031,node_0077,single_dehydrogenative_recombination,recombination,0.8
edge_0079,Nomex,node_0002,node_0078,single_dehydrogenative_recombination,recombination,0.8
edge_0080,Nomex,node_0033,node_0078,single_dehydrogenative_recombination,recombination,0.8
edge_0081,Nomex,node_0002,node_0079,single_dehydrogenative_recombination,recombination,0.8
edge_0082,Nomex,node_0035,node_0079,single_dehydrogenative_recombination,recombination,0.8
edge_0083,Nomex,node_0002,node_0080,single_dehydrogenative_recombination,recombination,0.8
edge_0084,Nomex,node_0037,node_0080,single_dehydrogenative_recombination,recombination,0.8
edge_0085,Nomex,node_0002,node_0081,single_dehydrogenative_recombination,recombination,0.8
edge_0086,Nomex,node_0039,node_0081,single_dehydrogenative_recombination,recombination,0.8
edge_0087,Nomex,node_0002,node_0082,single_dehydrogenative_recombination,recombination,0.8
edge_0088,Nomex,node_0041,node_0082,single_dehydrogenative_recombination,recombination,0.8
edge_0089,Nomex,node_0002,node_0083,single_dehydrogenative_recombination,recombination,0.8
edge_0090,Nomex,node_0043,node_0083,single_dehydrogenative_recombination,recombination,0.8
edge_0091,Nomex,node_0002,node_0084,single_dehydrogenative_recombination,recombination,0.8
edge_0092,Nomex,node_0045,node_0084,single_dehydrogenative_recombination,recombination,0.8
edge_0093,Nomex,node_0002,node_0085,single_dehydrogenative_recombination,recombination,0.8
edge_0094,Nomex,node_0047,node_0085,single_dehydrogenative_recombination,recombination,0.8
edge_0095,Nomex,node_0002,node_0086,single_dehydrogenative_recombination,recombination,0.8
edge_0096,Nomex,node_0049,node_0086,single_dehydrogenative_recombination,recombination,0.8
edge_0097,Nomex,node_0002,node_0087,single_dehydrogenative_recombination,recombination,0.8
edge_0098,Nomex,node_0051,node_0087,single_dehydrogenative_recombination,recombination,0.8
edge_0099,Nomex,node_0002,node_0088,single_dehydrogenative_recombination,recombination,0.8
edge_0100,Nomex,node_0053,node_0088,single_dehydrogenative_recombination,recombination,0.8
edge_0101,Nomex,node_0002,node_0089,single_dehydrogenative_recombination,recombination,0.8
edge_0102,Nomex,node_0055,node_0089,single_dehydrogenative_recombination,recombination,0.8
edge_0103,Nomex,node_0002,node_0090,single_dehydrogenative_recombination,recombination,0.8
edge_0104,Nomex,node_0057,node_0090,single_dehydrogenative_recombination,recombination,0.8
edge_0105,Nomex,node_0002,node_0091,single_dehydrogenative_recombination,recombination,0.8
edge_0106,Nomex,node_0059,node_0091,single_dehydrogenative_recombination,recombination,0.8
edge_0107,Nomex,node_0002,node_0092,single_dehydrogenative_recombination,recombination,0.8
edge_0108,Nomex,node_0061,node_0092,single_dehydrogenative_recombination,recombination,0.8
edge_0109,Nomex,node_0002,node_0093,single_dehydrogenative_recombination,recombination,0.8
edge_0110,Nomex,node_0063,node_0093,single_dehydrogenative_recombination,recombination,0.8
edge_0111,Nomex,node_0002,node_0094,single_dehydrogenative_recombination,recombination,0.8
edge_0112,Nomex,node_0065,node_0094,single_dehydrogenative_recombination,recombination,0.8
edge_0113,Nomex,node_0002,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0114,Nomex,node_0067,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0115,Nomex,node_0002,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0116,Nomex,node_0069,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0117,Nomex,node_0002,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0118,Nomex,node_0072,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0119,Nomex,node_0002,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0120,Nomex,node_0074,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0121,Nomex,node_0003,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0122,Nomex,node_0027,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0123,Nomex,node_0003,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0124,Nomex,node_0033,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0125,Nomex,node_0003,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0126,Nomex,node_0035,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0127,Nomex,node_0003,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0128,Nomex,node_0041,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0129,Nomex,node_0003,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0130,Nomex,node_0043,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0131,Nomex,node_0003,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0132,Nomex,node_0045,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0133,Nomex,node_0003,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0134,Nomex,node_0047,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0135,Nomex,node_0003,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0136,Nomex,node_0049,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0137,Nomex,node_0003,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0138,Nomex,node_0051,node_0107,single_dehydrogenative_recombination,recombination,0.8
