compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
Nomex,meta-Aramid,C6H5,positive,1,77.03912516115,1.0,0.79,6,3,4,feature_rule;fragment;fragment_h_shift,node_1454,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_1454;node_1489;node_1597;node_1628;node_1696;node_1726
Nomex,meta-Aramid,C6H6N,positive,1,92.05002419781,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_1474,M | amide | amide_fragmentation | amide_C6H6N,node_1474;node_1581;node_1601;node_1680;node_1700
Nomex,meta-Aramid,CH2NO,positive,1,44.01363868846,1.0,0.79,4,3,3,feature_rule;fragment;fragment_h_shift,node_1470,M | amide | amide_fragmentation | amide_CH2NO,node_1470;node_1539;node_1613;node_1712
Nomex,meta-Aramid,CHO,positive,1,29.0027396518,1.0,0.79,6,3,5,feature_rule;fragment;fragment_h_shift,node_1460,M | carbonyl | carbonyl_fragmentation | carbonyl_HCO,node_1460;node_1503;node_1531;node_1575;node_1621;node_1718
Nomex,meta-Aramid,CO,positive,1,27.99491461957,1.0,0.79,4,3,4,feature_rule;fragment;fragment_h_shift,node_1459,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_1459;node_1619;node_1630;node_1674
Nomex,meta-Aramid,CO,negative,-1,27.99491461957,1.0,0.79,6,3,4,feature_rule;fragment;fragment_h_shift,node_1467,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_1467;node_1534;node_1578;node_1620;node_1631;node_1675
Nomex,meta-Aramid,C6H5,negative,-1,77.03912516115,0.99,0.79,3,2,3,feature_rule;fragment_h_shift,node_1455,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_1455;node_1697;node_1727
Nomex,meta-Aramid,CNO,negative,-1,41.997988624,0.99,0.79,3,3,2,feature_rule;fragment;fragment_h_shift,node_1475,M | amide | amide_fragmentation | amide_CNO,node_1475;node_1614;node_1711
Nomex,meta-Aramid,C7H4O,negative,-1,104.02621474849,0.942,0.692,21,3,20,fragment;fragment_h_shift;recombination,node_1570,"M | fragment C,H,O from C-C bond break(s) | deprotonation",node_1570;node_1623;node_1667;node_1789;node_1817;node_2737;node_2765;node_3121;node_3165;node_3858;node_3902;node_4075;node_4134;node_4198;node_4226;node_6286;node_6345;node_6365;node_6393;node_6907;node_7219
Nomex,meta-Aramid,C7H5NO,negative,-1,119.03711378515,0.942,0.692,34,3,33,fragment;fragment_h_shift;recombination,node_1550,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_1550;node_1604;node_1616;node_1647;node_1773;node_1793;node_1941;node_1969;node_2721;node_2741;node_2769;node_2813;node_3129;node_3213;node_3257;node_3866;node_4043;node_4083;node_4182;node_4202;node_4534;node_4594;node_4638;node_4666;node_6254;node_6294;node_6349;node_6369;node_6467;node_6895;node_6939;node_6987;node_7171;node_7183
Nomex,meta-Aramid,C7H6N2O,negative,-1,134.04801282181,0.942,0.692,24,3,23,fragment;fragment_h_shift;recombination,node_1558,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_1558;node_1588;node_1655;node_1777;node_1929;node_1945;node_2725;node_2777;node_2861;node_2889;node_3221;node_4051;node_4186;node_4510;node_4542;node_4626;node_4642;node_6262;node_6353;node_6455;node_6515;node_6595;node_6975;node_7015
Nomex,meta-Aramid,C7H6O,positive,1,106.04186481295,0.942,0.692,10,3,9,fragment;fragment_h_shift;recombination,node_1569,"M | fragment C,H,O from C-C bond break(s) | protonation",node_1569;node_1668;node_4074;node_4133;node_4197;node_4225;node_6285;node_6344;node_6364;node_6392
Nomex,meta-Aramid,C7H7NO,positive,1,121.05276384961,0.942,0.692,14,3,13,fragment;fragment_h_shift;recombination,node_1549,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_1549;node_1648;node_4042;node_4082;node_4181;node_4201;node_4533;node_4593;node_4637;node_4665;node_6253;node_6293;node_6348;node_6368
Nomex,meta-Aramid,C7H8N2O,positive,1,136.06366288627,0.942,0.692,10,3,9,fragment;fragment_h_shift;recombination,node_1557,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_1557;node_1656;node_4050;node_4185;node_4509;node_4541;node_4625;node_4641;node_6261;node_6352
Nomex,meta-Aramid,C8H4O2,negative,-1,132.02112936806,0.942,0.692,19,3,18,fragment;fragment_h_shift;recombination,node_1562,"M | fragment C,H,O from C-N bond break(s) | deprotonation",node_1562;node_1659;node_1763;node_1813;node_2495;node_2535;node_2715;node_2761;node_3708;node_3766;node_3810;node_4014;node_4126;node_4222;node_5924;node_6014;node_6337;node_6389;node_7215
Nomex,meta-Aramid,C8H5NO2,negative,-1,147.03202840472,0.942,0.692,41,3,40,fragment;fragment_h_shift;recombination,node_1554,"M | fragment C,H,N,O from C-N bond break(s) | deprotonation",node_1554;node_1651;node_1743;node_1797;node_1809;node_1919;node_1965;node_2067;node_2107;node_2503;node_2569;node_2695;node_2745;node_2757;node_3305;node_3349;node_3525;node_3581;node_3625;node_3688;node_3774;node_3974;node_4091;node_4114;node_4206;node_4218;node_4480;node_4586;node_4662;node_4960;node_5050;node_6002;node_6074;node_6302;node_6325;node_6373;node_6385;node_7055;node_7163;node_7179;node_7187
Nomex,meta-Aramid,C8H6N2O2,negative,-1,162.04292744138,0.942,0.692,38,3,37,fragment;fragment_h_shift;recombination,node_1566,"M | fragment C,H,N,O from C-C bond break(s) | deprotonation",node_1566;node_1663;node_1751;node_1781;node_1907;node_1949;node_1961;node_2075;node_2141;node_2235;node_2263;node_2703;node_2729;node_2937;node_2981;node_3313;node_3505;node_3589;node_3696;node_3990;node_4059;node_4190;node_4456;node_4550;node_4574;node_4646;node_4658;node_5038;node_5130;node_5372;node_5454;node_6270;node_6357;node_6711;node_7043;node_7079;node_7151;node_7175
Nomex,meta-Aramid,C8H6O2,positive,1,134.03677943252,0.942,0.692,15,3,14,fragment;fragment_h_shift;recombination,node_1561,"M | fragment C,H,O from C-N bond break(s) | protonation",node_1561;node_1660;node_1762;node_2494;node_2534;node_2714;node_4017;node_4125;node_4167;node_4221;node_5927;node_6013;node_6035;node_6336;node_6388
Nomex,meta-Aramid,C8H7NO2,positive,1,149.04767846918,0.942,0.692,27,3,26,fragment;fragment_h_shift;recombination,node_1553,"M | fragment C,H,N,O from C-N bond break(s) | protonation",node_1553;node_1652;node_1742;node_1918;node_2066;node_2106;node_2502;node_2694;node_3977;node_4090;node_4113;node_4147;node_4205;node_4217;node_4483;node_4585;node_4611;node_4661;node_4963;node_5049;node_5091;node_6001;node_6073;node_6301;node_6324;node_6372;node_6384
Nomex,meta-Aramid,C8H8N2O2,positive,1,164.05857750584,0.942,0.692,25,3,24,fragment;fragment_h_shift;recombination,node_1565,"M | fragment C,H,N,O from C-C bond break(s) | protonation",node_1565;node_1664;node_1750;node_1906;node_2074;node_2234;node_2262;node_2702;node_3993;node_4058;node_4155;node_4189;node_4459;node_4549;node_4573;node_4599;node_4645;node_4657;node_5037;node_5129;node_5375;node_5453;node_5487;node_6269;node_6356
Nomex,meta-Aramid,C7H5O,positive,1,105.03403978072001,0.9040000000000001,0.6540000000000001,21,3,20,fragment;fragment_h_shift;recombination,node_1567,"M | fragment C,H,O from C-C bond break(s) | electron_loss",node_1567;node_1624;node_1722;node_1790;node_1818;node_2738;node_2766;node_3122;node_3166;node_3859;node_3903;node_4072;node_4131;node_4195;node_4223;node_6283;node_6342;node_6362;node_6390;node_6908;node_7220
Nomex,meta-Aramid,C7H5O,negative,-1,105.03403978072001,0.9040000000000001,0.6540000000000001,10,3,10,fragment;fragment_h_shift;recombination,node_1568,"M | fragment C,H,O from C-C bond break(s) | electron_gain",node_1568;node_1723;node_4073;node_4132;node_4196;node_4224;node_6284;node_6343;node_6363;node_6391
Nomex,meta-Aramid,C7H6NO,positive,1,120.04493881738,0.9040000000000001,0.6540000000000001,35,3,33,fragment;fragment_h_shift;recombination,node_1547,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_1547;node_1605;node_1617;node_1704;node_1716;node_1774;node_1794;node_1942;node_1970;node_2722;node_2742;node_2770;node_2814;node_3130;node_3214;node_3258;node_3867;node_4040;node_4080;node_4179;node_4199;node_4531;node_4591;node_4635;node_4663;node_6251;node_6291;node_6346;node_6366;node_6468;node_6896;node_6940;node_6988;node_7172;node_7184
Nomex,meta-Aramid,C7H6NO,negative,-1,120.04493881738,0.9040000000000001,0.6540000000000001,15,3,15,fragment;fragment_h_shift;recombination,node_1548,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_1548;node_1705;node_1717;node_4041;node_4081;node_4180;node_4200;node_4532;node_4592;node_4636;node_4664;node_6252;node_6292;node_6347;node_6367
Nomex,meta-Aramid,C7H7N2O,positive,1,135.05583785404,0.9040000000000001,0.6540000000000001,24,3,23,fragment;fragment_h_shift;recombination,node_1555,"M | fragment C,H,N,O from C-N bond break(s) | electron_loss",node_1555;node_1589;node_1688;node_1778;node_1930;node_1946;node_2726;node_2778;node_2862;node_2890;node_3222;node_4048;node_4183;node_4507;node_4539;node_4623;node_4639;node_6259;node_6350;node_6456;node_6516;node_6596;node_6976;node_7016
Nomex,meta-Aramid,C7H7N2O,negative,-1,135.05583785404,0.9040000000000001,0.6540000000000001,10,3,10,fragment;fragment_h_shift;recombination,node_1556,"M | fragment C,H,N,O from C-N bond break(s) | electron_gain",node_1556;node_1689;node_4049;node_4184;node_4508;node_4540;node_4624;node_4640;node_6260;node_6351
Nomex,meta-Aramid,CHO,negative,-1,29.0027396518,0.9040000000000001,0.6540000000000001,4,3,4,feature_rule;fragment;fragment_h_shift,node_1532,"M | fragment C,H,O from C-N bond break(s) | electron_gain",node_1514;node_1532;node_1576;node_1719
