node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,Nomex,meta-Aramid,C15H12N2O3,"{""C"": 15, ""H"": 12, ""N"": 2, ""O"": 3}",268.08479225433,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.27,0.0,1,1,0
node_0002,Nomex,meta-Aramid,CHO,"{""C"": 1, ""H"": 1, ""O"": 1}",29.0027396518,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-N bond break(s)",node_0001,0;1;20,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,Nomex,meta-Aramid,C14H11N2O2,"{""C"": 14, ""H"": 11, ""N"": 2, ""O"": 2}",239.08205260252998,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31,N,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0004,Nomex,meta-Aramid,CH2NO,"{""C"": 1, ""H"": 2, ""N"": 1, ""O"": 1}",44.01363868846,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;20;21,N,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,Nomex,meta-Aramid,C14H10NO2,"{""C"": 14, ""H"": 10, ""N"": 1, ""O"": 2}",224.07115356587,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;22;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,Nomex,meta-Aramid,C7H6NO,"{""C"": 7, ""H"": 6, ""N"": 1, ""O"": 1}",120.04493881738,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;3;4;5;6;7;19;20;21;22;23;24;31,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0007,Nomex,meta-Aramid,C8H6NO2,"{""C"": 8, ""H"": 6, ""N"": 1, ""O"": 2}",148.03985343695,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,8;9;10;11;12;13;14;15;16;17;18;25;26;27;28;29;30,N,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,Nomex,meta-Aramid,C7H7N2O,"{""C"": 7, ""H"": 7, ""N"": 2, ""O"": 1}",135.05583785404,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;19;20;21;22;23;24;25;31,N,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0009,Nomex,meta-Aramid,C8H5O2,"{""C"": 8, ""H"": 5, ""O"": 2}",133.02895440029,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-N bond break(s)",node_0001,9;10;11;12;13;14;15;16;17;18;26;27;28;29;30,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,Nomex,meta-Aramid,C8H7N2O2,"{""C"": 8, ""H"": 7, ""N"": 2, ""O"": 2}",163.05075247361,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;19;20;21;22;23;24;25;31,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0011,Nomex,meta-Aramid,C7H5O,"{""C"": 7, ""H"": 5, ""O"": 1}",105.03403978072001,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,11;12;13;14;15;16;17;18;26;27;28;29;30,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0012,Nomex,meta-Aramid,C14H11N2O2,"{""C"": 14, ""H"": 11, ""N"": 2, ""O"": 2}",239.08205260252998,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20;21;22;23;24;25;26;27;28;30;31,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0013,Nomex,meta-Aramid,CHO,"{""C"": 1, ""H"": 1, ""O"": 1}",29.0027396518,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,16;17;29,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0014,Nomex,meta-Aramid,C6H5N,"{""C"": 6, ""H"": 5, ""N"": 1}",91.04219916558,neutral,0,fragment,bond_break,"M | fragment C,H,N from C-N+C-N bond break(s)",node_0001,2;3;4;5;6;7;19;21;22;23;24;31,N;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0015,Nomex,meta-Aramid,C6H6N2,"{""C"": 6, ""H"": 6, ""N"": 2}",106.05309820224,neutral,0,fragment,bond_break,"M | fragment C,H,N from C-N+C-N bond break(s)",node_0001,2;3;4;5;6;7;8;19;21;22;23;24;25;31,N;N,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0016,Nomex,meta-Aramid,C7H6N2O,"{""C"": 7, ""H"": 6, ""N"": 2, ""O"": 1}",134.04801282181,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,2;3;4;5;6;7;8;9;10;19;21;22;23;24;25;31,N;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0017,Nomex,meta-Aramid,C13H10N2O,"{""C"": 13, ""H"": 10, ""N"": 2, ""O"": 1}",210.07931295073,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;21;22;23;24;25;26;27;28;30;31,N;C,2,0,,,,,0.5599999999999999,0.0,0.33599999999999997,0.0,1,1,0
node_0018,Nomex,meta-Aramid,C6H4,"{""C"": 6, ""H"": 4}",76.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-N+C-N bond break(s)",node_0001,3;4;5;6;7;19;22;23;24;31,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0019,Nomex,meta-Aramid,C6H5N,"{""C"": 6, ""H"": 5, ""N"": 1}",91.04219916558,neutral,0,fragment,bond_break,"M | fragment C,H,N from C-N+C-N bond break(s)",node_0001,3;4;5;6;7;8;19;22;23;24;25;31,C;N,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0020,Nomex,meta-Aramid,C7H5NO,"{""C"": 7, ""H"": 5, ""N"": 1, ""O"": 1}",119.03711378515,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,3;4;5;6;7;8;9;10;19;22;23;24;25;31,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0021,Nomex,meta-Aramid,C13H9NO,"{""C"": 13, ""H"": 9, ""N"": 1, ""O"": 1}",195.06841391407,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;22;23;24;25;26;27;28;30;31,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0022,Nomex,meta-Aramid,CHNO,"{""C"": 1, ""H"": 1, ""N"": 1, ""O"": 1}",43.005813656229996,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,8;9;10;25,N;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0023,Nomex,meta-Aramid,C7H5NO,"{""C"": 7, ""H"": 5, ""N"": 1, ""O"": 1}",119.03711378515,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N+C-C bond break(s)",node_0001,8;9;10;11;12;13;14;15;18;25;26;27;28;30,N;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0024,Nomex,meta-Aramid,CO,"{""C"": 1, ""O"": 1}",27.99491461957,neutral,0,fragment,bond_break,"M | fragment C,O from C-N+C-C bond break(s)",node_0001,9;10,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0025,Nomex,meta-Aramid,C7H4O,"{""C"": 7, ""H"": 4, ""O"": 1}",104.02621474849,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-N+C-C bond break(s)",node_0001,9;10;11;12;13;14;15;18;26;27;28;30,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0026,Nomex,meta-Aramid,C6H4,"{""C"": 6, ""H"": 4}",76.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-C+C-C bond break(s)",node_0001,11;12;13;14;15;18;26;27;28;30,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0027,Nomex,meta-Aramid,CO,"{""C"": 1, ""O"": 1}",27.99491461957,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-N bond break(s) | h_shift_-1",node_0002,0;1;20,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0028,Nomex,meta-Aramid,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-N bond break(s) | h_shift_+1",node_0002,0;1;20,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0029,Nomex,meta-Aramid,C14H10N2O2,"{""C"": 14, ""H"": 10, ""N"": 2, ""O"": 2}",238.0742275703,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1",node_0003,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31,N,1,-1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0030,Nomex,meta-Aramid,C14H12N2O2,"{""C"": 14, ""H"": 12, ""N"": 2, ""O"": 2}",240.08987763476,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_+1",node_0003,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31,N,1,1,,,,,0.6000000000000001,0.0,0.33000000000000007,0.0,1,1,0
node_0031,Nomex,meta-Aramid,CHNO,"{""C"": 1, ""H"": 1, ""N"": 1, ""O"": 1}",43.005813656229996,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,N,O from C-N bond break(s) | h_shift_-1",node_0004,0;1;2;20;21,N,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
