edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PDMS,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PDMS,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PDMS,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PDMS,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PDMS,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PDMS,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,PDMS,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,PDMS,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,PDMS,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,PDMS,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,PDMS,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,PDMS,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,PDMS,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,PDMS,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,PDMS,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,PDMS,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,PDMS,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,PDMS,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,PDMS,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,PDMS,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,PDMS,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,PDMS,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,PDMS,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,PDMS,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,PDMS,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,PDMS,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,PDMS,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,PDMS,node_0001,node_0029,bond_break,fragmentation,1.0
edge_0029,PDMS,node_0001,node_0030,bond_break,fragmentation,1.0
edge_0030,PDMS,node_0001,node_0031,bond_break,fragmentation,1.0
edge_0031,PDMS,node_0001,node_0032,bond_break,fragmentation,1.0
edge_0032,PDMS,node_0002,node_0033,h_shift_-1,h_shift,0.9
edge_0033,PDMS,node_0002,node_0034,h_shift_+1,h_shift,0.9
edge_0034,PDMS,node_0003,node_0035,h_shift_-1,h_shift,0.9
edge_0035,PDMS,node_0003,node_0036,h_shift_+1,h_shift,0.9
edge_0036,PDMS,node_0004,node_0037,h_shift_-1,h_shift,0.9
edge_0037,PDMS,node_0004,node_0038,h_shift_+1,h_shift,0.9
edge_0038,PDMS,node_0005,node_0039,h_shift_-1,h_shift,0.9
edge_0039,PDMS,node_0005,node_0040,h_shift_+1,h_shift,0.9
edge_0040,PDMS,node_0006,node_0041,h_shift_-1,h_shift,0.9
edge_0041,PDMS,node_0006,node_0042,h_shift_+1,h_shift,0.9
edge_0042,PDMS,node_0007,node_0043,h_shift_-1,h_shift,0.9
edge_0043,PDMS,node_0007,node_0044,h_shift_+1,h_shift,0.9
edge_0044,PDMS,node_0008,node_0045,h_shift_-1,h_shift,0.9
edge_0045,PDMS,node_0008,node_0046,h_shift_+1,h_shift,0.9
edge_0046,PDMS,node_0009,node_0047,h_shift_-1,h_shift,0.9
edge_0047,PDMS,node_0009,node_0048,h_shift_+1,h_shift,0.9
edge_0048,PDMS,node_0010,node_0049,h_shift_-1,h_shift,0.9
edge_0049,PDMS,node_0010,node_0050,h_shift_+1,h_shift,0.9
edge_0050,PDMS,node_0011,node_0051,h_shift_-1,h_shift,0.9
edge_0051,PDMS,node_0011,node_0052,h_shift_+1,h_shift,0.9
edge_0052,PDMS,node_0012,node_0053,h_shift_-1,h_shift,0.9
edge_0053,PDMS,node_0012,node_0054,h_shift_+1,h_shift,0.9
edge_0054,PDMS,node_0013,node_0055,h_shift_-1,h_shift,0.9
edge_0055,PDMS,node_0013,node_0056,h_shift_+1,h_shift,0.9
edge_0056,PDMS,node_0014,node_0057,h_shift_-1,h_shift,0.9
edge_0057,PDMS,node_0014,node_0058,h_shift_+1,h_shift,0.9
edge_0058,PDMS,node_0015,node_0059,h_shift_-1,h_shift,0.9
edge_0059,PDMS,node_0015,node_0060,h_shift_+1,h_shift,0.9
edge_0060,PDMS,node_0016,node_0061,h_shift_-1,h_shift,0.9
edge_0061,PDMS,node_0016,node_0062,h_shift_+1,h_shift,0.9
edge_0062,PDMS,node_0017,node_0063,h_shift_-1,h_shift,0.9
edge_0063,PDMS,node_0017,node_0064,h_shift_+1,h_shift,0.9
edge_0064,PDMS,node_0018,node_0065,h_shift_-1,h_shift,0.9
edge_0065,PDMS,node_0018,node_0066,h_shift_+1,h_shift,0.9
edge_0066,PDMS,node_0019,node_0067,h_shift_-1,h_shift,0.9
edge_0067,PDMS,node_0019,node_0068,h_shift_+1,h_shift,0.9
edge_0068,PDMS,node_0020,node_0069,h_shift_-1,h_shift,0.9
edge_0069,PDMS,node_0020,node_0070,h_shift_+1,h_shift,0.9
edge_0070,PDMS,node_0021,node_0071,h_shift_-1,h_shift,0.9
edge_0071,PDMS,node_0021,node_0072,h_shift_+1,h_shift,0.9
edge_0072,PDMS,node_0022,node_0073,h_shift_-1,h_shift,0.9
edge_0073,PDMS,node_0022,node_0074,h_shift_+1,h_shift,0.9
edge_0074,PDMS,node_0023,node_0075,h_shift_-1,h_shift,0.9
edge_0075,PDMS,node_0023,node_0076,h_shift_+1,h_shift,0.9
edge_0076,PDMS,node_0024,node_0077,h_shift_-1,h_shift,0.9
edge_0077,PDMS,node_0024,node_0078,h_shift_+1,h_shift,0.9
edge_0078,PDMS,node_0025,node_0079,h_shift_-1,h_shift,0.9
edge_0079,PDMS,node_0025,node_0080,h_shift_+1,h_shift,0.9
edge_0080,PDMS,node_0026,node_0081,h_shift_-1,h_shift,0.9
edge_0081,PDMS,node_0026,node_0082,h_shift_+1,h_shift,0.9
edge_0082,PDMS,node_0027,node_0083,h_shift_-1,h_shift,0.9
edge_0083,PDMS,node_0027,node_0084,h_shift_+1,h_shift,0.9
edge_0084,PDMS,node_0028,node_0085,h_shift_-1,h_shift,0.9
edge_0085,PDMS,node_0028,node_0086,h_shift_+1,h_shift,0.9
edge_0086,PDMS,node_0029,node_0087,h_shift_-1,h_shift,0.9
edge_0087,PDMS,node_0029,node_0088,h_shift_+1,h_shift,0.9
edge_0088,PDMS,node_0030,node_0089,h_shift_-1,h_shift,0.9
edge_0089,PDMS,node_0030,node_0090,h_shift_+1,h_shift,0.9
edge_0090,PDMS,node_0031,node_0091,h_shift_-1,h_shift,0.9
edge_0091,PDMS,node_0031,node_0092,h_shift_+1,h_shift,0.9
edge_0092,PDMS,node_0032,node_0093,h_shift_-1,h_shift,0.9
edge_0093,PDMS,node_0032,node_0094,h_shift_+1,h_shift,0.9
edge_0094,PDMS,node_0002,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0095,PDMS,node_0039,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0096,PDMS,node_0002,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0097,PDMS,node_0051,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0098,PDMS,node_0003,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0099,PDMS,node_0039,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0100,PDMS,node_0003,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0101,PDMS,node_0051,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0102,PDMS,node_0004,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0103,PDMS,node_0039,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0104,PDMS,node_0004,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0105,PDMS,node_0051,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0106,PDMS,node_0005,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0107,PDMS,node_0033,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0108,PDMS,node_0005,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0109,PDMS,node_0035,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0110,PDMS,node_0005,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0111,PDMS,node_0037,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0112,PDMS,node_0005,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0113,PDMS,node_0041,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0114,PDMS,node_0005,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0115,PDMS,node_0043,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0116,PDMS,node_0005,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0117,PDMS,node_0045,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0118,PDMS,node_0005,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0119,PDMS,node_0047,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0120,PDMS,node_0005,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0121,PDMS,node_0049,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0122,PDMS,node_0005,node_0109,single_dehydrogenative_recombination,recombination,0.8
edge_0123,PDMS,node_0053,node_0109,single_dehydrogenative_recombination,recombination,0.8
