compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PDMS,Polydimethylsiloxane,C2H7OSi,positive,1,75.02661637983,0.8364,0.6540000000000001,19,3,19,feature_rule;fragment;recombination,node_0459,"M | fragment C,H,O,Si from other bond break(s) | electron_loss",node_0425;node_0459;node_0463;node_0793;node_0817;node_0949;node_0973;node_1077;node_1081;node_1125;node_1129;node_1359;node_1407;node_1499;node_1523;node_1691;node_1739;node_1811;node_1835,validated_diagnostic,0.904
PDMS,Polydimethylsiloxane,C2H7OSi,negative,-1,75.02661637983,0.8364,0.6540000000000001,11,3,11,feature_rule;fragment;recombination,node_0460,"M | fragment C,H,O,Si from other bond break(s) | electron_gain",node_0438;node_0460;node_0464;node_1360;node_1408;node_1500;node_1524;node_1692;node_1740;node_1812;node_1836,validated_diagnostic,0.904
PDMS,Polydimethylsiloxane,C2H5Si,negative,-1,57.0160516958,0.8344,0.6439999999999999,5,3,3,feature_rule;fragment;fragment_h_shift,node_0530,"M | fragment C,H,Si from Si-O+other bond break(s) | deprotonation",node_0432;node_0530;node_0554;node_0652;node_0676,validated_diagnostic,0.8939999999999999
PDMS,Polydimethylsiloxane,C2H7Si,positive,1,59.03170176026,0.8344,0.6439999999999999,5,3,3,feature_rule;fragment;fragment_h_shift,node_0529,"M | fragment C,H,Si from Si-O+other bond break(s) | protonation",node_0419;node_0529;node_0553;node_0653;node_0677,validated_diagnostic,0.8939999999999999
PDMS,Polydimethylsiloxane,CH3OSi,negative,-1,58.99531625091,0.8304,0.6439999999999999,9,3,5,feature_rule;fragment;fragment_h_shift,node_0494,"M | fragment C,H,O,Si from C-Si+other bond break(s) | deprotonation",node_0434;node_0494;node_0514;node_0546;node_0550;node_0616;node_0636;node_0668;node_0672,validated_diagnostic,0.8939999999999999
PDMS,Polydimethylsiloxane,CH5OSi,positive,1,61.01096631537,0.8304,0.6439999999999999,9,3,5,feature_rule;fragment;fragment_h_shift,node_0493,"M | fragment C,H,O,Si from C-Si+other bond break(s) | protonation",node_0423;node_0493;node_0513;node_0545;node_0549;node_0617;node_0637;node_0669;node_0673,validated_diagnostic,0.8939999999999999
PDMS,Polydimethylsiloxane,CH3OSi,positive,1,58.99531625091,0.7992,0.6220000000000001,5,2,5,feature_rule;fragment_h_shift,node_0422,M | siloxane | siloxane_small_fragments | silox_CH3OSi,node_0422;node_0615;node_0635;node_0667;node_0671,validated_diagnostic,0.8420000000000001
PDMS,Polydimethylsiloxane,CH5OSi,negative,-1,61.01096631537,0.7992,0.6220000000000001,5,2,5,feature_rule;fragment_h_shift,node_0437,M | siloxane | siloxane_small_fragments | silox_CH5OSi,node_0437;node_0618;node_0638;node_0670;node_0674,validated_diagnostic,0.8420000000000001
PDMS,Polydimethylsiloxane,C2H5Si,positive,1,57.0160516958,0.7872,0.6220000000000001,3,2,3,feature_rule;fragment_h_shift,node_0418,M | siloxane | siloxane_small_fragments | silox_C2H5Si,node_0418;node_0651;node_0675,validated_diagnostic,0.8220000000000001
PDMS,Polydimethylsiloxane,CH4OSi,positive,1,60.00314128314,0.7596,0.6060000000000001,4,1,4,fragment,node_0491,"M | fragment C,H,O,Si from C-Si+other bond break(s) | electron_loss",node_0491;node_0511;node_0543;node_0547,validated_diagnostic,0.776
PDMS,Polydimethylsiloxane,C2H5OSi,negative,-1,73.01096631537,0.7542,0.6220000000000001,13,2,13,feature_rule;recombination,node_0435,M | siloxane | siloxane_small_fragments | silox_C2H5OSi,node_0435;node_0794;node_0818;node_0950;node_0974;node_1078;node_1082;node_1126;node_1130;node_1356;node_1404;node_1688;node_1736,validated_diagnostic,0.8420000000000001
PDMS,Polydimethylsiloxane,C4H11OSi2,positive,1,131.0348430434,0.7422,0.6220000000000001,3,2,3,feature_rule;recombination,node_0430,M | siloxane | siloxane_small_fragments | silox_C4H11OSi2,node_0430;node_1379;node_1711,validated_diagnostic,0.8220000000000001
PDMS,Polydimethylsiloxane,C2H6Si,positive,1,58.02387672803,0.7156,0.6060000000000001,2,1,2,fragment,node_0527,"M | fragment C,H,Si from Si-O+other bond break(s) | electron_loss",node_0527;node_0551,validated_diagnostic,0.6960000000000002
PDMS,Polydimethylsiloxane,C2H8OSi,negative,-1,76.03444141206,0.708,0.6000000000000001,2,1,2,fragment_h_shift,node_0586,"M | fragment C,H,O,Si from other bond break(s) | h_shift_+1 | electron_gain",node_0586;node_0590,validated_diagnostic,0.6900000000000002
