node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PDMS,Polydimethylsiloxane,C4H14O2Si2,"{""C"": 4, ""H"": 14, ""O"": 2, ""Si"": 2}",150.05323275966,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,PDMS,Polydimethylsiloxane,C3H11O2Si2,"{""C"": 3, ""H"": 11, ""O"": 2, ""Si"": 2}",135.02975766297,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si bond break(s)",node_0001,1;2;3;4;5;6;7;11;12;13;14;15;16;17;18;19;20;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PDMS,Polydimethylsiloxane,C3H11O2Si2,"{""C"": 3, ""H"": 11, ""O"": 2, ""Si"": 2}",135.02975766297,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si bond break(s)",node_0001,0;1;3;4;5;6;7;8;9;10;14;15;16;17;18;19;20;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PDMS,Polydimethylsiloxane,C4H13OSi2,"{""C"": 4, ""H"": 13, ""O"": 1, ""Si"": 2}",133.05049310786,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from Si-O bond break(s)",node_0001,0;1;2;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,PDMS,Polydimethylsiloxane,HO,"{""H"": 1, ""O"": 1}",17.0027396518,neutral,0,fragment,bond_break,"M | single-atom H,O from Si-O bond break",node_0001,3;14,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,PDMS,Polydimethylsiloxane,C2H7OSi,"{""C"": 2, ""H"": 7, ""O"": 1, ""Si"": 1}",75.02661637983,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from other bond break(s)",node_0001,0;1;2;3;8;9;10;11;12;13;14,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0007,PDMS,Polydimethylsiloxane,C2H7OSi,"{""C"": 2, ""H"": 7, ""O"": 1, ""Si"": 1}",75.02661637983,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from other bond break(s)",node_0001,4;5;6;7;15;16;17;18;19;20;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PDMS,Polydimethylsiloxane,C3H11O2Si2,"{""C"": 3, ""H"": 11, ""O"": 2, ""Si"": 2}",135.02975766297,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;18;19;20;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0009,PDMS,Polydimethylsiloxane,C3H11O2Si2,"{""C"": 3, ""H"": 11, ""O"": 2, ""Si"": 2}",135.02975766297,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si bond break(s)",node_0001,0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;21,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,PDMS,Polydimethylsiloxane,C4H13OSi2,"{""C"": 4, ""H"": 13, ""O"": 1, ""Si"": 2}",133.05049310786,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from Si-O bond break(s)",node_0001,0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19;20,Si,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0011,PDMS,Polydimethylsiloxane,HO,"{""H"": 1, ""O"": 1}",17.0027396518,neutral,0,fragment,bond_break,"M | single-atom H,O from Si-O bond break",node_0001,7;21,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0012,PDMS,Polydimethylsiloxane,C2H8O2Si2,"{""C"": 2, ""H"": 8, ""O"": 2, ""Si"": 2}",120.00628256628,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si+C-Si bond break(s)",node_0001,1;3;4;5;6;7;14;15;16;17;18;19;20;21,Si;Si,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0013,PDMS,Polydimethylsiloxane,C3H10OSi2,"{""C"": 3, ""H"": 10, ""O"": 1, ""Si"": 2}",118.02701801117,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si+Si-O bond break(s)",node_0001,1;2;4;5;6;7;11;12;13;15;16;17;18;19;20;21,Si;Si,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0014,PDMS,Polydimethylsiloxane,CH4OSi,"{""C"": 1, ""H"": 4, ""O"": 1, ""Si"": 1}",60.00314128314,neutral,0,fragment,bond_break,"M | fragment C,H,O,Si from C-Si+other bond break(s)",node_0001,1;2;3;11;12;13;14,Si;Si,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
