compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PEEK,Polyether Ether Ketone,C6H5O,positive,1,93.03403978072,0.844,0.79,7,3,5,feature_rule;fragment;fragment_h_shift,node_1382,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_1382;node_1462;node_1474;node_1488;node_1503;node_1583;node_1597,feature_supported_candidate,1.0
PEEK,Polyether Ether Ketone,C6H5O,negative,-1,93.03403978072,0.844,0.79,5,3,5,feature_rule;fragment;fragment_h_shift,node_1383,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_1383;node_1463;node_1475;node_1584;node_1598,feature_supported_candidate,1.0
PEEK,Polyether Ether Ketone,CHO,positive,1,29.0027396518,0.844,0.79,4,3,3,feature_rule;fragment;fragment_h_shift,node_1385,M | carbonyl | carbonyl_fragmentation | carbonyl_HCO,node_1385;node_1422;node_1496;node_1589,feature_supported_candidate,1.0
PEEK,Polyether Ether Ketone,C6H5,positive,1,77.03912516115,0.84,0.79,8,3,5,feature_rule;fragment;fragment_h_shift,node_1379,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_1379;node_1408;node_1484;node_1515;node_1535;node_1579;node_1609;node_1629,feature_supported_candidate,1.0
PEEK,Polyether Ether Ketone,C6H5,negative,-1,77.03912516115,0.84,0.79,4,2,4,feature_rule;fragment_h_shift,node_1380,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_1380;node_1580;node_1610;node_1630,feature_supported_candidate,1.0
PEEK,Polyether Ether Ketone,CO,positive,1,27.99491461957,0.802,0.79,2,2,2,feature_rule;fragment,node_1384,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_1384;node_1494,feature_supported_candidate,0.9300000000000002
PEEK,Polyether Ether Ketone,CO,negative,-1,27.99491461957,0.802,0.79,2,2,2,feature_rule;fragment,node_1392,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_1392;node_1495,feature_supported_candidate,0.9300000000000002
PEEK,Polyether Ether Ketone,CHO,negative,-1,29.0027396518,0.7012,0.6220000000000001,2,2,2,feature_rule;fragment_h_shift,node_1433,M | oxygenated | oxygenated_small_fragments | o_small_CHO,node_1433;node_1590,feature_supported_candidate,0.7620000000000002
PEEK,Polyether Ether Ketone,C2H3O,positive,1,43.01838971626,0.647,0.79,2,1,2,feature_rule,node_1386,M | carbonyl | carbonyl_fragmentation | carbonyl_C2H3O,node_1386;node_1424,feature_supported_candidate,0.8800000000000001
PEEK,Polyether Ether Ketone,C2HO,negative,-1,41.0027396518,0.647,0.79,2,1,2,feature_rule,node_1394,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_1394;node_1434,feature_supported_candidate,0.8800000000000001
