node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PEEK,Polyether Ether Ketone,C19H14O4,"{""C"": 19, ""H"": 14, ""O"": 4}",306.0892089295,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.27,0.0,1,1,0
node_0002,PEEK,Polyether Ether Ketone,C7H5O2,"{""C"": 7, ""H"": 5, ""O"": 2}",121.02895440029,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;16;17;18;19;20;21;22;32;33;34;35;36,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PEEK,Polyether Ether Ketone,C12H9O2,"{""C"": 12, ""H"": 9, ""O"": 2}",185.06025452921,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,2;3;4;5;6;7;8;9;10;11;12;13;14;15;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PEEK,Polyether Ether Ketone,C13H9O2,"{""C"": 13, ""H"": 9, ""O"": 2}",197.06025452921,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;14;15;16;17;18;19;20;21;22;23;24;30;31;32;33;34;35;36,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,PEEK,Polyether Ether Ketone,C6H5O2,"{""C"": 6, ""H"": 5, ""O"": 2}",109.02895440029,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,6;7;8;9;10;11;12;13;25;26;27;28;29,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,PEEK,Polyether Ether Ketone,C13H9O3,"{""C"": 13, ""H"": 9, ""O"": 3}",213.05516914878,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;14;15;16;17;18;19;20;21;22;23;24;30;31;32;33;34;35;36,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PEEK,Polyether Ether Ketone,C6H5O,"{""C"": 6, ""H"": 5, ""O"": 1}",93.03403978072001,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,7;8;9;10;11;12;13;25;26;27;28;29,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PEEK,Polyether Ether Ketone,C19H13O3,"{""C"": 19, ""H"": 13, ""O"": 3}",289.0864692777,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;33;34;35;36,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0009,PEEK,Polyether Ether Ketone,C13H9O3,"{""C"": 13, ""H"": 9, ""O"": 3}",213.05516914878,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0010,PEEK,Polyether Ether Ketone,C6H5O,"{""C"": 6, ""H"": 5, ""O"": 1}",93.03403978072001,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,16;17;18;19;20;21;22;32;33;34;35;36,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
