edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PEI,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PEI,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PEI,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PEI,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PEI,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PEI,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,PEI,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,PEI,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,PEI,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,PEI,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,PEI,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,PEI,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,PEI,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,PEI,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,PEI,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,PEI,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,PEI,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,PEI,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,PEI,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,PEI,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,PEI,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,PEI,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,PEI,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,PEI,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,PEI,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,PEI,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,PEI,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,PEI,node_0001,node_0029,bond_break,fragmentation,1.0
edge_0029,PEI,node_0001,node_0030,bond_break,fragmentation,1.0
edge_0030,PEI,node_0001,node_0031,bond_break,fragmentation,1.0
edge_0031,PEI,node_0001,node_0032,bond_break,fragmentation,1.0
edge_0032,PEI,node_0001,node_0033,bond_break,fragmentation,1.0
edge_0033,PEI,node_0001,node_0034,bond_break,fragmentation,1.0
edge_0034,PEI,node_0001,node_0035,bond_break,fragmentation,1.0
edge_0035,PEI,node_0001,node_0036,bond_break,fragmentation,1.0
edge_0036,PEI,node_0001,node_0037,bond_break,fragmentation,1.0
edge_0037,PEI,node_0001,node_0038,bond_break,fragmentation,1.0
edge_0038,PEI,node_0001,node_0039,bond_break,fragmentation,1.0
edge_0039,PEI,node_0001,node_0040,bond_break,fragmentation,1.0
edge_0040,PEI,node_0001,node_0041,bond_break,fragmentation,1.0
edge_0041,PEI,node_0001,node_0042,bond_break,fragmentation,1.0
edge_0042,PEI,node_0001,node_0043,bond_break,fragmentation,1.0
edge_0043,PEI,node_0001,node_0044,bond_break,fragmentation,1.0
edge_0044,PEI,node_0002,node_0045,h_shift_-1,h_shift,0.9
edge_0045,PEI,node_0002,node_0046,h_shift_+1,h_shift,0.9
edge_0046,PEI,node_0003,node_0047,h_shift_-1,h_shift,0.9
edge_0047,PEI,node_0003,node_0048,h_shift_+1,h_shift,0.9
edge_0048,PEI,node_0004,node_0049,h_shift_-1,h_shift,0.9
edge_0049,PEI,node_0004,node_0050,h_shift_+1,h_shift,0.9
edge_0050,PEI,node_0005,node_0051,h_shift_-1,h_shift,0.9
edge_0051,PEI,node_0005,node_0052,h_shift_+1,h_shift,0.9
edge_0052,PEI,node_0006,node_0053,h_shift_-1,h_shift,0.9
edge_0053,PEI,node_0006,node_0054,h_shift_+1,h_shift,0.9
edge_0054,PEI,node_0007,node_0055,h_shift_-1,h_shift,0.9
edge_0055,PEI,node_0007,node_0056,h_shift_+1,h_shift,0.9
edge_0056,PEI,node_0008,node_0057,h_shift_-1,h_shift,0.9
edge_0057,PEI,node_0008,node_0058,h_shift_+1,h_shift,0.9
edge_0058,PEI,node_0009,node_0059,h_shift_-1,h_shift,0.9
edge_0059,PEI,node_0009,node_0060,h_shift_+1,h_shift,0.9
edge_0060,PEI,node_0010,node_0061,h_shift_-1,h_shift,0.9
edge_0061,PEI,node_0010,node_0062,h_shift_+1,h_shift,0.9
edge_0062,PEI,node_0011,node_0063,h_shift_-1,h_shift,0.9
edge_0063,PEI,node_0011,node_0064,h_shift_+1,h_shift,0.9
edge_0064,PEI,node_0012,node_0065,h_shift_-1,h_shift,0.9
edge_0065,PEI,node_0012,node_0066,h_shift_+1,h_shift,0.9
edge_0066,PEI,node_0013,node_0067,h_shift_-1,h_shift,0.9
edge_0067,PEI,node_0013,node_0068,h_shift_+1,h_shift,0.9
edge_0068,PEI,node_0014,node_0069,h_shift_-1,h_shift,0.9
edge_0069,PEI,node_0014,node_0070,h_shift_+1,h_shift,0.9
edge_0070,PEI,node_0015,node_0071,h_shift_-1,h_shift,0.9
edge_0071,PEI,node_0015,node_0072,h_shift_+1,h_shift,0.9
edge_0072,PEI,node_0016,node_0073,h_shift_-1,h_shift,0.9
edge_0073,PEI,node_0016,node_0074,h_shift_+1,h_shift,0.9
edge_0074,PEI,node_0017,node_0075,h_shift_-1,h_shift,0.9
edge_0075,PEI,node_0017,node_0076,h_shift_+1,h_shift,0.9
edge_0076,PEI,node_0018,node_0077,h_shift_-1,h_shift,0.9
edge_0077,PEI,node_0018,node_0078,h_shift_+1,h_shift,0.9
