compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PEI,Polyetherimide (Ultem),C6H5O,positive,1,93.03403978072,0.844,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_4389,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_4389;node_4567;node_4615;node_4739;node_4787,feature_supported_candidate,1.0
PEI,Polyetherimide (Ultem),C6H5,positive,1,77.03912516115,0.84,0.79,6,3,4,feature_rule;fragment;fragment_h_shift,node_4386,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_4386;node_4415;node_4563;node_4611;node_4735;node_4783,feature_supported_candidate,1.0
PEI,Polyetherimide (Ultem),C6H5O,negative,-1,93.03403978072,0.838,0.79,3,2,3,feature_rule;fragment_h_shift,node_4390,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5O,node_4390;node_4740;node_4788,feature_supported_candidate,0.99
PEI,Polyetherimide (Ultem),C6H5,negative,-1,77.03912516115,0.834,0.79,3,2,3,feature_rule;fragment_h_shift,node_4387,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_4387;node_4736;node_4784,feature_supported_candidate,0.99
PEI,Polyetherimide (Ultem),C2H3O,positive,1,43.01838971626,0.647,0.79,2,1,2,feature_rule,node_4393,M | carbonyl | carbonyl_fragmentation | carbonyl_C2H3O,node_4393;node_4431,feature_supported_candidate,0.8800000000000001
PEI,Polyetherimide (Ultem),C2HO,negative,-1,41.0027396518,0.647,0.79,2,1,2,feature_rule,node_4401,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_4401;node_4441,feature_supported_candidate,0.8800000000000001
PEI,Polyetherimide (Ultem),C3H3O,positive,1,55.01838971626,0.647,0.79,2,1,2,feature_rule,node_4397,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H3O,node_4397;node_4433,feature_supported_candidate,0.8800000000000001
PEI,Polyetherimide (Ultem),C3H5O,positive,1,57.03403978072,0.647,0.79,2,1,2,feature_rule,node_4398,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H5O,node_4398;node_4434,feature_supported_candidate,0.8800000000000001
PEI,Polyetherimide (Ultem),CHO,positive,1,29.0027396518,0.647,0.79,2,1,2,feature_rule,node_4392,M | carbonyl | carbonyl_fragmentation | carbonyl_HCO,node_4392;node_4429,feature_supported_candidate,0.8800000000000001
PEI,Polyetherimide (Ultem),C2HO,positive,1,41.0027396518,0.593,0.79,1,1,1,feature_rule,node_4394,M | carbonyl | carbonyl_fragmentation | carbonyl_C2HO,node_4394,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),C2O,negative,-1,39.99491461957,0.593,0.79,1,1,1,feature_rule,node_4400,M | carbonyl | carbonyl_fragmentation | carbonyl_C2O,node_4400,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),CHO2,positive,1,44.99765427137,0.593,0.79,1,1,1,feature_rule,node_4396,M | carbonyl | carbonyl_fragmentation | carbonyl_CHO2,node_4396,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),CO,positive,1,27.99491461957,0.593,0.79,1,1,1,feature_rule,node_4391,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_4391,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),CO,negative,-1,27.99491461957,0.593,0.79,1,1,1,feature_rule,node_4399,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_4399,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),CO2,positive,1,43.98982923914,0.593,0.79,1,1,1,feature_rule,node_4395,M | carbonyl | carbonyl_fragmentation | carbonyl_CO2,node_4395,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),C7H7,positive,1,91.05477522561,0.589,0.79,1,1,1,feature_rule,node_4388,M | aromatic_ring | aromatic_stable_fragments | aromatic_C7H7,node_4388,feature_supported_candidate,0.79
PEI,Polyetherimide (Ultem),C5,negative,-1,60.0,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4425,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5,node_4425,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C5H,negative,-1,61.00782503223,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4426,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H,node_4426,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C5H11,positive,1,71.08607535453,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4414,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H11,node_4414,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C5H5,positive,1,65.03912516115,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4411,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H5,node_4411,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C5H7,positive,1,67.05477522561,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4412,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H7,node_4412,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C5H9,positive,1,69.07042529007,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4413,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5H9,node_4413,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C6,negative,-1,72.0,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4427,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C6,node_4427,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C6H,negative,-1,73.00782503223,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4428,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C6H,node_4428,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C6H11,positive,1,83.08607535453,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4418,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C6H11,node_4418,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C6H7,positive,1,79.05477522561,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4416,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C6H7,node_4416,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C6H9,positive,1,81.07042529007,0.5098,0.6580000000000001,1,1,1,feature_rule,node_4417,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C6H9,node_4417,feature_supported_candidate,0.6580000000000001
PEI,Polyetherimide (Ultem),C2H3O,negative,-1,43.01838971626,0.4922,0.6220000000000001,1,1,1,feature_rule,node_4442,M | oxygenated | oxygenated_small_fragments | o_small_C2H3O,node_4442,feature_supported_candidate,0.6220000000000001
PEI,Polyetherimide (Ultem),C2H3O2,negative,-1,59.01330433583,0.4922,0.6220000000000001,1,1,1,feature_rule,node_4444,M | oxygenated | oxygenated_small_fragments | o_small_C2H3O2,node_4444,feature_supported_candidate,0.6220000000000001
PEI,Polyetherimide (Ultem),C2H5O,positive,1,45.03403978072,0.4922,0.6220000000000001,1,1,1,feature_rule,node_4432,M | oxygenated | oxygenated_small_fragments | o_small_C2H5O,node_4432,feature_supported_candidate,0.6220000000000001
PEI,Polyetherimide (Ultem),C2H5O2,positive,1,61.02895440029,0.4922,0.6220000000000001,1,1,1,feature_rule,node_4437,M | oxygenated | oxygenated_small_fragments | o_small_C2H5O2,node_4437,feature_supported_candidate,0.6220000000000001
PEI,Polyetherimide (Ultem),C3H5O2,positive,1,73.02895440029,0.4922,0.6220000000000001,1,1,1,feature_rule,node_4438,M | oxygenated | oxygenated_small_fragments | o_small_C3H5O2,node_4438,feature_supported_candidate,0.6220000000000001
