node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PEI,Polyetherimide (Ultem),C31H20O8,"{""C"": 31, ""H"": 20, ""O"": 8}",520.11581760116,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.26597683647976805,0.0,1,1,0
node_0002,PEI,Polyetherimide (Ultem),C30H17O8,"{""C"": 30, ""H"": 17, ""O"": 8}",505.09234250447,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58,C,1,0,,,,,0.64,0.0,0.382981531499106,0.0,1,1,0
node_0003,PEI,Polyetherimide (Ultem),C30H17O8,"{""C"": 30, ""H"": 17, ""O"": 8}",505.09234250447,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;45;46;47;48;49;50;51;52;53;54;55;56;57;58,C,1,0,,,,,0.64,0.0,0.382981531499106,0.0,1,1,0
node_0004,PEI,Polyetherimide (Ultem),C17H13O4,"{""C"": 17, ""H"": 13, ""O"": 4}",281.08138389727003,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;52;53;54;55;56;57;58,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PEI,Polyetherimide (Ultem),C14H7O4,"{""C"": 14, ""H"": 7, ""O"": 4}",239.03443370389,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;45;46;47;48;49;50;51,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,PEI,Polyetherimide (Ultem),C23H17O4,"{""C"": 23, ""H"": 17, ""O"": 4}",357.11268402619,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PEI,Polyetherimide (Ultem),C8H3O4,"{""C"": 8, ""H"": 3, ""O"": 4}",163.00313357497,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,7;8;9;10;11;12;13;14;15;16;17;18;47;48;49,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PEI,Polyetherimide (Ultem),C23H17O5,"{""C"": 23, ""H"": 17, ""O"": 5}",373.10759864576,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0009,PEI,Polyetherimide (Ultem),C8H3O3,"{""C"": 8, ""H"": 3, ""O"": 3}",147.0082189554,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,8;9;10;11;12;13;14;15;16;17;18;47;48;49,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,PEI,Polyetherimide (Ultem),C31H20O8,"{""C"": 31, ""H"": 20, ""O"": 8}",520.11581760116,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58,,1,0,,,,,0.64,0.0,0.37997683647976804,0.0,1,1,0
