compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
PEN,Polyethylene Naphthalate,C2H3O,positive,1,43.01838971626,1.0,0.79,4,2,4,feature_rule;fragment_h_shift,node_5176,M | carbonyl | carbonyl_fragmentation | carbonyl_C2H3O,node_5176;node_5214;node_5532;node_5668
PEN,Polyethylene Naphthalate,C3H3O,positive,1,55.01838971626,1.0,0.79,6,2,6,feature_rule;recombination,node_5180,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H3O,node_5180;node_5216;node_9872;node_9980;node_16104;node_16212
PEN,Polyethylene Naphthalate,C3H5O,positive,1,57.03403978072,1.0,0.79,12,2,12,feature_rule;recombination,node_5181,M | carbonyl | carbonyl_fragmentation | carbonyl_C3H5O,node_5181;node_5217;node_9452;node_9560;node_11096;node_11220;node_16944;node_17048;node_17332;node_17460;node_20620;node_20848
PEN,Polyethylene Naphthalate,CHO,positive,1,29.0027396518,1.0,0.79,8,3,6,feature_rule;fragment;fragment_h_shift,node_5175,M | carbonyl | carbonyl_fragmentation | carbonyl_HCO,node_5175;node_5212;node_5314;node_5432;node_5528;node_5536;node_5652;node_5664
PEN,Polyethylene Naphthalate,CHO2,positive,1,44.99765427137,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_5179,M | carbonyl | carbonyl_fragmentation | carbonyl_CHO2,node_5179;node_5341;node_5435;node_5562;node_5654
PEN,Polyethylene Naphthalate,CO,positive,1,27.99491461957,0.99,0.79,3,2,3,feature_rule;fragment,node_5174,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_5174;node_5312;node_5430
PEN,Polyethylene Naphthalate,CO,negative,-1,27.99491461957,0.99,0.79,3,2,3,feature_rule;fragment,node_5182,M | carbonyl | carbonyl_fragmentation | carbonyl_CO,node_5182;node_5313;node_5431
PEN,Polyethylene Naphthalate,CO2,positive,1,43.98982923914,0.99,0.79,3,2,3,feature_rule;fragment,node_5178,M | carbonyl | carbonyl_fragmentation | carbonyl_CO2,node_5178;node_5339;node_5433
PEN,Polyethylene Naphthalate,C2H4O2,negative,-1,60.02112936806,0.942,0.692,19,3,17,fragment;fragment_h_shift;recombination,node_5239,"M | fragment C,H,O from C-O bond break(s) | deprotonation",node_5239;node_5283;node_5461;node_5505;node_6747;node_6753;node_6881;node_8963;node_9009;node_9137;node_9377;node_9421;node_16865;node_16909;node_20545;node_20567;node_20839;node_20907;node_21035
PEN,Polyethylene Naphthalate,C2H6O2,positive,1,62.03677943252,0.942,0.692,12,3,10,fragment;fragment_h_shift;recombination,node_5238,"M | fragment C,H,O from C-O bond break(s) | protonation",node_5238;node_5282;node_5462;node_5506;node_6746;node_8962;node_20548;node_20566;node_20838;node_20896;node_20906;node_21034
PEN,Polyethylene Naphthalate,C3H4O3,negative,-1,88.01604398763,0.942,0.692,36,3,34,fragment;fragment_h_shift;recombination,node_5263,"M | fragment C,H,O from C-C bond break(s) | deprotonation",node_5263;node_5275;node_5485;node_5497;node_6805;node_6873;node_9061;node_9129;node_9777;node_9821;node_11245;node_11289;node_12489;node_12533;node_16009;node_16053;node_16229;node_16273;node_16449;node_16493;node_18215;node_18231;node_18455;node_18479;node_19451;node_19635;node_20679;node_20823;node_20959;node_21027;node_24307;node_24323;node_24547;node_24571;node_25311;node_25495
PEN,Polyethylene Naphthalate,C3H6O3,positive,1,90.03169405209,0.942,0.692,32,3,30,fragment;fragment_h_shift;recombination,node_5262,"M | fragment C,H,O from C-C bond break(s) | protonation",node_5262;node_5274;node_5486;node_5498;node_5940;node_6064;node_8196;node_8320;node_9360;node_9404;node_16848;node_16892;node_18124;node_18196;node_18214;node_18230;node_18454;node_18478;node_19450;node_19634;node_20512;node_20678;node_20822;node_20958;node_21026;node_24288;node_24306;node_24322;node_24546;node_24570;node_25310;node_25494
PEN,Polyethylene Naphthalate,C2H4O,negative,-1,44.02621474849,0.9119999999999999,0.692,6,2,4,fragment;fragment_h_shift,node_5247,"M | fragment C,H,O from C-O bond break(s) | deprotonation",node_5247;node_5291;node_5309;node_5449;node_5469;node_5513
PEN,Polyethylene Naphthalate,CH2O,negative,-1,30.01056468403,0.9119999999999999,0.692,6,2,4,fragment;fragment_h_shift,node_5255,"M | fragment C,H,O from C-C bond break(s) | deprotonation",node_5255;node_5299;node_5305;node_5445;node_5477;node_5521
PEN,Polyethylene Naphthalate,C2H5,positive,1,29.03912516115,0.9080000000000001,0.6580000000000001,5,3,3,feature_rule;fragment;fragment_h_shift,node_5186,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2H5,node_5186;node_5337;node_5454;node_5560;node_5674
PEN,Polyethylene Naphthalate,C2H5O,positive,1,45.03403978072,0.9040000000000001,0.6540000000000001,7,3,5,feature_rule;fragment;fragment_h_shift,node_5244,"M | fragment C,H,O from C-O bond break(s) | electron_loss",node_5215;node_5244;node_5288;node_5310;node_5450;node_5534;node_5670
PEN,Polyethylene Naphthalate,C2H5O2,positive,1,61.028954400290004,0.9040000000000001,0.6540000000000001,18,3,18,feature_rule;fragment;recombination,node_5236,"M | fragment C,H,O from C-O bond break(s) | electron_loss",node_5220;node_5236;node_5280;node_6744;node_6754;node_6882;node_8960;node_9010;node_9138;node_9378;node_9422;node_16866;node_16910;node_20546;node_20564;node_20836;node_20904;node_21032
PEN,Polyethylene Naphthalate,CH3O,positive,1,31.01838971626,0.9040000000000001,0.6540000000000001,7,3,5,feature_rule;fragment;fragment_h_shift,node_5252,"M | fragment C,H,O from C-C bond break(s) | electron_loss",node_5213;node_5252;node_5296;node_5306;node_5446;node_5530;node_5666
PEN,Polyethylene Naphthalate,C11H5O,negative,-1,153.03403978072,0.8939999999999999,0.6439999999999999,6,3,4,fragment;fragment_h_shift;recombination,node_5318,"M | fragment C,H,O from C-O+C-C bond break(s) | deprotonation",node_5318;node_5417;node_5539;node_5637;node_9945;node_16177
PEN,Polyethylene Naphthalate,C11H5O2,negative,-1,169.02895440029,0.8939999999999999,0.6439999999999999,6,3,4,fragment;fragment_h_shift;recombination,node_5345,"M | fragment C,H,O from C-O+C-C bond break(s) | deprotonation",node_5345;node_5421;node_5565;node_5641;node_11405;node_16389
PEN,Polyethylene Naphthalate,C11H7O,positive,1,155.04968984518,0.8939999999999999,0.6439999999999999,9,3,7,fragment;fragment_h_shift;recombination,node_5317,"M | fragment C,H,O from C-O+C-C bond break(s) | protonation",node_5317;node_5416;node_5540;node_5638;node_9524;node_15036;node_15160;node_17016;node_20768
PEN,Polyethylene Naphthalate,C12H5O2,negative,-1,181.02895440029,0.8939999999999999,0.6439999999999999,6,3,5,fragment;fragment_h_shift;recombination,node_5322,"M | fragment C,H,O from C-O+C-O bond break(s) | deprotonation",node_5322;node_5543;node_9853;node_9949;node_16085;node_16181
PEN,Polyethylene Naphthalate,C12H5O3,negative,-1,197.02386901986,0.8939999999999999,0.6439999999999999,12,3,10,fragment;fragment_h_shift;recombination,node_5326,"M | fragment C,H,O from C-O+C-O bond break(s) | deprotonation",node_5326;node_5349;node_5547;node_5569;node_9877;node_9953;node_11313;node_11409;node_16109;node_16185;node_16297;node_16393
PEN,Polyethylene Naphthalate,C12H7O2,positive,1,183.04460446475,0.8939999999999999,0.6439999999999999,18,3,17,fragment;fragment_h_shift;recombination,node_5321,"M | fragment C,H,O from C-O+C-O bond break(s) | protonation",node_5321;node_5544;node_5588;node_5644;node_9432;node_9528;node_10056;node_10180;node_12636;node_15088;node_15152;node_15244;node_15368;node_16600;node_16924;node_17020;node_20580;node_20776
PEN,Polyethylene Naphthalate,C12H7O2,negative,-1,183.04460446475,0.8939999999999999,0.6439999999999999,27,3,25,fragment;fragment_h_shift;recombination,node_5369,"M | fragment C,H,O from C-C+C-C bond break(s) | deprotonation",node_5369;node_5425;node_5545;node_5589;node_5645;node_6763;node_6859;node_9019;node_9115;node_9433;node_9529;node_10007;node_10051;node_10057;node_10181;node_12637;node_15089;node_15153;node_15195;node_15239;node_15245;node_15369;node_16601;node_16925;node_17021;node_20581;node_20777
PEN,Polyethylene Naphthalate,C12H7O3,positive,1,199.03951908432,0.8939999999999999,0.6439999999999999,14,3,12,fragment;fragment_h_shift;recombination,node_5325,"M | fragment C,H,O from C-O+C-O bond break(s) | protonation",node_5325;node_5348;node_5548;node_5570;node_9456;node_9532;node_11516;node_11640;node_15452;node_15576;node_16948;node_17024;node_20632;node_20784
PEN,Polyethylene Naphthalate,C12H9O2,positive,1,185.06025452921,0.8939999999999999,0.6439999999999999,18,3,16,fragment;fragment_h_shift;recombination,node_5368,"M | fragment C,H,O from C-C+C-C bond break(s) | protonation",node_5368;node_5424;node_5590;node_5646;node_6762;node_6858;node_9018;node_9114;node_10006;node_10050;node_15194;node_15238;node_18412;node_20584;node_20780;node_20912;node_21008;node_24504
PEN,Polyethylene Naphthalate,C13H11O2,positive,1,199.07590459367,0.8939999999999999,0.6439999999999999,20,3,18,fragment;fragment_h_shift;recombination,node_5392,"M | fragment C,H,O from C-O+C-C bond break(s) | protonation",node_5392;node_5428;node_5614;node_5650;node_6346;node_6442;node_8602;node_8698;node_9998;node_10042;node_15186;node_15230;node_19404;node_19600;node_19740;node_19836;node_25264;node_25460;node_25556;node_25652
PEN,Polyethylene Naphthalate,C13H9O2,negative,-1,197.06025452921,0.8939999999999999,0.6439999999999999,36,3,34,fragment;fragment_h_shift;recombination,node_5393,"M | fragment C,H,O from C-O+C-C bond break(s) | deprotonation",node_5393;node_5429;node_5613;node_5649;node_6347;node_6443;node_8603;node_8699;node_9641;node_9737;node_9999;node_10043;node_10061;node_10185;node_11125;node_11201;node_11545;node_11649;node_13885;node_15113;node_15157;node_15187;node_15231;node_15249;node_15373;node_15481;node_15585;node_16809;node_17133;node_17229;node_17365;node_17441;node_19401;node_19597;node_25261;node_25457
PEN,Polyethylene Naphthalate,C2H3O,negative,-1,43.01838971626,0.8939999999999999,0.6439999999999999,5,3,3,feature_rule;fragment;fragment_h_shift,node_5311,"M | fragment C,H,O from C-O+C-O bond break(s) | deprotonation",node_5225;node_5311;node_5451;node_5533;node_5669
PEN,Polyethylene Naphthalate,C2H3O2,positive,1,59.01330433583,0.8939999999999999,0.6439999999999999,14,3,12,fragment;fragment_h_shift;recombination,node_5364,"M | fragment C,H,O from C-C+C-C bond break(s) | protonation",node_5364;node_5438;node_5586;node_5658;node_9552;node_9794;node_9838;node_16026;node_16070;node_16916;node_20560;node_20576;node_20808;node_20832
PEN,Polyethylene Naphthalate,C2HO2,negative,-1,56.99765427137,0.8939999999999999,0.6439999999999999,12,3,10,fragment;fragment_h_shift;recombination,node_5365,"M | fragment C,H,O from C-C+C-C bond break(s) | deprotonation",node_5365;node_5439;node_5585;node_5657;node_9795;node_9839;node_9845;node_9973;node_16027;node_16071;node_16077;node_16205
PEN,Polyethylene Naphthalate,C3H3O2,negative,-1,71.01330433583,0.8939999999999999,0.6439999999999999,16,3,14,fragment;fragment_h_shift;recombination,node_5389,"M | fragment C,H,O from C-O+C-C bond break(s) | deprotonation",node_5389;node_5443;node_5609;node_5661;node_9787;node_9831;node_9849;node_9977;node_11333;node_11441;node_16019;node_16063;node_16081;node_16209;node_16317;node_16425
