edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PET,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PET,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PET,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PET,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PET,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PET,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,PET,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,PET,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,PET,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,PET,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,PET,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,PET,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,PET,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,PET,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,PET,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,PET,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,PET,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,PET,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,PET,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,PET,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,PET,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,PET,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,PET,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,PET,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,PET,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,PET,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,PET,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,PET,node_0001,node_0029,bond_break,fragmentation,1.0
edge_0029,PET,node_0001,node_0030,bond_break,fragmentation,1.0
edge_0030,PET,node_0001,node_0031,bond_break,fragmentation,1.0
edge_0031,PET,node_0001,node_0032,bond_break,fragmentation,1.0
edge_0032,PET,node_0001,node_0033,bond_break,fragmentation,1.0
edge_0033,PET,node_0001,node_0034,bond_break,fragmentation,1.0
edge_0034,PET,node_0001,node_0035,bond_break,fragmentation,1.0
edge_0035,PET,node_0001,node_0036,bond_break,fragmentation,1.0
edge_0036,PET,node_0001,node_0037,bond_break,fragmentation,1.0
edge_0037,PET,node_0001,node_0038,bond_break,fragmentation,1.0
edge_0038,PET,node_0001,node_0039,bond_break,fragmentation,1.0
edge_0039,PET,node_0001,node_0040,bond_break,fragmentation,1.0
edge_0040,PET,node_0001,node_0041,bond_break,fragmentation,1.0
edge_0041,PET,node_0001,node_0042,bond_break,fragmentation,1.0
edge_0042,PET,node_0001,node_0043,bond_break,fragmentation,1.0
edge_0043,PET,node_0001,node_0044,bond_break,fragmentation,1.0
edge_0044,PET,node_0001,node_0045,bond_break,fragmentation,1.0
edge_0045,PET,node_0001,node_0046,bond_break,fragmentation,1.0
