node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PET,Polyethylene Terephthalate,C12H14O6,"{""C"": 12, ""H"": 14, ""O"": 6}",254.07903816864,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.27,0.0,1,1,0
node_0002,PET,Polyethylene Terephthalate,C10H9O4,"{""C"": 10, ""H"": 9, ""O"": 4}",193.05008376835,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;6;7;8;9;10;11;12;13;14;15;16;17;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PET,Polyethylene Terephthalate,C2H5O2,"{""C"": 2, ""H"": 5, ""O"": 2}",61.028954400290004,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,2;3;4;5;18;19;20;21;22,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PET,Polyethylene Terephthalate,C10H9O5,"{""C"": 10, ""H"": 9, ""O"": 5}",209.04499838792,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;6;7;8;9;10;11;12;13;14;15;16;17;23;24;25;26;27;28;29;30;31,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PET,Polyethylene Terephthalate,C2H5O,"{""C"": 2, ""H"": 5, ""O"": 1}",45.03403978072,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,3;4;5;18;19;20;21;22,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,PET,Polyethylene Terephthalate,C11H11O5,"{""C"": 11, ""H"": 11, ""O"": 5}",223.06064845238,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;6;7;8;9;10;11;12;13;14;15;16;17;18;19;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PET,Polyethylene Terephthalate,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,4;5;20;21;22,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0008,PET,Polyethylene Terephthalate,C12H13O5,"{""C"": 12, ""H"": 13, ""O"": 5}",237.07629851683998,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0009,PET,Polyethylene Terephthalate,C3H5O3,"{""C"": 3, ""H"": 5, ""O"": 3}",89.02386901986,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,0;1;2;3;4;5;18;19;20;21;22,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,PET,Polyethylene Terephthalate,C9H9O3,"{""C"": 9, ""H"": 9, ""O"": 3}",165.05516914878,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-C bond break(s)",node_0001,6;7;8;9;10;11;12;13;14;15;16;17;23;24;25;26;27;28;29;30;31,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
