node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PFA,Perfluoroalkoxy Alkane,C4F10,"{""C"": 4, ""F"": 10}",237.9840316273,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.27,0.0,1,1,0
node_0002,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,0,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0003,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,1;2;3;4;5;6;7;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0004,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;3;4;5;6;7;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,2,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;4;5;6;7;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,3,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0008,PFA,Perfluoroalkoxy Alkane,CF3,"{""C"": 1, ""F"": 3}",68.99520948819,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,0;1;2;3,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0009,PFA,Perfluoroalkoxy Alkane,C3F7,"{""C"": 3, ""F"": 7}",168.98882213911,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,4;5;6;7;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0010,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0011,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,5,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0012,PFA,Perfluoroalkoxy Alkane,C3F7,"{""C"": 3, ""F"": 7}",168.98882213911,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,0;1;2;3;4;5;10;11;12;13,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0013,PFA,Perfluoroalkoxy Alkane,CF3,"{""C"": 1, ""F"": 3}",68.99520948819,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,6;7;8;9,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0014,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;8;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0015,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,7,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0016,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;7;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0017,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,8,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0018,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;10;11;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0019,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,9,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0020,PFA,Perfluoroalkoxy Alkane,C3F7,"{""C"": 3, ""F"": 7}",168.98882213911,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0021,PFA,Perfluoroalkoxy Alkane,CF3,"{""C"": 1, ""F"": 3}",68.99520948819,neutral,0,fragment,bond_break,"M | fragment C,F from C-C bond break(s)",node_0001,10;11;12;13,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0022,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;12;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0023,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,11,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0024,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;13,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0025,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,12,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0026,PFA,Perfluoroalkoxy Alkane,C4F9,"{""C"": 4, ""F"": 9}",218.98562846457,neutral,0,fragment,bond_break,"M | fragment C,F from C-F bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0027,PFA,Perfluoroalkoxy Alkane,F,"{""F"": 1}",18.99840316273,neutral,0,fragment,bond_break,M | single-atom F from C-F bond break,node_0001,13,F,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0028,PFA,Perfluoroalkoxy Alkane,C4F8,"{""C"": 4, ""F"": 8}",199.98722530184,neutral,0,fragment,bond_break,"M | fragment C,F from C-F+C-F bond break(s)",node_0001,1;3;4;5;6;7;8;9;10;11;12;13,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0029,PFA,Perfluoroalkoxy Alkane,C4F8,"{""C"": 4, ""F"": 8}",199.98722530184,neutral,0,fragment,bond_break,"M | fragment C,F from C-F+C-F bond break(s)",node_0001,1;2;4;5;6;7;8;9;10;11;12;13,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0030,PFA,Perfluoroalkoxy Alkane,CF2,"{""C"": 1, ""F"": 2}",49.99680632546,neutral,0,fragment,bond_break,"M | fragment C,F from C-F+C-C bond break(s)",node_0001,1;2;3,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
