edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PI,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PI,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PI,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PI,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PI,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PI,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,PI,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,PI,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,PI,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,PI,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,PI,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,PI,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,PI,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,PI,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,PI,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,PI,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,PI,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,PI,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,PI,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,PI,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,PI,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,PI,node_0002,node_0023,h_shift_-1,h_shift,0.9
edge_0023,PI,node_0002,node_0024,h_shift_+1,h_shift,0.9
edge_0024,PI,node_0003,node_0025,h_shift_-1,h_shift,0.9
edge_0025,PI,node_0003,node_0026,h_shift_+1,h_shift,0.9
edge_0026,PI,node_0004,node_0027,h_shift_-1,h_shift,0.9
edge_0027,PI,node_0004,node_0028,h_shift_+1,h_shift,0.9
edge_0028,PI,node_0005,node_0029,h_shift_-1,h_shift,0.9
edge_0029,PI,node_0005,node_0030,h_shift_+1,h_shift,0.9
edge_0030,PI,node_0006,node_0031,h_shift_-1,h_shift,0.9
edge_0031,PI,node_0006,node_0032,h_shift_+1,h_shift,0.9
edge_0032,PI,node_0007,node_0033,h_shift_-1,h_shift,0.9
edge_0033,PI,node_0007,node_0034,h_shift_+1,h_shift,0.9
edge_0034,PI,node_0008,node_0035,h_shift_-1,h_shift,0.9
edge_0035,PI,node_0008,node_0036,h_shift_+1,h_shift,0.9
edge_0036,PI,node_0009,node_0037,h_shift_-1,h_shift,0.9
edge_0037,PI,node_0009,node_0038,h_shift_+1,h_shift,0.9
edge_0038,PI,node_0010,node_0039,h_shift_-1,h_shift,0.9
edge_0039,PI,node_0010,node_0040,h_shift_+1,h_shift,0.9
edge_0040,PI,node_0011,node_0041,h_shift_-1,h_shift,0.9
edge_0041,PI,node_0011,node_0042,h_shift_+1,h_shift,0.9
edge_0042,PI,node_0012,node_0043,h_shift_-1,h_shift,0.9
edge_0043,PI,node_0012,node_0044,h_shift_+1,h_shift,0.9
edge_0044,PI,node_0013,node_0045,h_shift_-1,h_shift,0.9
edge_0045,PI,node_0013,node_0046,h_shift_+1,h_shift,0.9
edge_0046,PI,node_0014,node_0047,h_shift_-1,h_shift,0.9
edge_0047,PI,node_0014,node_0048,h_shift_+1,h_shift,0.9
edge_0048,PI,node_0015,node_0049,h_shift_-1,h_shift,0.9
edge_0049,PI,node_0015,node_0050,h_shift_+1,h_shift,0.9
edge_0050,PI,node_0016,node_0051,h_shift_-1,h_shift,0.9
edge_0051,PI,node_0016,node_0052,h_shift_+1,h_shift,0.9
edge_0052,PI,node_0017,node_0053,h_shift_-1,h_shift,0.9
edge_0053,PI,node_0017,node_0054,h_shift_+1,h_shift,0.9
edge_0054,PI,node_0018,node_0055,h_shift_-1,h_shift,0.9
edge_0055,PI,node_0018,node_0056,h_shift_+1,h_shift,0.9
edge_0056,PI,node_0019,node_0057,h_shift_-1,h_shift,0.9
edge_0057,PI,node_0019,node_0058,h_shift_+1,h_shift,0.9
edge_0058,PI,node_0020,node_0059,h_shift_-1,h_shift,0.9
edge_0059,PI,node_0020,node_0060,h_shift_+1,h_shift,0.9
edge_0060,PI,node_0021,node_0061,h_shift_-1,h_shift,0.9
edge_0061,PI,node_0021,node_0062,h_shift_+1,h_shift,0.9
edge_0062,PI,node_0022,node_0063,h_shift_-1,h_shift,0.9
edge_0063,PI,node_0022,node_0064,h_shift_+1,h_shift,0.9
edge_0064,PI,node_0002,node_0065,single_dehydrogenative_recombination,recombination,0.8
edge_0065,PI,node_0025,node_0065,single_dehydrogenative_recombination,recombination,0.8
edge_0066,PI,node_0002,node_0066,single_dehydrogenative_recombination,recombination,0.8
edge_0067,PI,node_0027,node_0066,single_dehydrogenative_recombination,recombination,0.8
edge_0068,PI,node_0002,node_0067,single_dehydrogenative_recombination,recombination,0.8
edge_0069,PI,node_0033,node_0067,single_dehydrogenative_recombination,recombination,0.8
edge_0070,PI,node_0002,node_0068,single_dehydrogenative_recombination,recombination,0.8
edge_0071,PI,node_0035,node_0068,single_dehydrogenative_recombination,recombination,0.8
edge_0072,PI,node_0002,node_0069,single_dehydrogenative_recombination,recombination,0.8
edge_0073,PI,node_0043,node_0069,single_dehydrogenative_recombination,recombination,0.8
edge_0074,PI,node_0002,node_0070,single_dehydrogenative_recombination,recombination,0.8
edge_0075,PI,node_0045,node_0070,single_dehydrogenative_recombination,recombination,0.8
edge_0076,PI,node_0002,node_0071,single_dehydrogenative_recombination,recombination,0.8
edge_0077,PI,node_0047,node_0071,single_dehydrogenative_recombination,recombination,0.8
edge_0078,PI,node_0002,node_0072,single_dehydrogenative_recombination,recombination,0.8
edge_0079,PI,node_0049,node_0072,single_dehydrogenative_recombination,recombination,0.8
edge_0080,PI,node_0002,node_0073,single_dehydrogenative_recombination,recombination,0.8
edge_0081,PI,node_0051,node_0073,single_dehydrogenative_recombination,recombination,0.8
edge_0082,PI,node_0002,node_0074,single_dehydrogenative_recombination,recombination,0.8
edge_0083,PI,node_0055,node_0074,single_dehydrogenative_recombination,recombination,0.8
edge_0084,PI,node_0002,node_0075,single_dehydrogenative_recombination,recombination,0.8
edge_0085,PI,node_0057,node_0075,single_dehydrogenative_recombination,recombination,0.8
edge_0086,PI,node_0002,node_0076,single_dehydrogenative_recombination,recombination,0.8
edge_0087,PI,node_0063,node_0076,single_dehydrogenative_recombination,recombination,0.8
edge_0088,PI,node_0003,node_0077,single_dehydrogenative_recombination,recombination,0.8
edge_0089,PI,node_0023,node_0077,single_dehydrogenative_recombination,recombination,0.8
edge_0090,PI,node_0003,node_0078,single_dehydrogenative_recombination,recombination,0.8
edge_0091,PI,node_0027,node_0078,single_dehydrogenative_recombination,recombination,0.8
edge_0092,PI,node_0003,node_0079,single_dehydrogenative_recombination,recombination,0.8
edge_0093,PI,node_0029,node_0079,single_dehydrogenative_recombination,recombination,0.8
edge_0094,PI,node_0003,node_0080,single_dehydrogenative_recombination,recombination,0.8
edge_0095,PI,node_0031,node_0080,single_dehydrogenative_recombination,recombination,0.8
edge_0096,PI,node_0003,node_0081,single_dehydrogenative_recombination,recombination,0.8
edge_0097,PI,node_0033,node_0081,single_dehydrogenative_recombination,recombination,0.8
edge_0098,PI,node_0003,node_0082,single_dehydrogenative_recombination,recombination,0.8
edge_0099,PI,node_0035,node_0082,single_dehydrogenative_recombination,recombination,0.8
edge_0100,PI,node_0003,node_0083,single_dehydrogenative_recombination,recombination,0.8
edge_0101,PI,node_0037,node_0083,single_dehydrogenative_recombination,recombination,0.8
edge_0102,PI,node_0003,node_0084,single_dehydrogenative_recombination,recombination,0.8
edge_0103,PI,node_0041,node_0084,single_dehydrogenative_recombination,recombination,0.8
edge_0104,PI,node_0003,node_0085,single_dehydrogenative_recombination,recombination,0.8
edge_0105,PI,node_0043,node_0085,single_dehydrogenative_recombination,recombination,0.8
edge_0106,PI,node_0003,node_0086,single_dehydrogenative_recombination,recombination,0.8
edge_0107,PI,node_0045,node_0086,single_dehydrogenative_recombination,recombination,0.8
edge_0108,PI,node_0003,node_0087,single_dehydrogenative_recombination,recombination,0.8
edge_0109,PI,node_0047,node_0087,single_dehydrogenative_recombination,recombination,0.8
edge_0110,PI,node_0003,node_0088,single_dehydrogenative_recombination,recombination,0.8
edge_0111,PI,node_0049,node_0088,single_dehydrogenative_recombination,recombination,0.8
edge_0112,PI,node_0003,node_0089,single_dehydrogenative_recombination,recombination,0.8
edge_0113,PI,node_0051,node_0089,single_dehydrogenative_recombination,recombination,0.8
edge_0114,PI,node_0003,node_0090,single_dehydrogenative_recombination,recombination,0.8
edge_0115,PI,node_0053,node_0090,single_dehydrogenative_recombination,recombination,0.8
edge_0116,PI,node_0003,node_0091,single_dehydrogenative_recombination,recombination,0.8
edge_0117,PI,node_0055,node_0091,single_dehydrogenative_recombination,recombination,0.8
edge_0118,PI,node_0003,node_0092,single_dehydrogenative_recombination,recombination,0.8
edge_0119,PI,node_0057,node_0092,single_dehydrogenative_recombination,recombination,0.8
edge_0120,PI,node_0003,node_0093,single_dehydrogenative_recombination,recombination,0.8
edge_0121,PI,node_0059,node_0093,single_dehydrogenative_recombination,recombination,0.8
edge_0122,PI,node_0003,node_0094,single_dehydrogenative_recombination,recombination,0.8
edge_0123,PI,node_0061,node_0094,single_dehydrogenative_recombination,recombination,0.8
edge_0124,PI,node_0003,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0125,PI,node_0063,node_0095,single_dehydrogenative_recombination,recombination,0.8
edge_0126,PI,node_0004,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0127,PI,node_0023,node_0096,single_dehydrogenative_recombination,recombination,0.8
edge_0128,PI,node_0004,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0129,PI,node_0025,node_0097,single_dehydrogenative_recombination,recombination,0.8
edge_0130,PI,node_0004,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0131,PI,node_0029,node_0098,single_dehydrogenative_recombination,recombination,0.8
edge_0132,PI,node_0004,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0133,PI,node_0031,node_0099,single_dehydrogenative_recombination,recombination,0.8
edge_0134,PI,node_0004,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0135,PI,node_0033,node_0100,single_dehydrogenative_recombination,recombination,0.8
edge_0136,PI,node_0004,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0137,PI,node_0035,node_0101,single_dehydrogenative_recombination,recombination,0.8
edge_0138,PI,node_0004,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0139,PI,node_0037,node_0102,single_dehydrogenative_recombination,recombination,0.8
edge_0140,PI,node_0004,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0141,PI,node_0041,node_0103,single_dehydrogenative_recombination,recombination,0.8
edge_0142,PI,node_0004,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0143,PI,node_0043,node_0104,single_dehydrogenative_recombination,recombination,0.8
edge_0144,PI,node_0004,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0145,PI,node_0045,node_0105,single_dehydrogenative_recombination,recombination,0.8
edge_0146,PI,node_0004,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0147,PI,node_0047,node_0106,single_dehydrogenative_recombination,recombination,0.8
edge_0148,PI,node_0004,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0149,PI,node_0049,node_0107,single_dehydrogenative_recombination,recombination,0.8
edge_0150,PI,node_0004,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0151,PI,node_0051,node_0108,single_dehydrogenative_recombination,recombination,0.8
edge_0152,PI,node_0004,node_0109,single_dehydrogenative_recombination,recombination,0.8
edge_0153,PI,node_0053,node_0109,single_dehydrogenative_recombination,recombination,0.8
edge_0154,PI,node_0004,node_0110,single_dehydrogenative_recombination,recombination,0.8
edge_0155,PI,node_0055,node_0110,single_dehydrogenative_recombination,recombination,0.8
edge_0156,PI,node_0004,node_0111,single_dehydrogenative_recombination,recombination,0.8
edge_0157,PI,node_0057,node_0111,single_dehydrogenative_recombination,recombination,0.8
edge_0158,PI,node_0004,node_0112,single_dehydrogenative_recombination,recombination,0.8
edge_0159,PI,node_0059,node_0112,single_dehydrogenative_recombination,recombination,0.8
edge_0160,PI,node_0004,node_0113,single_dehydrogenative_recombination,recombination,0.8
