node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PI,Polyimide (Kapton),C31H19N3O7,"{""C"": 31, ""H"": 19, ""N"": 3, ""O"": 7}",545.12229996265,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.26097554000747003,0.0,1,1,0
node_0002,PI,Polyimide (Kapton),C9H4NO3,"{""C"": 9, ""H"": 4, ""N"": 1, ""O"": 3}",174.01911799206,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;31;32;33;34;35;36;37;38;39;40;56;57;58;59,N,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PI,Polyimide (Kapton),C22H15N2O4,"{""C"": 22, ""H"": 15, ""N"": 2, ""O"": 4}",371.10318197059,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0004,PI,Polyimide (Kapton),C15H8NO3,"{""C"": 15, ""H"": 8, ""N"": 1, ""O"": 3}",250.05041812098,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;29;30;31;32;33;34;35;36;37;38;39;40;41;42;54;55;56;57;58;59,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0005,PI,Polyimide (Kapton),C16H11N2O4,"{""C"": 16, ""H"": 11, ""N"": 2, ""O"": 4}",295.07188184167,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-O bond break(s)",node_0001,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;43;44;45;46;47;48;49;50;51;52;53,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0006,PI,Polyimide (Kapton),C15H8NO4,"{""C"": 15, ""H"": 8, ""N"": 1, ""O"": 4}",266.04533274055,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-O bond break(s)",node_0001,0;1;2;3;4;5;6;7;29;30;31;32;33;34;35;36;37;38;39;40;41;42;54;55;56;57;58;59,O,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0007,PI,Polyimide (Kapton),C16H11N2O3,"{""C"": 16, ""H"": 11, ""N"": 2, ""O"": 3}",279.0769672221,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-O bond break(s)",node_0001,8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;43;44;45;46;47;48;49;50;51;52;53,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0008,PI,Polyimide (Kapton),C21H12NO4,"{""C"": 21, ""H"": 12, ""N"": 1, ""O"": 4}",342.07663286947,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;52;53;54;55;56;57;58;59,C,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0009,PI,Polyimide (Kapton),C10H7N2O3,"{""C"": 10, ""H"": 7, ""N"": 2, ""O"": 3}",203.04566709318001,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;45;46;47;48;49;50;51,N,1,0,,,,,0.64,0.0,0.384,0.0,1,1,0
node_0010,PI,Polyimide (Kapton),C31H19N3O7,"{""C"": 31, ""H"": 19, ""N"": 3, ""O"": 7}",545.12229996265,neutral,0,fragment,bond_break,"M | fragment C,H,N,O from C-N bond break(s)",node_0001,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59,,1,0,,,,,0.64,0.0,0.37497554000747,0.0,1,1,0
