edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,POMC,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,POMC,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,POMC,node_0002,node_0004,h_shift_-1,h_shift,0.9
edge_0004,POMC,node_0002,node_0005,h_shift_+1,h_shift,0.9
edge_0005,POMC,node_0003,node_0006,h_shift_-1,h_shift,0.9
edge_0006,POMC,node_0003,node_0007,h_shift_+1,h_shift,0.9
edge_0007,POMC,node_0001,node_0008,oxonium_CH3O,feature_rule,0.7
edge_0008,POMC,node_0001,node_0009,oxonium_C2H3O,feature_rule,0.7
edge_0009,POMC,node_0001,node_0010,oxonium_C2H4O,feature_rule,0.7
edge_0010,POMC,node_0001,node_0011,oxonium_C2H5O,feature_rule,0.7
edge_0011,POMC,node_0001,node_0012,oxonium_C2H3O2,feature_rule,0.7
edge_0012,POMC,node_0001,node_0013,oxonium_C2H5O2,feature_rule,0.7
edge_0013,POMC,node_0001,node_0014,oxonium_C3H3O,feature_rule,0.7
edge_0014,POMC,node_0001,node_0015,oxonium_C3H5O,feature_rule,0.7
edge_0015,POMC,node_0001,node_0016,oxonium_C3H5O2,feature_rule,0.7
edge_0016,POMC,node_0001,node_0017,oxonium_C3H5O3,feature_rule,0.7
edge_0017,POMC,node_0001,node_0018,oxonium_C3H6O,feature_rule,0.7
edge_0018,POMC,node_0001,node_0019,oxonium_C3H6O2,feature_rule,0.7
edge_0019,POMC,node_0001,node_0020,oxonium_C3H6O3,feature_rule,0.7
edge_0020,POMC,node_0001,node_0021,oxonium_C3H7O,feature_rule,0.7
edge_0021,POMC,node_0001,node_0022,oxonium_C3H7O2,feature_rule,0.7
edge_0022,POMC,node_0001,node_0023,oxonium_C3H7O3,feature_rule,0.7
edge_0023,POMC,node_0001,node_0024,oxonium_neg_CHO2,feature_rule,0.7
edge_0024,POMC,node_0001,node_0025,oxonium_neg_C2H3O2,feature_rule,0.7
edge_0025,POMC,node_0001,node_0026,oxonium_neg_C2H5O2,feature_rule,0.7
edge_0026,POMC,node_0001,node_0027,oxonium_neg_C3H5O2,feature_rule,0.7
edge_0027,POMC,node_0001,node_0028,oxonium_neg_C3H5O3,feature_rule,0.7
edge_0028,POMC,node_0001,node_0029,small_hc_C2H3,feature_rule,0.7
edge_0029,POMC,node_0001,node_0030,small_hc_C2H5,feature_rule,0.7
edge_0030,POMC,node_0001,node_0031,small_hc_C2,feature_rule,0.7
edge_0031,POMC,node_0001,node_0032,small_hc_C2H,feature_rule,0.7
edge_0032,POMC,node_0001,node_0033,o_small_CHO,feature_rule,0.7
edge_0033,POMC,node_0001,node_0034,o_small_CH3O,feature_rule,0.7
edge_0034,POMC,node_0001,node_0035,o_small_C2H3O,feature_rule,0.7
edge_0035,POMC,node_0001,node_0036,o_small_C2H5O,feature_rule,0.7
edge_0036,POMC,node_0001,node_0037,o_small_CHO,feature_rule,0.7
edge_0037,POMC,node_0001,node_0038,o_small_C2HO,feature_rule,0.7
edge_0038,POMC,node_0001,node_0039,o_small_C2H3O,feature_rule,0.7
edge_0039,POMC,node_0001,node_0040,electron_loss,ionization,1.0
edge_0040,POMC,node_0001,node_0041,electron_gain,ionization,1.0
edge_0041,POMC,node_0001,node_0042,protonation,ionization,1.0
edge_0042,POMC,node_0001,node_0043,deprotonation,ionization,1.0
edge_0043,POMC,node_0002,node_0044,electron_loss,ionization,1.0
edge_0044,POMC,node_0002,node_0045,electron_gain,ionization,1.0
edge_0045,POMC,node_0002,node_0046,protonation,ionization,1.0
edge_0046,POMC,node_0002,node_0047,deprotonation,ionization,1.0
edge_0047,POMC,node_0003,node_0048,electron_loss,ionization,1.0
edge_0048,POMC,node_0003,node_0049,electron_gain,ionization,1.0
edge_0049,POMC,node_0003,node_0050,protonation,ionization,1.0
edge_0050,POMC,node_0003,node_0051,deprotonation,ionization,1.0
edge_0051,POMC,node_0004,node_0052,electron_loss,ionization,1.0
edge_0052,POMC,node_0004,node_0053,electron_gain,ionization,1.0
edge_0053,POMC,node_0005,node_0054,electron_loss,ionization,1.0
edge_0054,POMC,node_0005,node_0055,electron_gain,ionization,1.0
edge_0055,POMC,node_0006,node_0056,electron_loss,ionization,1.0
edge_0056,POMC,node_0006,node_0057,electron_gain,ionization,1.0
edge_0057,POMC,node_0007,node_0058,electron_loss,ionization,1.0
edge_0058,POMC,node_0007,node_0059,electron_gain,ionization,1.0
