node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,POMC,Polyoxymethylene Copolymer,C2H6O,"{""C"": 2, ""H"": 6, ""O"": 1}",46.04186481295,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,POMC,Polyoxymethylene Copolymer,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,1;2;6;7;8,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,POMC,Polyoxymethylene Copolymer,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,neutral,0,fragment,bond_break,"M | fragment C,H,O from C-O bond break(s)",node_0001,0;1;3;4;5,O,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,POMC,Polyoxymethylene Copolymer,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0002,1;2;6;7;8,O,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0005,POMC,Polyoxymethylene Copolymer,CH4O,"{""C"": 1, ""H"": 4, ""O"": 1}",32.02621474849,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0002,1;2;6;7;8,O,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0006,POMC,Polyoxymethylene Copolymer,CH2O,"{""C"": 1, ""H"": 2, ""O"": 1}",30.01056468403,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,O from C-O bond break(s) | h_shift_-1",node_0003,0;1;3;4;5,O,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0007,POMC,Polyoxymethylene Copolymer,CH4O,"{""C"": 1, ""H"": 4, ""O"": 1}",32.02621474849,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,O from C-O bond break(s) | h_shift_+1",node_0003,0;1;3;4;5,O,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0008,POMC,Polyoxymethylene Copolymer,CH3O,"{""C"": 1, ""H"": 3, ""O"": 1}",31.01838971626,positive,1,feature_rule,oxonium_CH3O,M | acetal_or_ether | acetal_oxonium_series | oxonium_CH3O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,1.0,4,2,4
node_0009,POMC,Polyoxymethylene Copolymer,C2H3O,"{""C"": 2, ""H"": 3, ""O"": 1}",43.01838971626,positive,1,feature_rule,oxonium_C2H3O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C2H3O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.8800000000000001,2,1,2
node_0010,POMC,Polyoxymethylene Copolymer,C2H4O,"{""C"": 2, ""H"": 4, ""O"": 1}",44.02621474849,positive,1,feature_rule,oxonium_C2H4O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C2H4O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0011,POMC,Polyoxymethylene Copolymer,C2H5O,"{""C"": 2, ""H"": 5, ""O"": 1}",45.03403978072,positive,1,feature_rule,oxonium_C2H5O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C2H5O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.8800000000000001,2,1,2
node_0012,POMC,Polyoxymethylene Copolymer,C2H3O2,"{""C"": 2, ""H"": 3, ""O"": 2}",59.01330433583,positive,1,feature_rule,oxonium_C2H3O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_C2H3O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0013,POMC,Polyoxymethylene Copolymer,C2H5O2,"{""C"": 2, ""H"": 5, ""O"": 2}",61.028954400290004,positive,1,feature_rule,oxonium_C2H5O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_C2H5O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0014,POMC,Polyoxymethylene Copolymer,C3H3O,"{""C"": 3, ""H"": 3, ""O"": 1}",55.01838971626,positive,1,feature_rule,oxonium_C3H3O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H3O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0015,POMC,Polyoxymethylene Copolymer,C3H5O,"{""C"": 3, ""H"": 5, ""O"": 1}",57.03403978072,positive,1,feature_rule,oxonium_C3H5O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H5O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0016,POMC,Polyoxymethylene Copolymer,C3H5O2,"{""C"": 3, ""H"": 5, ""O"": 2}",73.02895440029,positive,1,feature_rule,oxonium_C3H5O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H5O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0017,POMC,Polyoxymethylene Copolymer,C3H5O3,"{""C"": 3, ""H"": 5, ""O"": 3}",89.02386901986,positive,1,feature_rule,oxonium_C3H5O3,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H5O3,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0018,POMC,Polyoxymethylene Copolymer,C3H6O,"{""C"": 3, ""H"": 6, ""O"": 1}",58.04186481295,positive,1,feature_rule,oxonium_C3H6O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H6O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0019,POMC,Polyoxymethylene Copolymer,C3H6O2,"{""C"": 3, ""H"": 6, ""O"": 2}",74.03677943252,positive,1,feature_rule,oxonium_C3H6O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H6O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0020,POMC,Polyoxymethylene Copolymer,C3H6O3,"{""C"": 3, ""H"": 6, ""O"": 3}",90.03169405209,positive,1,feature_rule,oxonium_C3H6O3,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H6O3,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0021,POMC,Polyoxymethylene Copolymer,C3H7O,"{""C"": 3, ""H"": 7, ""O"": 1}",59.04968984518,positive,1,feature_rule,oxonium_C3H7O,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H7O,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0022,POMC,Polyoxymethylene Copolymer,C3H7O2,"{""C"": 3, ""H"": 7, ""O"": 2}",75.04460446475,positive,1,feature_rule,oxonium_C3H7O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H7O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0023,POMC,Polyoxymethylene Copolymer,C3H7O3,"{""C"": 3, ""H"": 7, ""O"": 3}",91.03951908432,positive,1,feature_rule,oxonium_C3H7O3,M | acetal_or_ether | acetal_oxonium_series | oxonium_C3H7O3,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0024,POMC,Polyoxymethylene Copolymer,CHO2,"{""C"": 1, ""H"": 1, ""O"": 2}",44.99765427137,negative,-1,feature_rule,oxonium_neg_CHO2,M | acetal_or_ether | acetal_oxonium_series | oxonium_neg_CHO2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
node_0025,POMC,Polyoxymethylene Copolymer,C2H3O2,"{""C"": 2, ""H"": 3, ""O"": 2}",59.01330433583,negative,-1,feature_rule,oxonium_neg_C2H3O2,M | acetal_or_ether | acetal_oxonium_series | oxonium_neg_C2H3O2,node_0001,,,0,0,,acetal_oxonium_series,acetal_or_ether,"acetal/ether C-O-C motif present; heavy element counts={'C': 2, 'O': 1, 'H': 6}",0.7,0.8,0.79,0.79,1,1,1
