edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PPS,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PPS,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PPS,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PPS,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PPS,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PPS,node_0002,node_0007,h_shift_-1,h_shift,0.9
edge_0007,PPS,node_0002,node_0008,h_shift_+1,h_shift,0.9
edge_0008,PPS,node_0003,node_0009,h_shift_-1,h_shift,0.9
edge_0009,PPS,node_0003,node_0010,h_shift_+1,h_shift,0.9
edge_0010,PPS,node_0004,node_0011,h_shift_-1,h_shift,0.9
edge_0011,PPS,node_0004,node_0012,h_shift_+1,h_shift,0.9
edge_0012,PPS,node_0005,node_0013,h_shift_-1,h_shift,0.9
edge_0013,PPS,node_0005,node_0014,h_shift_+1,h_shift,0.9
edge_0014,PPS,node_0006,node_0015,h_shift_-1,h_shift,0.9
edge_0015,PPS,node_0006,node_0016,h_shift_+1,h_shift,0.9
edge_0016,PPS,node_0002,node_0017,single_dehydrogenative_recombination,recombination,0.8
edge_0017,PPS,node_0009,node_0017,single_dehydrogenative_recombination,recombination,0.8
edge_0018,PPS,node_0002,node_0018,single_dehydrogenative_recombination,recombination,0.8
edge_0019,PPS,node_0011,node_0018,single_dehydrogenative_recombination,recombination,0.8
edge_0020,PPS,node_0002,node_0019,single_dehydrogenative_recombination,recombination,0.8
edge_0021,PPS,node_0015,node_0019,single_dehydrogenative_recombination,recombination,0.8
edge_0022,PPS,node_0003,node_0020,single_dehydrogenative_recombination,recombination,0.8
edge_0023,PPS,node_0007,node_0020,single_dehydrogenative_recombination,recombination,0.8
edge_0024,PPS,node_0003,node_0021,single_dehydrogenative_recombination,recombination,0.8
edge_0025,PPS,node_0011,node_0021,single_dehydrogenative_recombination,recombination,0.8
edge_0026,PPS,node_0003,node_0022,single_dehydrogenative_recombination,recombination,0.8
edge_0027,PPS,node_0013,node_0022,single_dehydrogenative_recombination,recombination,0.8
edge_0028,PPS,node_0003,node_0023,single_dehydrogenative_recombination,recombination,0.8
edge_0029,PPS,node_0015,node_0023,single_dehydrogenative_recombination,recombination,0.8
edge_0030,PPS,node_0004,node_0024,single_dehydrogenative_recombination,recombination,0.8
edge_0031,PPS,node_0007,node_0024,single_dehydrogenative_recombination,recombination,0.8
edge_0032,PPS,node_0004,node_0025,single_dehydrogenative_recombination,recombination,0.8
edge_0033,PPS,node_0009,node_0025,single_dehydrogenative_recombination,recombination,0.8
edge_0034,PPS,node_0004,node_0026,single_dehydrogenative_recombination,recombination,0.8
edge_0035,PPS,node_0013,node_0026,single_dehydrogenative_recombination,recombination,0.8
edge_0036,PPS,node_0004,node_0027,single_dehydrogenative_recombination,recombination,0.8
edge_0037,PPS,node_0015,node_0027,single_dehydrogenative_recombination,recombination,0.8
edge_0038,PPS,node_0005,node_0028,single_dehydrogenative_recombination,recombination,0.8
edge_0039,PPS,node_0009,node_0028,single_dehydrogenative_recombination,recombination,0.8
edge_0040,PPS,node_0005,node_0029,single_dehydrogenative_recombination,recombination,0.8
edge_0041,PPS,node_0011,node_0029,single_dehydrogenative_recombination,recombination,0.8
edge_0042,PPS,node_0005,node_0030,single_dehydrogenative_recombination,recombination,0.8
edge_0043,PPS,node_0015,node_0030,single_dehydrogenative_recombination,recombination,0.8
edge_0044,PPS,node_0006,node_0031,single_dehydrogenative_recombination,recombination,0.8
edge_0045,PPS,node_0007,node_0031,single_dehydrogenative_recombination,recombination,0.8
edge_0046,PPS,node_0006,node_0032,single_dehydrogenative_recombination,recombination,0.8
edge_0047,PPS,node_0009,node_0032,single_dehydrogenative_recombination,recombination,0.8
edge_0048,PPS,node_0006,node_0033,single_dehydrogenative_recombination,recombination,0.8
edge_0049,PPS,node_0011,node_0033,single_dehydrogenative_recombination,recombination,0.8
edge_0050,PPS,node_0006,node_0034,single_dehydrogenative_recombination,recombination,0.8
edge_0051,PPS,node_0013,node_0034,single_dehydrogenative_recombination,recombination,0.8
edge_0052,PPS,node_0007,node_0035,dehydrogenative_coupling,recombination,0.8
edge_0053,PPS,node_0009,node_0035,dehydrogenative_coupling,recombination,0.8
edge_0054,PPS,node_0007,node_0036,h_transfer_recombination,recombination,0.8
edge_0055,PPS,node_0010,node_0036,h_transfer_recombination,recombination,0.8
edge_0056,PPS,node_0007,node_0037,dehydrogenative_coupling,recombination,0.8
edge_0057,PPS,node_0011,node_0037,dehydrogenative_coupling,recombination,0.8
edge_0058,PPS,node_0007,node_0038,h_transfer_recombination,recombination,0.8
edge_0059,PPS,node_0012,node_0038,h_transfer_recombination,recombination,0.8
edge_0060,PPS,node_0007,node_0039,dehydrogenative_coupling,recombination,0.8
edge_0061,PPS,node_0015,node_0039,dehydrogenative_coupling,recombination,0.8
edge_0062,PPS,node_0007,node_0040,h_transfer_recombination,recombination,0.8
edge_0063,PPS,node_0016,node_0040,h_transfer_recombination,recombination,0.8
edge_0064,PPS,node_0008,node_0041,h_transfer_recombination,recombination,0.8
edge_0065,PPS,node_0009,node_0041,h_transfer_recombination,recombination,0.8
edge_0066,PPS,node_0008,node_0042,h_transfer_recombination,recombination,0.8
edge_0067,PPS,node_0011,node_0042,h_transfer_recombination,recombination,0.8
edge_0068,PPS,node_0008,node_0043,h_transfer_recombination,recombination,0.8
edge_0069,PPS,node_0015,node_0043,h_transfer_recombination,recombination,0.8
edge_0070,PPS,node_0009,node_0044,dehydrogenative_coupling,recombination,0.8
edge_0071,PPS,node_0011,node_0044,dehydrogenative_coupling,recombination,0.8
edge_0072,PPS,node_0009,node_0045,h_transfer_recombination,recombination,0.8
edge_0073,PPS,node_0012,node_0045,h_transfer_recombination,recombination,0.8
edge_0074,PPS,node_0009,node_0046,dehydrogenative_coupling,recombination,0.8
edge_0075,PPS,node_0013,node_0046,dehydrogenative_coupling,recombination,0.8
edge_0076,PPS,node_0009,node_0047,h_transfer_recombination,recombination,0.8
edge_0077,PPS,node_0014,node_0047,h_transfer_recombination,recombination,0.8
edge_0078,PPS,node_0009,node_0048,dehydrogenative_coupling,recombination,0.8
edge_0079,PPS,node_0015,node_0048,dehydrogenative_coupling,recombination,0.8
edge_0080,PPS,node_0009,node_0049,h_transfer_recombination,recombination,0.8
edge_0081,PPS,node_0016,node_0049,h_transfer_recombination,recombination,0.8
edge_0082,PPS,node_0010,node_0050,h_transfer_recombination,recombination,0.8
edge_0083,PPS,node_0011,node_0050,h_transfer_recombination,recombination,0.8
edge_0084,PPS,node_0010,node_0051,h_transfer_recombination,recombination,0.8
edge_0085,PPS,node_0013,node_0051,h_transfer_recombination,recombination,0.8
edge_0086,PPS,node_0010,node_0052,h_transfer_recombination,recombination,0.8
edge_0087,PPS,node_0015,node_0052,h_transfer_recombination,recombination,0.8
edge_0088,PPS,node_0011,node_0053,dehydrogenative_coupling,recombination,0.8
