compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PPS,Polyphenylene Sulfide,C6H4S,negative,-1,108.00337130332,0.844,0.79,13,4,11,feature_rule;fragment;fragment_h_shift;recombination,node_0069,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_C6H4S,node_0069;node_0116;node_0120;node_0134;node_0138;node_0158;node_0202;node_0206;node_0218;node_0244;node_0256;node_0324;node_0328,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,C6H5S,positive,1,109.01119633555,0.844,0.79,11,3,11,feature_rule;fragment;recombination,node_0067,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_C6H5S,node_0067;node_0113;node_0117;node_0159;node_0203;node_0207;node_0219;node_0241;node_0253;node_0321;node_0325,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,C6H5S,negative,-1,109.01119633555,0.844,0.79,7,3,7,feature_rule;fragment;recombination,node_0068,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_C6H5S,node_0068;node_0114;node_0118;node_0242;node_0254;node_0322;node_0326,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,C6H6S,positive,1,110.01902136778,0.844,0.79,9,4,7,feature_rule;fragment;fragment_h_shift;recombination,node_0070,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_C6H6S,node_0070;node_0115;node_0119;node_0135;node_0139;node_0243;node_0255;node_0323;node_0327,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,HS,negative,-1,32.97989620663,0.844,0.79,4,2,4,feature_rule;fragment,node_0065,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_HS,node_0065;node_0103;node_0110;node_0122,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,S,negative,-1,31.9720711744,0.844,0.79,6,3,4,feature_rule;fragment;fragment_h_shift,node_0064,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_S,node_0064;node_0102;node_0112;node_0124;node_0130;node_0142,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,C6H5,positive,1,77.03912516115,0.84,0.79,4,3,3,feature_rule;fragment;fragment_h_shift,node_0062,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0062;node_0084;node_0127;node_0147,feature_supported_candidate,1.0
PPS,Polyphenylene Sulfide,C6H5,negative,-1,77.03912516115,0.798,0.79,2,2,2,feature_rule;fragment_h_shift,node_0063,M | aromatic_ring | aromatic_stable_fragments | aromatic_C6H5,node_0063;node_0148,feature_supported_candidate,0.9300000000000002
PPS,Polyphenylene Sulfide,CS,negative,-1,43.9720711744,0.647,0.79,2,1,2,feature_rule,node_0066,M | sulfur_aromatic | sulfur_aromatic_fragments | sulfur_aromatic_CS,node_0066;node_0104,feature_supported_candidate,0.8800000000000001
PPS,Polyphenylene Sulfide,C5,negative,-1,60.0,0.5098,0.6580000000000001,1,1,1,feature_rule,node_0094,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C5,node_0094,feature_supported_candidate,0.6580000000000001
