node_id,compound_id,source_name,formula,counts,exact_mass,ion_mode,charge,generation_type,operation,path,source_nodes,fragment_atom_indices,reaction_site_elements,broken_bonds,h_shift,recombination_loss,rule_pack,trigger_feature,evidence,structure_score,ionization_score,path_score,formula_score,path_count,mechanism_count,source_fragment_count
node_0001,PPS,Polyphenylene Sulfide,C6H6S2,"{""C"": 6, ""H"": 6, ""S"": 2}",141.99109254218,neutral,0,parent,source_molecule,M,,,,0,0,,,,,0.45,0.0,0.32,0.0,1,1,0
node_0002,PPS,Polyphenylene Sulfide,HS,"{""H"": 1, ""S"": 1}",32.97989620663,neutral,0,fragment,bond_break,"M | single-atom H,S from C-S bond break",node_0001,0;8,S,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0003,PPS,Polyphenylene Sulfide,C6H5S,"{""C"": 6, ""H"": 5, ""S"": 1}",109.01119633555,neutral,0,fragment,bond_break,"M | fragment C,H,S from C-S bond break(s)",node_0001,1;2;3;4;5;6;7;9;10;11;12;13,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0004,PPS,Polyphenylene Sulfide,C6H5S,"{""C"": 6, ""H"": 5, ""S"": 1}",109.01119633555,neutral,0,fragment,bond_break,"M | fragment C,H,S from C-S bond break(s)",node_0001,0;1;2;3;4;6;7;8;9;10;12;13,C,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0005,PPS,Polyphenylene Sulfide,HS,"{""H"": 1, ""S"": 1}",32.97989620663,neutral,0,fragment,bond_break,"M | single-atom H,S from C-S bond break",node_0001,5;11,S,1,0,,,,,0.64,0.0,0.434,0.0,1,1,0
node_0006,PPS,Polyphenylene Sulfide,C6H4,"{""C"": 6, ""H"": 4}",76.03130012892,neutral,0,fragment,bond_break,"M | fragment C,H from C-S+C-S bond break(s)",node_0001,1;2;3;4;6;7;9;10;12;13,C;C,2,0,,,,,0.5599999999999999,0.0,0.38599999999999995,0.0,1,1,0
node_0007,PPS,Polyphenylene Sulfide,S,"{""S"": 1}",31.9720711744,neutral,0,fragment_h_shift,h_shift_-1,"M | single-atom H,S from C-S bond break | h_shift_-1",node_0002,0;8,S,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0008,PPS,Polyphenylene Sulfide,H2S,"{""H"": 2, ""S"": 1}",33.98772123886,neutral,0,fragment_h_shift,h_shift_+1,"M | single-atom H,S from C-S bond break | h_shift_+1",node_0002,0;8,S,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0009,PPS,Polyphenylene Sulfide,C6H4S,"{""C"": 6, ""H"": 4, ""S"": 1}",108.00337130332,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,S from C-S bond break(s) | h_shift_-1",node_0003,1;2;3;4;5;6;7;9;10;11;12;13,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0010,PPS,Polyphenylene Sulfide,C6H6S,"{""C"": 6, ""H"": 6, ""S"": 1}",110.01902136778,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,S from C-S bond break(s) | h_shift_+1",node_0003,1;2;3;4;5;6;7;9;10;11;12;13,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0011,PPS,Polyphenylene Sulfide,C6H4S,"{""C"": 6, ""H"": 4, ""S"": 1}",108.00337130332,neutral,0,fragment_h_shift,h_shift_-1,"M | fragment C,H,S from C-S bond break(s) | h_shift_-1",node_0004,0;1;2;3;4;6;7;8;9;10;12;13,C,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0012,PPS,Polyphenylene Sulfide,C6H6S,"{""C"": 6, ""H"": 6, ""S"": 1}",110.01902136778,neutral,0,fragment_h_shift,h_shift_+1,"M | fragment C,H,S from C-S bond break(s) | h_shift_+1",node_0004,0;1;2;3;4;6;7;8;9;10;12;13,C,1,1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
node_0013,PPS,Polyphenylene Sulfide,S,"{""S"": 1}",31.9720711744,neutral,0,fragment_h_shift,h_shift_-1,"M | single-atom H,S from C-S bond break | h_shift_-1",node_0005,5;11,S,1,-1,,,,,0.6000000000000001,0.0,0.38000000000000006,0.0,1,1,0
