edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_0001,PTFE,node_0001,node_0002,bond_break,fragmentation,1.0
edge_0002,PTFE,node_0001,node_0003,bond_break,fragmentation,1.0
edge_0003,PTFE,node_0001,node_0004,bond_break,fragmentation,1.0
edge_0004,PTFE,node_0001,node_0005,bond_break,fragmentation,1.0
edge_0005,PTFE,node_0001,node_0006,bond_break,fragmentation,1.0
edge_0006,PTFE,node_0001,node_0007,bond_break,fragmentation,1.0
edge_0007,PTFE,node_0001,node_0008,bond_break,fragmentation,1.0
edge_0008,PTFE,node_0001,node_0009,bond_break,fragmentation,1.0
edge_0009,PTFE,node_0001,node_0010,bond_break,fragmentation,1.0
edge_0010,PTFE,node_0001,node_0011,bond_break,fragmentation,1.0
edge_0011,PTFE,node_0001,node_0012,bond_break,fragmentation,1.0
edge_0012,PTFE,node_0001,node_0013,bond_break,fragmentation,1.0
edge_0013,PTFE,node_0001,node_0014,bond_break,fragmentation,1.0
edge_0014,PTFE,node_0001,node_0015,bond_break,fragmentation,1.0
edge_0015,PTFE,node_0001,node_0016,bond_break,fragmentation,1.0
edge_0016,PTFE,node_0001,node_0017,bond_break,fragmentation,1.0
edge_0017,PTFE,node_0001,node_0018,bond_break,fragmentation,1.0
edge_0018,PTFE,node_0001,node_0019,bond_break,fragmentation,1.0
edge_0019,PTFE,node_0001,node_0020,bond_break,fragmentation,1.0
edge_0020,PTFE,node_0001,node_0021,bond_break,fragmentation,1.0
edge_0021,PTFE,node_0001,node_0022,bond_break,fragmentation,1.0
edge_0022,PTFE,node_0001,node_0023,bond_break,fragmentation,1.0
edge_0023,PTFE,node_0001,node_0024,bond_break,fragmentation,1.0
edge_0024,PTFE,node_0001,node_0025,bond_break,fragmentation,1.0
edge_0025,PTFE,node_0001,node_0026,bond_break,fragmentation,1.0
edge_0026,PTFE,node_0001,node_0027,bond_break,fragmentation,1.0
edge_0027,PTFE,node_0001,node_0028,bond_break,fragmentation,1.0
edge_0028,PTFE,node_0002,node_0029,h_shift_-1,h_shift,0.9
edge_0029,PTFE,node_0002,node_0030,h_shift_+1,h_shift,0.9
edge_0030,PTFE,node_0003,node_0031,h_shift_+1,h_shift,0.9
edge_0031,PTFE,node_0004,node_0032,h_shift_-1,h_shift,0.9
edge_0032,PTFE,node_0004,node_0033,h_shift_+1,h_shift,0.9
edge_0033,PTFE,node_0005,node_0034,h_shift_+1,h_shift,0.9
edge_0034,PTFE,node_0006,node_0035,h_shift_-1,h_shift,0.9
edge_0035,PTFE,node_0006,node_0036,h_shift_+1,h_shift,0.9
edge_0036,PTFE,node_0007,node_0037,h_shift_+1,h_shift,0.9
edge_0037,PTFE,node_0008,node_0038,h_shift_-1,h_shift,0.9
edge_0038,PTFE,node_0008,node_0039,h_shift_+1,h_shift,0.9
edge_0039,PTFE,node_0009,node_0040,h_shift_+1,h_shift,0.9
edge_0040,PTFE,node_0010,node_0041,h_shift_-1,h_shift,0.9
edge_0041,PTFE,node_0010,node_0042,h_shift_+1,h_shift,0.9
edge_0042,PTFE,node_0011,node_0043,h_shift_+1,h_shift,0.9
edge_0043,PTFE,node_0012,node_0044,h_shift_-1,h_shift,0.9
edge_0044,PTFE,node_0012,node_0045,h_shift_+1,h_shift,0.9
edge_0045,PTFE,node_0013,node_0046,h_shift_+1,h_shift,0.9
edge_0046,PTFE,node_0014,node_0047,h_shift_-1,h_shift,0.9
edge_0047,PTFE,node_0014,node_0048,h_shift_+1,h_shift,0.9
edge_0048,PTFE,node_0015,node_0049,h_shift_-1,h_shift,0.9
edge_0049,PTFE,node_0015,node_0050,h_shift_+1,h_shift,0.9
edge_0050,PTFE,node_0016,node_0051,h_shift_-1,h_shift,0.9
edge_0051,PTFE,node_0016,node_0052,h_shift_+1,h_shift,0.9
edge_0052,PTFE,node_0017,node_0053,h_shift_-1,h_shift,0.9
edge_0053,PTFE,node_0017,node_0054,h_shift_+1,h_shift,0.9
