compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
PTFE,Polytetrafluoroethylene,C2F3,positive,1,80.99520948819,1.0,0.79,19,3,19,feature_rule;fragment_h_shift;recombination,node_0986,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_0986;node_1150;node_1158;node_1162;node_1166;node_1174;node_1178;node_1182;node_1192;node_1196;node_1200;node_2299;node_2311;node_2353;node_2365;node_2407;node_2419;node_3071;node_3099
PTFE,Polytetrafluoroethylene,C2F3,negative,-1,80.99520948819,1.0,0.79,39,4,29,feature_rule;fragment;fragment_h_shift;recombination,node_0995,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F3,node_0995;node_1060;node_1068;node_1072;node_1076;node_1084;node_1088;node_1092;node_1105;node_1109;node_1113;node_1151;node_1159;node_1163;node_1167;node_1175;node_1179;node_1183;node_1193;node_1197;node_1201;node_1367;node_1383;node_1745;node_2017;node_2300;node_2312;node_2354;node_2366;node_2408;node_2420;node_3072;node_3100;node_3930;node_3934;node_3938;node_4324;node_4328;node_4332
PTFE,Polytetrafluoroethylene,C2F4,positive,1,99.99361265092,1.0,0.79,11,3,11,feature_rule;fragment_h_shift;recombination,node_0987,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_0987;node_1114;node_1120;node_1132;node_1138;node_1144;node_1429;node_1441;node_2284;node_2338;node_2392
PTFE,Polytetrafluoroethylene,C2F4,negative,-1,99.99361265092,1.0,0.79,21,4,16,feature_rule;fragment;fragment_h_shift;recombination,node_0996,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F4,node_0996;node_1018;node_1025;node_1039;node_1046;node_1053;node_1115;node_1121;node_1133;node_1139;node_1145;node_1430;node_1442;node_2285;node_2339;node_2393;node_3130;node_3134;node_3138;node_3239;node_3255
PTFE,Polytetrafluoroethylene,C2F5,negative,-1,118.99201581365,1.0,0.79,4,3,4,feature_rule;parent;recombination,node_0997,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C2F5,node_0997;node_1014;node_1415;node_3042
PTFE,Polytetrafluoroethylene,C2H2F2,positive,1,64.01245638992,1.0,0.79,5,2,5,feature_rule;recombination,node_1003,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2H2F2,node_1003;node_1776;node_2036;node_3902;node_3972
PTFE,Polytetrafluoroethylene,C2HF2,positive,1,63.00463135769,1.0,0.79,4,2,4,feature_rule;recombination,node_1001,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2HF2,node_1001;node_1774;node_2034;node_3901
PTFE,Polytetrafluoroethylene,C2HF4,positive,1,101.00143768315,1.0,0.79,16,3,16,feature_rule;fragment;recombination,node_1004,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_C2HF4,node_1004;node_1015;node_1022;node_1036;node_1043;node_1050;node_1431;node_1443;node_2286;node_2340;node_2394;node_3127;node_3131;node_3135;node_3236;node_3252
PTFE,Polytetrafluoroethylene,C3F5,positive,1,130.99201581365,1.0,0.79,51,2,51,feature_rule;recombination,node_0990,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_0990;node_2296;node_2302;node_2305;node_2308;node_2314;node_2317;node_2320;node_2323;node_2326;node_2329;node_2350;node_2356;node_2359;node_2362;node_2368;node_2371;node_2374;node_2377;node_2380;node_2383;node_2404;node_2410;node_2413;node_2416;node_2422;node_2425;node_2428;node_2431;node_2434;node_2437;node_2690;node_2718;node_2886;node_2914;node_3064;node_3078;node_3085;node_3092;node_3106;node_3113;node_3120;node_3139;node_3146;node_3153;node_3301;node_3329;node_3460;node_3488;node_3608;node_3636
PTFE,Polytetrafluoroethylene,C3F5,negative,-1,130.99201581365,1.0,0.79,121,2,121,feature_rule;recombination,node_0998,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F5,node_0998;node_1231;node_1247;node_1299;node_1315;node_1363;node_1371;node_1375;node_1379;node_1387;node_1391;node_1395;node_1399;node_1403;node_1407;node_1489;node_1505;node_1557;node_1573;node_1625;node_1641;node_1677;node_1737;node_1741;node_1749;node_1753;node_1757;node_1813;node_1881;node_1949;node_2009;node_2013;node_2021;node_2025;node_2029;node_2085;node_2153;node_2221;node_2297;node_2303;node_2306;node_2309;node_2315;node_2318;node_2321;node_2324;node_2327;node_2330;node_2351;node_2357;node_2360;node_2363;node_2369;node_2372;node_2375;node_2378;node_2381;node_2384;node_2405;node_2411;node_2414;node_2417;node_2423;node_2426;node_2429;node_2432;node_2435;node_2438;node_2451;node_2519;node_2587;node_2691;node_2719;node_2887;node_2915;node_3065;node_3079;node_3086;node_3093;node_3107;node_3114;node_3121;node_3140;node_3147;node_3154;node_3302;node_3330;node_3461;node_3489;node_3609;node_3637;node_3804;node_3808;node_3812;node_4045;node_4049;node_4053;node_4149;node_4153;node_4157;node_4242;node_4246;node_4250;node_4395;node_4399;node_4403;node_4455;node_4459;node_4463;node_4504;node_4508;node_4512;node_4549;node_4553;node_4557;node_4561;node_4565;node_4569;node_4573;node_4577;node_4581
PTFE,Polytetrafluoroethylene,C3F7,positive,1,168.98882213911,1.0,0.79,6,2,6,feature_rule;recombination,node_0991,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_C3F7,node_0991;node_1408;node_1411;node_1417;node_1420;node_1423
PTFE,Polytetrafluoroethylene,CF,negative,-1,30.99840316273,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_0993,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF,node_0993;node_1064;node_1080;node_1155;node_1171
PTFE,Polytetrafluoroethylene,CF2,positive,1,49.99680632546,1.0,0.79,5,3,5,feature_rule;fragment;fragment_h_shift,node_0984,M | fluorocarbon_motif | fluorocarbon_fragmentation | diagnostic_CF2,node_0984;node_1093;node_1096;node_1099;node_1126
PTFE,Polytetrafluoroethylene,CH2F,positive,1,33.01405322719,1.0,0.79,5,3,3,feature_rule;fragment;fragment_h_shift,node_1000,M | fluorocarbon_motif | fluorocarbon_fragmentation | hfc_CH2F,node_1000;node_1063;node_1079;node_1156;node_1172
